Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
-0.001816375006,-0.5780289884,-0.877904174,-0.4891429782,1.159350725,1
0.008263625001,-0.4413804357,-0.9120785183,-1.068192744,1.472324574,1
0.018344625,-0.2154272121,-0.7315191302,-1.581985829,1.756191415,1
0.028425625,0.01785125703,-0.3686616844,-1.60816206,1.649974338,1
0.038506625,0.2422589153,-0.013476955,-1.075102984,1.102142203,1
0.048587625,0.3463025165,0.1791072321,-0.4043039721,0.561664077,1
0.058668625,0.2944871226,0.1639743456,-0.1058696866,0.3532968185,1
0.068749625,0.1778076884,-0.0005651333928,-0.08852041304,0.1986246635,1
0.078830625,0.1293687692,-0.1156608492,-0.2824427354,0.3314930004,1
0.088910625,0.2234577781,-0.07152343422,-0.5544423437,0.6020426004,1
0.098991625,0.1664418706,-0.04705049783,-0.5154472625,0.5436934119,1
0.109072625,0.1855010162,-0.07718997091,0.04049372256,0.2049601429,1
0.119153625,0.2616884089,-0.1511543253,-0.02602654159,0.3033246352,1
0.129234625,0.05578536093,-0.3665672117,-0.2045344341,0.4234593982,1
0.139315625,-0.1639475215,-0.5637701145,-0.5273855227,0.7892091113,1
0.149396625,-0.5500354435,-0.7128524789,-1.019617585,1.360263822,1
0.159477625,-0.7982558875,-0.7607923383,-1.58998599,1.934960695,1
0.169558625,-0.6199850265,-0.7288098228,-1.718998371,1.967358786,1
0.179638625,-0.317556508,-0.6070219687,-1.389755107,1.549431206,1
0.189719625,-0.09543489173,-0.3513686903,-0.7661869794,0.8482984513,1
0.199800625,0.4358420261,-0.2295451681,-0.6158427858,0.7886137158,1
0.209881625,0.7033932189,-0.2192267329,-0.8183885819,1.101173125,1
0.219962625,0.4473282965,-0.1021023256,-0.5239192933,0.6964329944,1
0.230043625,0.8140394229,0.006434568465,1.37786187,1.600376493,1
0.240124625,1.121172026,-0.1815575078,2.485922685,2.733093748,1
0.250205625,0.9579920981,-0.3346417066,2.408183953,2.613251592,1
0.260285625,1.042541009,-0.5006291024,1.507228008,1.899804601,1
0.270366625,1.285621312,-0.8218366119,0.7191572392,1.686838673,1
0.280447625,1.604914224,-1.100812825,0.1591489309,1.952656377,1
0.290528625,1.836088865,-1.391474773,-0.8865378803,2.468476003,1
0.300609625,2.17801898,-1.475842493,-3.357264821,4.265337597,1
0.310690625,2.98957699,-1.640000734,-5.539201289,6.504607898,1
0.320771625,2.336026973,-1.87208754,-7.190236888,7.788532614,1
0.330852625,-2.565973113,-2.527930251,-8.698578206,9.414877173,1
0.340932625,-2.41484437,-1.972962243,-6.965919569,7.632043552,1
0.351013625,-1.551999115,-2.006512835,-4.722541729,5.360708478,1
0.361094625,-0.6784363523,-2.252944324,-5.018521938,5.5427066,1
0.371175625,1.1652938,-1.893002446,-5.049699292,5.517320984,1
0.381256625,1.89751942,-1.741853091,-6.168313746,6.684513939,1
