Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
105.00121487,-8.414177822,1.589234915,-1.001436106,8.621306764,1
105.01118487,-10.73310695,1.965148755,0.9603288648,10.95370376,1
105.02115487,-14.65826096,0.9001666436,-5.086246144,15.54171207,1
105.03112487,-15.31972138,1.569953575,-24.77958543,29.1751002,1
105.04109487,-13.98977218,3.357567414,-19.24690437,24.0297797,1
105.05106387,-12.00781634,2.635965747,-3.210659629,12.7060735,1
105.06103387,-11.03523025,1.901358263,0.2888993771,11.20155939,1
105.07100387,-10.56935451,1.876774084,1.492705278,10.83797512,1
105.08097387,-10.48625271,1.918206431,1.720525518,10.79820447,1
105.09094287,-10.36584801,1.964656127,1.500343935,10.65653371,1
105.10091287,-10.19444975,2.123302051,1.074451604,10.46850818,1
105.11088287,-10.16990665,2.114772718,0.8657258856,10.42347093,1
105.12085287,-10.22623054,2.079929744,0.7165178791,10.4601767,1
105.13082287,-10.46380525,2.002280182,1.234303955,10.72491736,1
105.14079187,-10.73006289,1.928434234,2.127130516,11.10755565,1
105.15076187,-10.9108471,1.873344692,2.375036087,11.32240263,1
105.16073187,-11.14339906,1.737015982,2.497638751,11.55122359,1
105.17070187,-11.12901491,1.37928479,2.38905771,11.4658186,1
105.18067187,-11.44648597,1.325167055,1.826790622,11.66684502,1
105.19064087,-11.68510383,1.307183505,1.008386253,11.80115346,1
105.20061087,-11.53016898,1.351761507,0.4085508049,11.61632342,1
105.21058087,-11.34602145,1.33448737,0.1779296029,11.42561676,1
105.22055137,-11.14277925,1.286598089,0.1441046206,11.21773731,1
105.23052037,-10.99404246,1.256412862,0.1613971853,11.06677875,1
105.24049037,-10.91168326,1.177881759,0.1957893018,10.97681968,1
105.25046037,-10.78509922,1.072783539,0.2384505872,10.840945,1
105.26043037,-10.66149025,1.027182128,0.2319713241,10.7133696,1
105.27040037,-10.57499356,0.9440251464,0.2053553466,10.61903212,1
105.28036937,-10.46408592,0.8761984681,0.07222473465,10.50095397,1
105.29033937,-10.37992343,0.806742317,-0.07389356654,10.41148903,1
105.30030937,-10.27289483,0.7376070318,-0.2252301057,10.30180377,1
105.31027937,-9.789117839,0.4171416072,-0.4279320589,9.8073422,1
105.32024937,-9.458993983,0.07772948619,-0.6839822902,9.484009744,1
105.33021837,-8.81432267,-0.9190042529,-0.9705793262,8.915092662,1
105.34018837,-7.381240865,-2.245181122,-1.209732858,7.80941794,1
