Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.018147,-0.6211052799,-0.7122540164,-1.633681648,1.88732437,0
0.028228,-0.6810146821,-0.7913569039,-2.659883198,2.857447352,0
0.038309,-0.493875276,-0.4369238341,-2.760001563,2.837679307,0
0.048389,0.1400153795,0.1653016636,-1.638516126,1.652774649,0
0.05847,0.8725494401,0.7814821261,-0.5234351438,1.282981367,0
0.06855,1.312736751,1.149042487,-0.07294693887,1.746109296,0
0.078631,1.375722081,0.9900640029,0.140922575,1.700793094,0
0.088712,1.170680986,0.5413325939,0.3211407781,1.329160016,0
0.098792,0.6710127273,-0.2568962502,-0.0730779165,0.7222147503,0
0.108873,-0.09870699361,-1.02466724,-0.5809963042,1.182050223,0
0.118953,-0.4365950744,-1.05635184,-0.2160891169,1.163266511,0
0.129034,-0.551949091,-0.8152106202,-0.8636086088,1.309593824,0
0.139115,-0.5553194261,-0.5952830985,-1.79896957,1.974596958,0
0.149195,-0.6824605523,-0.551722219,-2.180820234,2.350771513,0
0.159276,-0.9816533679,-0.5113065568,-2.015995411,2.299851132,0
0.169357,-1.158112688,-0.4063890892,-1.401805049,1.863178597,0
0.179437,-1.068643272,-0.4567333236,-0.5993507141,1.307602788,0
0.189518,-0.7690256564,-0.7271381038,-0.08820700228,1.06203143,0
0.199598,-0.6189502886,-1.156933305,-0.00831181705,1.312121648,0
0.209679,-0.6804105185,-1.151037265,0.4238436127,1.402671974,0
0.21976,-0.4823701483,-0.940811736,-0.5034335732,1.171005143,0
0.22984,-0.5296969271,-0.6986776587,-1.286078126,1.556510922,0
0.239921,-0.4202836816,-0.5527320331,-2.383336794,2.48242731,0
0.250001,0.0987197113,0.200032078,-3.388462055,3.395796448,0
0.260082,0.8520755607,1.165036376,-4.568841233,4.791414482,0
0.270163,1.329516068,1.429935711,-5.469515342,5.807574983,0
0.280243,2.036245196,1.246004818,-4.820220051,5.378972378,0
0.290324,2.367026571,1.004060483,-3.085837655,4.016633699,0
0.300405,2.028698195,0.6451911306,0.4466921926,2.175183182,0
0.310485,1.758806946,0.1319090921,2.905677924,3.399083124,0
0.320566,1.205157485,-0.6752411413,1.839529366,2.300483309,0
0.330646,0.3337431358,-1.336049016,0.5368211746,1.478035326,0
0.340727,0.1455505,-1.464684544,-1.079980731,1.825607882,0
0.350808,0.3822514907,-1.321092423,-2.917410362,3.225319304,0
0.360888,0.810651473,-1.180714808,-4.895252107,5.100464337,0
0.370969,0.9975452229,-1.314862214,-5.851408691,6.079715683,0
0.381049,0.8618213343,-2.018551814,-6.554117128,6.911854944,0
0.39113,0.9641418341,-3.591215135,-7.400841317,8.282442141,0
0.401211,1.980911533,-5.032463454,-8.213349354,9.834063581,0
0.411291,1.270704626,-4.97235817,-7.913172013,9.431719214,0
0.4213715,-1.90752576,-4.432738518,-7.050751559,8.54405775,0
0.4314525,-4.307085362,-4.940663338,-3.771705526,7.562202134,0
0.4415325,-3.426490007,-5.016525114,-0.5662180513,6.101390076,0
0.4516135,-1.178415098,-5.102997832,-2.885522572,5.979589411,0
0.4616935,0.07189093173,-5.491920703,-1.450139303,5.680604309,0
0.4717745,1.199295505,-5.321124119,-1.881750357,5.770065511,0
0.4818555,2.372956232,-5.348613634,-0.7989138454,5.905662741,0
0.4919355,2.210523505,-4.967754657,0.1350695121,5.439048104,0
0.5020165,0.5157027858,-4.011910315,0.06897141695,4.045507483,0
0.5120965,-0.7090392172,-3.869891094,-1.162901558,4.102576474,0
0.5221775,-0.2455789644,-4.738263722,-1.501702974,4.976601647,0
0.5322585,0.763779096,-5.179630855,-1.411895589,5.422673092,0
0.5423385,2.603621873,-4.98817138,-0.7962229568,5.682840097,0
0.5524195,4.748256614,-4.552854653,0.186512146,6.580973571,0
0.5625005,6.067684919,-3.714451052,1.831686496,7.346361161,0
0.5725805,7.29512892,-2.39206581,3.132684085,8.291839023,0
