"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.355166665E-3,1.861847253E1,-2.402108929E1,7.784002926E0,3.137277405E1
1.732916667E-2,1.731851487E1,-2.462131768E1,7.632333169E0,3.105467358E1
2.730416667E-2,1.700747808E1,-2.461692759E1,7.078353925E0,3.074655312E1
3.727916667E-2,1.633469862E1,-2.000383930E1,9.198530931E0,2.741512241E1
4.725316667E-2,1.641932303E1,-1.785157862E1,1.054474124E1,2.644739299E1
5.722816667E-2,1.764661266E1,-1.765584776E1,9.919132433E0,2.686114455E1
6.720216667E-2,1.811078218E1,-1.577882370E1,8.393027859E0,2.544434368E1
7.717716667E-2,1.671154231E1,-1.265524578E1,6.505043786E0,2.194872404E1
8.715216667E-2,1.334766604E1,-8.949630749E0,4.250420580E0,1.662294061E1
9.712616667E-2,9.438501831E0,-5.182245730E0,1.768062358E0,1.091178409E1
1.071011667E-1,6.404927759E0,-1.779648616E0,2.286851889E-1,6.651507026E0
1.170751667E-1,3.985929966E0,8.392064238E-1,-7.713950944E-1,4.145715319E0
1.270501667E-1,1.944451804E0,2.559887039E0,-2.375643613E0,3.997198650E0
1.370241667E-1,-1.096013796E-1,4.246124046E0,-3.690354384E0,5.626748382E0
1.469991667E-1,-1.651658328E0,5.944925550E0,-4.482467918E0,7.626443054E0
1.569741667E-1,-2.939659018E0,7.558350688E0,-4.755064527E0,9.401111579E0
1.669481667E-1,-4.112959557E0,9.276959050E0,-4.706618006E0,1.118618159E1
1.769231667E-1,-4.843278546E0,1.075515680E1,-4.824471561E0,1.274387189E1
1.868971667E-1,-5.221019787E0,1.138151405E1,-4.996762694E0,1.348204536E1
1.968721667E-1,-5.393966392E0,1.095685884E1,-5.230376501E0,1.328549839E1
2.068471667E-1,-5.688259680E0,1.019487660E1,-5.596312798E0,1.294644831E1
2.168211667E-1,-6.092832624E0,9.591231689E0,-5.731260688E0,1.272641677E1
