Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),predicted label
0.007355166665,18.61847253,-24.02108929,7.784002926,31.37277405,1.0
0.01732916667,17.31851487,-24.62131768,7.632333169,31.05467358,1.0
0.02730416667,17.00747808,-24.61692759,7.078353925,30.74655312,1.0
0.03727916667,16.33469862,-20.0038393,9.198530931,27.41512241,1.0
0.04725316667,16.41932303,-17.85157862,10.54474124,26.44739299,1.0
0.05722816667,17.64661266,-17.65584776,9.919132433,26.86114455,1.0
0.06720216667,18.11078218,-15.7788237,8.393027859,25.44434368,1.0
0.07717716667,16.71154231,-12.65524578,6.505043786,21.94872404,0.0
0.08715216667,13.34766604,-8.949630749,4.25042058,16.62294061,0.0
0.09712616667,9.438501831,-5.18224573,1.768062358,10.91178409,0.0
0.1071011667,6.404927759,-1.779648616,0.2286851889,6.651507026,0.0
0.1170751667,3.985929966,0.8392064238,-0.7713950944,4.145715319,0.0
0.1270501667,1.944451804,2.559887039,-2.375643613,3.99719865,0.0
0.1370241667,-0.1096013796,4.246124046,-3.690354384,5.626748382,1.0
0.1469991667,-1.651658328,5.94492555,-4.482467918,7.626443054,1.0
0.1569741667,-2.939659018,7.558350688,-4.755064527,9.401111579,1.0
0.1669481667,-4.112959557,9.27695905,-4.706618006,11.18618159,1.0
0.1769231667,-4.843278546,10.7551568,-4.824471561,12.74387189,1.0
0.1868971667,-5.221019787,11.38151405,-4.996762694,13.48204536,1.0
0.1968721667,-5.393966392,10.95685884,-5.230376501,13.28549839,1.0
0.2068471667,-5.68825968,10.1948766,-5.596312798,12.94644831,1.0
0.2168211667,-6.092832624,9.591231689,-5.731260688,12.72641677,1.0
0.2267961667,-6.559308286,9.025421773,-5.817177336,12.58261958,1.0
0.2367701667,-7.079034541,8.592755297,-5.958467701,12.6274111,1.0
0.2467451667,-7.455957756,8.31327593,-5.91234311,12.63557137,1.0
0.2567201667,-7.70045557,8.125339987,-5.714127762,12.5685887,1.0
0.2666941667,-7.974063163,8.139165729,-5.722467645,12.75062108,1.0
0.2766691667,-8.048247957,8.023096744,-5.760927122,12.74098339,1.0
0.2866431667,-7.858653744,7.747894616,-5.381636369,12.27804217,1.0
0.2966181667,-7.590525577,7.577248304,-4.78969203,11.74614491,1.0
0.3065931667,-7.451517965,7.638400825,-4.390011452,11.53873857,1.0
0.3165671667,-7.288948413,7.694031234,-4.010209944,11.33175491,1.0
0.3265421667,-6.949018777,7.512771642,-3.402414097,10.78457331,1.0
0.3365161667,-6.635313903,7.233460675,-2.750092286,10.19378985,1.0
0.3464911667,-6.383405913,7.008364508,-2.193273196,9.730133166,0.0
0.3564651667,-6.117521907,6.800076746,-1.693376896,9.30229237,0.0
0.3664401667,-5.802677996,6.534440078,-1.239809547,8.826500255,0.0
0.3764151667,-5.43914198,6.288474028,-0.9339430118,8.366685164,0.0
0.3863891667,-4.991160477,5.822177875,-0.8272745955,7.713223799,0.0
0.3963641667,-4.367460203,5.064030817,-0.6578211164,6.719512286,0.0
0.4063381667,-3.504703533,3.822699094,-0.4584300394,5.206355089,0.0
