"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.104125000E-2,-1.253640112E-1,-1.503976956E-1,-2.780041140E0,2.786927402E0
3.112425000E-2,2.425729108E-1,-1.244398588E-1,-8.916828454E-1,9.324297251E-1
4.120625000E-2,1.145957789E0,1.438596314E-1,1.660584102E0,2.022734389E0
5.128925000E-2,1.495736475E0,2.742727134E-1,2.514528433E0,2.938589179E0
6.137125000E-2,1.160802992E0,3.225783160E-1,1.686688412E0,2.072785120E0
7.145425000E-2,6.126762262E-1,2.334609023E-1,2.271912253E-1,6.938962486E-1
8.153625000E-2,2.322970140E-1,-1.647394538E-2,-6.679455703E-1,7.073786670E-1
9.161925000E-2,4.082789093E-2,-1.312328616E-1,-1.387305123E0,1.394096297E0
1.017022500E-1,-1.592784467E-1,-2.573932636E-1,-2.509764122E0,2.527951120E0
1.117842500E-1,-3.213667729E-1,-8.809648991E-2,-2.679215262E0,2.699857777E0
1.218672500E-1,-6.694623381E-2,2.600823981E-1,-2.613903033E0,2.627663166E0
1.319492500E-1,8.257759541E-2,5.085481328E-1,-2.064764698E0,2.128072725E0
1.420322500E-1,4.608483016E-2,4.872046262E-1,-1.073141828E0,1.179459852E0
1.521142500E-1,-3.120085967E-1,3.048516047E-1,3.020899647E-1,5.306055146E-1
1.621972500E-1,-7.980553280E-1,-1.821080232E-1,1.724046857E0,1.908505490E0
1.722792500E-1,-1.312388111E0,-7.673391733E-1,1.654210637E0,2.246683065E0
1.823622500E-1,-1.471939623E0,-1.027311351E0,1.011602806E0,2.060416245E0
1.924442500E-1,-1.071970630E0,-8.657817265E-1,3.827593213E-1,1.430106195E0
2.025272500E-1,-4.501870733E-1,-4.797099575E-1,-2.607624292E-1,7.076631182E-1
2.126092500E-1,6.849533665E-1,-1.587793869E-1,-1.049955279E0,1.263636853E0
2.226922500E-1,6.839513730E-1,5.357394397E-2,-1.108696407E0,1.303789619E0
2.327742500E-1,3.701129633E-1,7.380472541E-1,-9.241196895E-1,1.239231437E0
2.428572500E-1,8.619431756E-2,1.055300803E0,-6.155024779E-1,1.224717333E0
2.529392500E-1,-2.961458315E-1,9.142101207E-1,7.659747255E-1,1.228901859E0
2.630222500E-1,7.707726583E-4,2.198632023E-1,2.046710250E0,2.058485674E0
2.731052500E-1,-1.583491780E-2,-6.717719883E-1,2.275037005E0,2.372197657E0
2.831872500E-1,2.356093155E-1,-1.005196597E0,1.559291031E0,1.870112421E0
2.932702500E-1,5.446551280E-1,-7.426013580E-1,8.249678689E-1,1.236397173E0
3.033522500E-1,7.599873228E-1,-2.013477015E-1,3.659029680E-1,8.671831466E-1
3.134352500E-1,6.929042642E-1,2.726121041E-1,-2.888881212E-1,7.986801771E-1
3.235172500E-1,3.400612716E-1,6.793181124E-1,-9.743174511E-1,1.235479365E0
3.336002500E-1,-6.766011306E-1,9.268895155E-1,-6.771069878E-1,1.332436541E0
3.436822500E-1,-1.862112483E0,9.203565677E-1,1.594448585E0,2.618546429E0
3.537652500E-1,-1.948256003E0,6.589315027E-2,1.840008838E0,2.680611103E0
3.638472500E-1,-1.775942212E0,-9.767919928E-1,1.927880210E0,2.797287158E0
3.739302500E-1,-9.170001928E-1,-1.765178657E0,1.924744933E0,2.767921260E0
3.840122500E-1,-5.889855011E-1,-2.170784804E0,2.146461995E0,3.109101106E0
3.940952500E-1,-4.470969661E-1,-1.188172055E0,1.814387509E0,2.214418786E0
4.041772500E-1,-3.931359364E-1,2.623142803E-1,1.330763133E0,1.412195157E0
4.142602500E-1,-2.197412878E-2,1.062182976E0,6.798165876E-1,1.261295417E0
4.243432500E-1,5.267385283E-1,1.260604146E0,-9.063359678E-2,1.369229980E0
4.344252500E-1,1.024782577E0,1.262089047E0,-4.227998847E-1,1.679823751E0
4.445082500E-1,4.443246549E-1,9.653978160E-1,-5.700240040E-1,1.205962150E0
4.545902500E-1,-2.457611344E0,-3.658895195E-3,-3.929673904E-1,2.488833115E0
4.646732500E-1,-2.183511123E0,-1.343175602E-1,4.070667815E-1,2.225188845E0
4.747552500E-1,-5.463945284E-2,1.837233165E-1,3.554680270E-1,4.038529993E-1
4.848382500E-1,4.307674469E-1,3.110476068E-1,-2.062944460E-1,5.699724602E-1
4.949202500E-1,1.857012834E-1,3.643174955E-1,-3.661374414E-1,5.488796136E-1
5.050032500E-1,1.065934257E-1,9.352668214E-1,-8.229078948E-1,1.250305398E0
5.150852500E-1,4.818208024E-2,1.421437660E0,-1.050152915E0,1.767944478E0
5.251682500E-1,-1.476626605E-1,1.531589555E0,-1.106217188E0,1.895069205E0
5.352502500E-1,-3.538650128E-1,1.281545949E0,-1.288359709E0,1.851337681E0
5.453332500E-1,-4.873943684E-1,9.148267096E-1,-1.133103270E0,1.535703161E0
5.554152500E-1,-7.840744892E-1,6.229152855E-1,-9.058974266E-1,1.350350475E0
5.654982500E-1,-7.624045618E-1,5.041162357E-1,-5.887117052E-1,1.087186905E0
5.755802500E-1,-5.276774450E-1,5.365051326E-1,-2.266725773E-1,7.859145631E-1
5.856632500E-1,-3.589716786E-1,5.708227336E-1,-7.213183701E-2,6.781609405E-1
5.957462500E-1,-3.397777547E-1,6.994341423E-1,-5.117635167E-1,9.308914754E-1
6.058282500E-1,-6.455647677E-1,9.122328848E-1,-1.011381197E0,1.507254003E0
6.159112500E-1,-1.084413067E0,1.088955184E0,-1.349670104E0,2.045332365E0
6.259932500E-1,-1.181716144E0,1.032956838E0,-1.509173377E0,2.177396876E0
6.360762500E-1,-1.213012635E0,9.151963998E-1,-1.482241686E0,2.122739861E0
6.461582500E-1,-1.292042871E0,8.421189219E-1,-1.391951905E0,2.077515142E0
