"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.617708339E-3,2.408428132E1,-1.782141050E1,-2.738589293E1,4.059116173E1
1.558770834E-2,2.034645339E1,-1.604039422E1,-1.575947293E1,3.032545794E1
2.555870834E-2,1.677773630E1,-9.805117575E0,-2.692615911E0,1.961843384E1
3.552866667E-2,1.183286063E1,-4.622137434E0,1.166261660E0,1.275699460E1
4.549966667E-2,8.218419474E0,-3.336673851E0,-3.954748519E0,9.711634615E0
5.546966667E-2,6.618545843E0,-3.212445661E0,-7.551014771E0,1.054242763E1
6.544066667E-2,6.739404867E0,-2.497424158E0,-6.420734537E0,9.637558684E0
7.541066667E-2,7.377571737E0,-1.955368263E0,-4.669009885E0,8.947160616E0
8.538066667E-2,8.186102498E0,-2.332304050E0,-3.620111783E0,9.249709488E0
9.535166667E-2,8.906825037E0,-3.413008667E0,-4.139933639E0,1.039803880E1
1.053216667E-1,9.412811505E0,-3.776846398E0,-5.589244099E0,1.158038163E1
1.152926667E-1,1.029234150E1,-5.153977366E0,-5.126308926E0,1.260058806E1
1.252626667E-1,9.871486981E0,-5.865380028E0,-2.495910021E0,1.175068104E1
1.352336667E-1,8.558694096E0,-4.747220487E0,-7.106167960E-1,9.812865189E0
1.452036667E-1,5.196204203E0,-4.465066019E0,-2.519366419E0,7.299627376E0
1.551746667E-1,2.406306996E0,-6.521494927E0,-2.319988352E0,7.328202740E0
1.651446667E-1,-1.319722420E0,-1.511030920E1,1.263801988E0,1.522039115E1
1.751156667E-1,-1.401414455E0,-1.433893048E1,1.096880354E0,1.444894585E1
1.850856667E-1,-1.344087183E0,-5.338748211E0,5.192139219E0,7.567503716E0
1.950566667E-1,-1.432511117E0,1.971765903E0,5.188287073E0,5.732213502E0
2.050266667E-1,-1.878268340E0,4.083305402E0,3.792884141E0,5.881092167E0
2.149976667E-1,-2.627886064E0,4.948488666E0,2.278304575E0,6.048470632E0
2.249676667E-1,-3.186900930E0,5.578681104E0,1.308591660E0,6.556708971E0
2.349386667E-1,-3.867126238E0,7.296138734E0,2.028038044E-1,8.260111086E0
2.449086667E-1,-5.421006841E0,9.207000623E0,-1.284039202E0,1.076127001E1
2.548786667E-1,-7.136420285E0,1.084698498E1,-2.327168441E0,1.319095488E1
2.648496667E-1,-6.571799693E0,1.170998490E1,-2.163462775E0,1.360120835E1
2.748196667E-1,-6.213484071E0,1.165078769E1,-7.674682505E-1,1.322638445E1
2.847906667E-1,-6.795492529E0,1.113598479E1,2.124199160E-1,1.304737514E1
2.947606667E-1,-7.625783118E0,1.073299936E1,-3.686014581E-1,1.317139744E1
3.047316667E-1,-8.441210670E0,1.045595829E1,-1.231242060E0,1.349433430E1
3.147016667E-1,-8.991062949E0,1.018633382E1,-2.201224093E0,1.376393828E1
3.246726667E-1,-8.386615802E0,9.303079147E0,-3.062093282E0,1.289414679E1
3.346426667E-1,-7.533777764E0,8.826670235E0,-2.694018073E0,1.191325515E1
3.446136667E-1,-6.921162057E0,8.891216480E0,-1.373046542E0,1.135083572E1
3.545836667E-1,-6.547686945E0,9.607918473E0,9.782161552E-2,1.162728992E1
3.645546667E-1,-6.397210604E0,1.005637009E1,1.313546591E0,1.199084182E1
3.745246667E-1,-6.268051457E0,9.813632290E0,2.299764880E0,1.186948888E1
3.844956667E-1,-5.999367805E0,9.034458060E0,3.025904864E0,1.125921608E1
3.944656667E-1,-5.674607601E0,8.256416436E0,3.431133281E0,1.058972424E1
4.044366667E-1,-5.345149743E0,8.015971912E0,3.585263547E0,1.028010438E1
4.144066667E-1,-4.702344276E0,8.355337876E0,3.214223800E0,1.011211884E1
4.243766667E-1,-3.863498626E0,8.474900572E0,2.554061458E0,9.657835745E0
4.343476667E-1,-3.265903831E0,8.017071188E0,2.116007942E0,8.911624312E0
4.443176667E-1,-3.069967727E0,7.450606969E0,1.909034196E0,8.281343950E0
4.542886667E-1,-2.924229385E0,6.988716109E0,1.258891497E0,7.679718624E0
4.642586667E-1,-2.652859522E0,6.850186214E0,-4.822268915E-1,7.361742837E0
4.742296667E-1,-2.434643188E0,6.839062471E0,-2.107254660E0,7.559152409E0
4.841996667E-1,-2.337799848E0,6.524469405E0,-2.543769189E0,7.382734645E0
4.941706667E-1,-1.864887571E0,5.637875977E0,-2.412827519E0,6.409772837E0
5.041406667E-1,-1.881967288E-1,4.648297877E0,9.408172908E-1,4.746285741E0
5.141116667E-1,3.619093198E-1,3.015490388E0,-3.220977626E0,4.427059691E0
5.240816667E-1,2.066772632E0,-7.413766587E0,-3.211699674E1,3.302630714E1
5.340526667E-1,2.847572388E0,-8.054856480E0,-2.032002632E1,2.204297736E1
5.440226667E-1,1.507867693E0,-6.839571764E0,1.153402698E1,1.349396847E1
5.539936667E-1,6.055301685E0,-1.401839430E1,8.512958345E0,1.748292073E1
5.639636667E-1,8.717354200E0,-1.924598636E1,-3.040359766E0,2.134582026E1
5.739346667E-1,9.244092436E0,-2.067875066E1,-2.693259982E0,2.281047179E1
5.839046667E-1,9.857381158E0,-1.644202660E1,-9.337798744E-1,1.919323180E1
5.938756667E-1,1.029124690E1,-1.235484274E1,6.529673427E-2,1.607968176E1
6.038456667E-1,1.055709641E1,-6.644560105E0,-6.723184106E-1,1.249217657E1
6.138156667E-1,9.357360020E0,-2.710471553E0,-1.393621578E0,9.841190156E0
6.237866667E-1,7.362431542E0,-1.840412296E0,-1.186509399E0,7.681166590E0
6.337566667E-1,6.003194808E0,-4.275435553E0,-3.011782376E-1,7.376205352E0
6.437276667E-1,4.290030203E0,-8.725719227E0,8.778015554E-1,9.762841325E0
6.536976667E-1,1.740153013E0,-1.417438164E1,3.436311575E0,1.468841260E1
6.636686667E-1,-3.305504099E-1,-1.880491451E1,7.266634269E0,2.016278867E1
6.736386667E-1,-2.421341650E0,-2.487940208E1,9.758875455E0,2.683436590E1
6.836096667E-1,-4.503464100E0,-2.634964469E1,9.008019290E0,2.820867554E1
6.935796667E-1,-6.256227803E0,-2.608891969E1,7.839790041E0,2.795057110E1
7.035506667E-1,-8.244481684E0,-2.415044608E1,5.028034773E0,2.600954935E1
7.135206667E-1,-1.014507118E1,-1.712671450E1,-1.364139040E0,1.995263627E1
7.234916667E-1,-1.000004269E1,-7.500154520E0,-9.975037662E0,1.599232779E1
7.334616667E-1,-7.298640173E0,-2.133958894E-1,-1.450657483E1,1.624057879E1
7.434326667E-1,-4.046253936E0,3.703344558E0,-1.311522402E1,1.421604843E1
7.534026667E-1,-1.439218604E0,5.913916596E0,-9.596801162E0,1.136416967E1
7.633736667E-1,2.611796281E-1,7.375417623E0,-5.714475671E0,9.333821945E0
7.733436667E-1,1.176498235E0,8.498416904E0,-2.964911388E0,9.077330969E0
7.833146667E-1,1.742169864E0,9.220304793E0,-1.102315925E0,9.447977387E0
7.932846667E-1,2.120706326E0,9.912583551E0,1.456459649E-1,1.013794460E1
8.032546667E-1,2.181776693E0,1.058203361E1,8.049873483E-1,1.083455534E1
8.132256667E-1,2.233627316E0,1.112314079E1,1.198138268E0,1.140828153E1
8.231956667E-1,2.290210822E0,1.164902884E1,1.151366463E0,1.192772331E1
8.331666667E-1,2.408631118E0,1.190951061E1,5.629559628E-1,1.216366993E1
8.431366667E-1,2.524799067E0,1.201001489E1,-1.375704394E-1,1.227330410E1
8.531076667E-1,2.536928239E0,1.192746390E1,-2.269380409E-1,1.219638884E1
8.630776667E-1,2.667940076E0,1.144627313E1,-3.532759058E-1,1.175839601E1
8.730486667E-1,2.882668546E0,1.074852723E1,-2.129257733E-1,1.113040668E1
8.830186667E-1,2.887593071E0,9.991924421E0,-3.629081704E-2,1.040086844E1
8.929896667E-1,2.606294636E0,9.349881431E0,-2.239150304E-1,9.708923341E0
9.029596667E-1,2.068632924E0,8.558331569E0,-1.437427456E0,8.921349624E0
9.129306667E-1,1.843307837E0,7.652931740E0,-2.994632201E0,8.422171336E0
9.229006667E-1,1.647314431E0,7.042425123E0,-3.997474709E0,8.263728003E0
9.328716667E-1,8.778848782E-1,7.231922273E0,-3.886117995E0,8.256712099E0
9.428416667E-1,-6.028993893E-1,8.653357594E0,-2.786885891E0,9.111027291E0
9.528126667E-1,-1.888128499E0,1.010433129E1,-1.532672167E0,1.039286410E1
9.627826667E-1,-2.137689418E0,1.054455764E1,-5.153501987E-1,1.077139720E1
9.727536667E-1,-1.971963246E0,1.057259036E1,3.532571948E-1,1.076072008E1
9.827236667E-1,-1.816792761E0,1.037879843E1,1.008538281E0,1.058476935E1
9.926936667E-1,-1.646644048E0,1.022932488E1,1.337115548E0,1.044693267E1
1.002664667E0,-1.464644198E0,1.006500643E1,1.429988043E0,1.027104682E1
1.012634667E0,-1.311531348E0,9.687334186E0,1.387873911E0,9.873740533E0
1.022605667E0,-1.190730504E0,8.863365607E0,1.035583919E0,9.002750861E0
1.032575958E0,-6.477858326E-1,7.336514343E0,-1.995045861E-1,7.367758904E0
1.042546958E0,-2.636794589E-2,5.649540587E0,-3.720584197E0,6.764669310E0
1.052516958E0,-2.628381908E-2,3.545123581E0,-8.588444145E0,9.291391977E0
1.062487958E0,4.457665418E-1,1.469714026E0,-1.034813914E1,1.046148893E1
1.072457958E0,6.458334473E-1,-3.774638489E0,-1.608626913E1,1.653581118E1
1.082428958E0,-2.216033702E-1,-7.464557841E0,-8.291535398E0,1.115877641E1
1.092398958E0,7.289758837E-1,-1.078793162E1,2.811185457E0,1.117200242E1
1.102369958E0,1.893928060E0,-1.444953173E1,6.959674743E0,1.614970598E1
1.112339958E0,1.530577402E0,-2.129839414E1,5.882422907E0,2.214875074E1
1.122310958E0,9.279578018E-1,-3.048540371E1,-1.046316556E0,3.051746588E1
1.132280958E0,-3.830247484E-1,-3.197784236E1,-6.704805722E0,3.267542700E1
1.142251958E0,5.744028376E-1,-1.655886800E1,-7.210961759E-1,1.658451168E1
1.152221958E0,2.960488847E0,-8.032368674E0,6.471712902E0,1.073156599E1
1.162192958E0,4.006549295E0,-5.225643765E0,6.923072927E0,9.554513528E0
1.172162958E0,5.119823195E0,-5.625879829E0,5.725789449E-1,7.628299944E0
1.182133958E0,4.959936930E0,-1.310402426E1,-5.771957309E0,1.515361070E1
1.192103958E0,3.404221471E0,-1.929887209E1,-3.396394973E0,1.988895891E1
1.202074958E0,2.729557157E0,-2.124064703E1,5.473828541E-1,2.142230606E1
1.212044958E0,2.267016964E0,-2.053120202E1,8.371879649E-1,2.067294140E1
1.222015958E0,1.611799028E0,-1.795182212E1,-1.530706041E-1,1.802468430E1
1.231985958E0,4.933737311E-1,-1.374184322E1,6.369652677E-1,1.376544215E1
1.241955958E0,-8.857052368E-1,-1.042347349E1,1.214221108E0,1.053126803E1
1.251926958E0,-2.445699688E0,-7.616147491E0,6.271197259E-1,8.023741566E0
1.261896958E0,-4.133991991E0,-5.253302849E0,-1.223475935E0,6.795879190E0
1.271867958E0,-5.149636978E0,-2.955020823E0,-3.510780544E0,6.897571246E0
1.281837958E0,-5.427774993E0,-6.896323085E-1,-5.065990219E0,7.456580382E0
1.291808958E0,-5.074310222E0,1.000147526E0,-5.262273062E0,7.378376318E0
1.301778958E0,-4.102463804E0,1.994646057E0,-4.367629187E0,6.315457773E0
1.311749958E0,-2.682326565E0,2.407606248E0,-3.104887884E0,4.757286245E0
1.321719958E0,-1.459845973E0,3.348771155E0,-1.762201109E0,4.055955037E0
1.331690958E0,-6.877383953E-1,4.502129180E0,-7.958177447E-1,4.623362104E0
1.341660958E0,-2.317903528E-1,6.010955232E0,-3.594482267E-1,6.026152388E0
1.351631958E0,8.200866133E-2,7.709543313E0,-1.001744986E-2,7.709985983E0
1.361601958E0,4.641826764E-1,9.237631847E0,3.615918159E-3,9.249287582E0
1.371572958E0,1.027976472E0,1.038444918E1,5.992634078E-2,1.043537788E1
1.381542958E0,1.650944383E0,1.120889489E1,1.357617859E-1,1.133063870E1
1.391513958E0,2.177090003E0,1.175477691E1,5.586312890E-2,1.195481584E1
1.401483958E0,2.442335200E0,1.202635903E1,9.800982278E-2,1.227224179E1
1.411454958E0,2.489229870E0,1.202485278E1,5.200583402E-1,1.229080187E1
1.421424958E0,2.492690837E0,1.187264040E1,8.885616016E-1,1.216398946E1
1.431395958E0,2.748415890E0,1.146725528E1,7.344161332E-1,1.181486778E1
1.441365958E0,3.108402645E0,1.045160796E1,-3.000242165E-1,1.090817539E1
1.451336958E0,2.597650697E0,8.971639084E0,-2.207423311E0,9.597437922E0
1.461306958E0,2.065445022E0,7.896095220E0,-4.055390210E0,9.113757327E0
1.471276958E0,1.751931059E0,7.060418175E0,-5.537081088E0,9.142102287E0
1.481247958E0,1.157635848E0,7.002731300E0,-6.013368963E0,9.302632568E0
1.491217958E0,2.590933415E-1,8.178026909E0,-5.207264796E0,9.698600937E0
1.501188958E0,-6.154954612E-1,9.259953008E0,-3.683579800E0,9.984704529E0
1.511158958E0,-1.259646372E0,9.421657757E0,-1.855771177E0,9.684948660E0
1.521129958E0,-1.630423287E0,9.007504150E0,-1.296356946E-1,9.154791998E0
1.531099958E0,-1.748592884E0,8.623238001E0,1.090126820E0,8.866013038E0
1.541070958E0,-1.714113023E0,8.382764241E0,1.713155833E0,8.726042785E0
1.551040958E0,-1.430137732E0,8.317411081E0,1.610435457E0,8.591747400E0
1.561011958E0,-8.487394318E-1,8.532031378E0,8.217700267E-1,8.613432767E0
1.570981958E0,-2.236887431E-1,8.789223497E0,-2.938179088E-1,8.796977623E0
1.580952958E0,2.962368836E-1,8.829572793E0,-1.421400822E0,8.948155804E0
1.590922958E0,5.088305533E-1,8.689464735E0,-2.763605787E0,9.132536497E0
1.600893958E0,2.021315208E-1,8.272565276E0,-5.022492782E0,9.679960080E0
1.610863958E0,-9.029314265E-1,6.919434205E0,-6.814319394E0,9.753399596E0
1.620834958E0,-3.163895060E0,5.425584626E0,-5.770427678E0,8.529070059E0
1.630804958E0,-4.696268435E0,4.121813995E0,-5.534832834E0,8.347374577E0
1.640775958E0,-4.557337421E0,1.662557538E0,-2.803912106E0,5.603154918E0
1.650745958E0,-2.866240209E0,-2.008893968E0,3.664298899E0,5.067353780E0
1.660716958E0,1.732772840E-1,-8.076398792E0,9.680918037E0,1.260866434E1
1.670686958E0,3.138136906E0,-1.681394460E1,5.989566118E0,1.812268022E1
1.680657958E0,5.822149224E0,-3.633592187E1,-1.539670348E1,3.989053921E1
1.690627958E0,6.211055723E0,-4.785279897E1,-1.947456805E1,5.203581827E1
1.700598958E0,4.363549292E0,-3.281259788E1,-1.689956128E0,3.314457865E1
1.710568958E0,2.318029974E0,-1.290885122E1,1.202947442E1,1.779662770E1
1.720539958E0,1.807274371E0,-4.969244528E0,1.198703065E1,1.310147075E1
1.730509958E0,1.133022213E0,-6.671614587E-2,8.630600231E0,8.704909576E0
1.740480958E0,9.753952391E-2,8.026847148E-1,4.289375608E0,4.364923804E0
1.750450958E0,-1.860342823E0,-6.039060459E0,3.474038395E-1,6.328650415E0
1.760420958E0,-2.436624810E0,-1.394124848E1,-2.167388888E0,1.431758095E1
1.770391958E0,-1.159398199E0,-1.974062572E1,-3.808342133E0,2.013802319E1
1.780361958E0,5.159669704E-1,-2.285631692E1,-2.684269888E0,2.301918222E1
1.790332958E0,2.104894432E0,-2.031037841E1,3.323612925E-1,2.042186367E1
1.800302958E0,2.991646028E0,-1.515269450E1,1.284673040E0,1.549853159E1
1.810273958E0,2.361512208E0,-1.122086063E1,9.867291896E-1,1.150904374E1
1.820243958E0,1.168832535E0,-8.666068856E0,1.141321678E0,8.818703651E0
1.830214958E0,-6.593231748E-2,-7.053681014E0,1.291952531E-1,7.055172168E0
1.840184958E0,-1.087994048E0,-5.694238458E0,-1.682477978E0,6.036457140E0
1.850155958E0,-1.808531815E0,-3.957486770E0,-3.542357848E0,5.610774276E0
1.860125958E0,-2.229995903E0,-1.912564598E0,-4.806873196E0,5.633543733E0
1.870096958E0,-2.271947044E0,3.164770389E-1,-4.637260673E0,5.173595233E0
1.880066958E0,-2.019103791E0,2.194792741E0,-3.399071828E0,4.521900550E0
1.890037958E0,-1.628449559E0,3.781110772E0,-2.279632916E0,4.705887044E0
1.900007958E0,-1.545367641E0,5.663413106E0,-2.045962976E0,6.216781616E0
1.909978958E0,-1.390511882E0,7.844815139E0,-1.706087719E0,8.147722575E0
1.919948958E0,-1.067690468E0,9.639859473E0,-1.315637555E0,9.787632797E0
1.929919958E0,-6.642095650E-1,1.101041466E1,-1.062574739E0,1.108149225E1
1.939889958E0,-1.004592580E-1,1.214274435E1,-9.042642993E-1,1.217678226E1
1.949860958E0,7.311006157E-1,1.269849530E1,-6.362454754E-1,1.273542693E1
1.959830958E0,1.560102917E0,1.269828947E1,-4.135502108E-1,1.280044923E1
1.969801958E0,2.287000993E0,1.245748125E1,-6.291726103E-1,1.268128822E1
1.979771958E0,2.979484988E0,1.214756947E1,-1.017054093E0,1.254891126E1
1.989742958E0,3.650861120E0,1.163055164E1,-1.251361452E0,1.225415945E1
1.999712958E0,4.265168720E0,1.037539535E1,-8.306542861E-1,1.124857677E1
2.009683958E0,4.262896199E0,8.498032157E0,-2.533464239E-1,9.510679206E0
2.019653958E0,3.537628035E0,7.057952405E0,-9.283483958E-1,7.949297768E0
2.029628167E0,3.045035784E0,6.136748722E0,-2.047473897E0,7.150110290E0
2.039598167E0,2.761177438E0,5.533898449E0,-2.754633819E0,6.770239314E0
2.049569167E0,2.055875469E0,5.606150739E0,-2.947478499E0,6.659067469E0
2.059539167E0,5.443260759E-1,7.519342158E0,-2.533500309E0,7.953327680E0
2.069510167E0,-4.921148255E-1,9.237587993E0,-1.970982376E0,9.458328629E0
2.079480167E0,-9.558127677E-1,9.830462916E0,-1.265908155E0,9.957615309E0
2.089450167E0,-1.389745459E0,1.024592396E1,-7.673301101E-2,1.034003086E1
2.099421167E0,-1.745334377E0,1.052100037E1,1.196865402E0,1.073173461E1
2.109392167E0,-2.037310413E0,1.064273706E1,2.082102277E0,1.103420300E1
2.119362167E0,-2.214773115E0,1.066587801E1,2.518435543E0,1.118072856E1
2.129333167E0,-2.217912047E0,1.059950041E1,2.505679257E0,1.111516853E1
2.139303167E0,-2.128273500E0,1.045750663E1,2.222910247E0,1.090093220E1
2.149273167E0,-1.974594201E0,1.037810144E1,1.650602320E0,1.069245060E1
2.159244167E0,-1.886162958E0,9.690313928E0,6.298177043E-1,9.892242671E0
2.169214167E0,-1.854819689E0,7.868524429E0,-1.174648322E0,8.169077760E0
2.179185167E0,-1.737437127E0,5.959427814E0,-3.596890150E0,7.174335258E0
2.189155167E0,-8.400807287E-1,4.977380928E0,-3.444447391E0,6.110996184E0
2.199126167E0,-6.100546271E-2,3.868048929E0,-2.185196729E0,4.443040505E0
2.209096167E0,2.186504897E-1,1.716651884E0,-1.146844665E0,2.076042970E0
2.219067167E0,5.011133981E-1,-1.659846768E0,2.057622470E0,2.690727813E0
2.229037167E0,1.625339133E0,-7.998958268E0,3.547305762E0,8.899912294E0
2.239008167E0,4.231310710E0,-2.077336563E1,-7.278705261E0,2.241464387E1
2.248978167E0,7.020054846E0,-4.404423142E1,-2.417786484E1,5.073208689E1
2.258949167E0,4.609851557E0,-5.033448827E1,-1.332018179E1,5.227082057E1
2.268919167E0,1.259503554E0,-3.243911985E1,7.295620086E0,3.327324628E1
