"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.017958334E-3,-1.821067514E0,9.649484575E-1,1.867194883E0,2.780976294E0
1.498795833E-2,-1.591059831E0,9.739531696E-1,2.243804687E0,2.917998567E0
2.495795833E-2,-1.245892552E0,5.180995595E-1,2.744140406E0,3.057937535E0
3.492795833E-2,-9.660015410E-1,-5.894811988E-2,2.679884768E0,2.849283459E0
4.489795833E-2,-4.336414996E-1,-3.057943220E-1,2.401384225E0,2.459309114E0
5.486795833E-2,1.185008419E-1,-2.425563924E-1,2.256451045E0,2.272542051E0
6.483795833E-2,6.556803046E-1,-2.507278763E-1,2.297609012E0,2.402454641E0
7.480795833E-2,1.220639597E0,-6.152199112E-1,2.564878222E0,2.906382091E0
8.477795833E-2,1.180317782E0,-8.777591631E-1,2.460849239E0,2.866947888E0
9.474795833E-2,1.353842677E0,-6.409673944E-1,1.517946539E0,2.132578461E0
1.047090833E-1,1.613597047E0,-3.276683173E-1,7.442558277E-1,1.806925204E0
1.146790833E-1,1.682943124E0,-2.424856411E-1,3.139615667E-1,1.729065849E0
1.246490833E-1,1.545151294E0,-2.288220137E-1,2.375489831E-1,1.579962517E0
1.346190833E-1,1.443345130E0,-4.400336757E-2,4.974319911E-1,1.527291736E0
1.445890833E-1,1.354048499E0,1.773977986E-1,1.001250311E0,1.693345654E0
1.545590833E-1,8.773992670E-1,4.022285029E-1,1.919606985E0,2.148606111E0
1.645290833E-1,7.716421393E-1,4.501499435E-1,2.558789517E0,2.710252821E0
1.744990833E-1,9.870939097E-1,1.037589879E-1,2.070340018E0,2.295959082E0
1.844690833E-1,9.454143718E-1,-3.244837774E-1,1.678737368E0,1.953780235E0
1.944390833E-1,1.051986601E0,-8.086609346E-1,1.340331516E0,1.886026747E0
2.044090833E-1,9.988395041E-1,-1.323532173E0,8.645389009E-1,1.869985369E0
2.143790833E-1,7.255850834E-1,-1.515026147E0,5.533962768E-1,1.768622452E0
2.243490833E-1,4.980041412E-1,-1.363363406E0,8.298017621E-2,1.453840986E0
2.343190833E-1,2.155736849E-1,-1.139283485E0,-1.342766297E-1,1.167248510E0
2.442890833E-1,-2.059313339E-1,-8.588727296E-1,5.408382118E-2,8.848701259E-1
2.542590833E-1,-5.317937386E-1,-4.828005765E-1,1.230721951E-1,7.287302260E-1
2.642290833E-1,-6.547370026E-1,-1.803771742E-1,-1.966418624E-2,6.794138266E-1
2.741990833E-1,-5.059127927E-1,-5.997138262E-2,-6.400303781E-1,8.180361883E-1
2.841690833E-1,-2.969014379E-1,-1.231854849E-2,-1.320644526E0,1.353663243E0
2.941390833E-1,-2.604753309E-1,6.505173594E-2,-1.651196398E0,1.672880351E0
3.041090833E-1,-1.676844040E-1,5.628566332E-2,-2.068168947E0,2.075718894E0
3.140790833E-1,-2.421788085E-1,2.160799076E-1,-2.440193365E0,2.461683319E0
3.240490833E-1,-5.785436895E-1,4.440026195E-1,-2.691510787E0,2.788562612E0
3.340190833E-1,-9.241597429E-1,4.863528331E-1,-2.988499641E0,3.165713255E0
3.439890833E-1,-1.290643632E0,4.399746189E-1,-3.531477349E0,3.785587262E0
3.539590833E-1,-1.999874345E0,4.371205198E-1,-3.781845183E0,4.300340072E0
3.639290833E-1,-2.445366105E0,2.179973558E-2,-4.146342480E0,4.813776748E0
3.738990833E-1,-2.505617861E0,-8.353803713E-1,-4.621445124E0,5.322944323E0
3.838700833E-1,-3.196494457E0,-1.336542082E0,-3.649716235E0,5.032330489E0
3.938400833E-1,-4.858265544E0,-1.657654355E0,-2.551996806E0,5.732647709E0
