"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.816375006E-3,-5.780289884E-1,-8.779041740E-1,-4.891429782E-1,1.159350725E0
8.263625001E-3,-4.413804357E-1,-9.120785183E-1,-1.068192744E0,1.472324574E0
1.834462500E-2,-2.154272121E-1,-7.315191302E-1,-1.581985829E0,1.756191415E0
2.842562500E-2,1.785125703E-2,-3.686616844E-1,-1.608162060E0,1.649974338E0
3.850662500E-2,2.422589153E-1,-1.347695500E-2,-1.075102984E0,1.102142203E0
4.858762500E-2,3.463025165E-1,1.791072321E-1,-4.043039721E-1,5.616640770E-1
5.866862500E-2,2.944871226E-1,1.639743456E-1,-1.058696866E-1,3.532968185E-1
6.874962500E-2,1.778076884E-1,-5.651333928E-4,-8.852041304E-2,1.986246635E-1
7.883062500E-2,1.293687692E-1,-1.156608492E-1,-2.824427354E-1,3.314930004E-1
8.891062500E-2,2.234577781E-1,-7.152343422E-2,-5.544423437E-1,6.020426004E-1
9.899162500E-2,1.664418706E-1,-4.705049783E-2,-5.154472625E-1,5.436934119E-1
1.090726250E-1,1.855010162E-1,-7.718997091E-2,4.049372256E-2,2.049601429E-1
1.191536250E-1,2.616884089E-1,-1.511543253E-1,-2.602654159E-2,3.033246352E-1
1.292346250E-1,5.578536093E-2,-3.665672117E-1,-2.045344341E-1,4.234593982E-1
1.393156250E-1,-1.639475215E-1,-5.637701145E-1,-5.273855227E-1,7.892091113E-1
1.493966250E-1,-5.500354435E-1,-7.128524789E-1,-1.019617585E0,1.360263822E0
1.594776250E-1,-7.982558875E-1,-7.607923383E-1,-1.589985990E0,1.934960695E0
1.695586250E-1,-6.199850265E-1,-7.288098228E-1,-1.718998371E0,1.967358786E0
1.796386250E-1,-3.175565080E-1,-6.070219687E-1,-1.389755107E0,1.549431206E0
1.897196250E-1,-9.543489173E-2,-3.513686903E-1,-7.661869794E-1,8.482984513E-1
1.998006250E-1,4.358420261E-1,-2.295451681E-1,-6.158427858E-1,7.886137158E-1
2.098816250E-1,7.033932189E-1,-2.192267329E-1,-8.183885819E-1,1.101173125E0
2.199626250E-1,4.473282965E-1,-1.021023256E-1,-5.239192933E-1,6.964329944E-1
2.300436250E-1,8.140394229E-1,6.434568465E-3,1.377861870E0,1.600376493E0
2.401246250E-1,1.121172026E0,-1.815575078E-1,2.485922685E0,2.733093748E0
2.502056250E-1,9.579920981E-1,-3.346417066E-1,2.408183953E0,2.613251592E0
2.602856250E-1,1.042541009E0,-5.006291024E-1,1.507228008E0,1.899804601E0
2.703666250E-1,1.285621312E0,-8.218366119E-1,7.191572392E-1,1.686838673E0
2.804476250E-1,1.604914224E0,-1.100812825E0,1.591489309E-1,1.952656377E0
