"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.833583333E-2,-1.920336717E-1,-1.317845464E-1,-5.009280413E-1,5.524246558E-1
2.841683333E-2,-1.219191241E-1,3.854718447E-2,-5.764313829E-1,5.904433059E-1
3.849783333E-2,6.360191882E-2,3.048323089E-1,-2.723153579E-1,4.136708774E-1
4.857883333E-2,3.991043356E-1,5.074611354E-1,2.338541275E-1,6.866504406E-1
5.865983333E-2,6.190581697E-1,5.781960726E-1,4.137150657E-1,9.427109162E-1
6.874083333E-2,6.484801894E-1,5.207202816E-1,5.715577286E-1,1.009135474E0
7.882183333E-2,5.044527429E-1,3.700579995E-1,5.814570647E-1,8.541122941E-1
8.890283333E-2,3.073828644E-1,1.605756515E-1,4.141571152E-1,5.401804155E-1
9.898383333E-2,1.502538541E-1,-2.423320055E-2,2.354434007E-1,2.803516785E-1
1.090648333E-1,6.685180128E-2,-2.269473964E-1,8.763105154E-2,2.522964234E-1
1.191458333E-1,-9.697431743E-2,-4.671352279E-1,-1.563030910E-1,5.020458103E-1
1.292268333E-1,-3.169044703E-1,-5.944589335E-1,-1.705632806E-1,6.949112890E-1
1.393078333E-1,-5.030599362E-1,-5.054912084E-1,1.634179831E-2,7.133426355E-1
1.493888333E-1,-5.390115416E-1,-3.238842916E-1,-3.354313731E-2,6.297297979E-1
1.594698333E-1,-4.328629428E-1,-9.036813319E-2,-5.198174715E-2,4.452401923E-1
1.695508333E-1,-2.700980937E-1,6.579462469E-2,2.739595950E-2,2.793428923E-1
1.796318333E-1,-1.379966283E-1,1.342427158E-1,5.053397655E-2,1.990423547E-1
1.897128333E-1,-8.482146442E-2,1.174226153E-1,2.676972270E-2,1.473070584E-1
1.997938333E-1,-8.116139978E-2,6.757802546E-2,-1.578046560E-2,1.067847622E-1
2.098748333E-1,-6.556687564E-2,4.647367001E-3,3.357822061E-2,7.381131417E-2
2.199558333E-1,-6.955438435E-2,-1.106234729E-1,-4.952942491E-2,1.397445136E-1
2.300368333E-1,-8.936095029E-2,-9.583703399E-2,-1.262326151E-1,1.819472166E-1
2.401178333E-1,-1.459312999E-1,4.581878185E-3,-1.459201902E-1,2.064210256E-1
2.501988333E-1,-1.667123044E-1,4.419968784E-2,-1.775822783E-1,2.475521569E-1
2.602798333E-1,-1.211990395E-1,6.452344000E-2,-2.521728694E-1,2.871300012E-1
2.703608333E-1,-5.150578380E-2,7.448884964E-2,-3.000001699E-1,3.133712437E-1
2.804418333E-1,5.088510185E-2,1.139639872E-1,-2.749740869E-1,3.019732313E-1
2.905228333E-1,1.424843663E-1,1.232750934E-1,-3.369212437E-1,3.860239212E-1
3.006038333E-1,1.834239390E-1,1.542401934E-1,-4.663838607E-1,5.243551127E-1
3.106848333E-1,2.511408359E-1,2.259270573E-1,-5.632201838E-1,6.567585022E-1
3.207658333E-1,2.716891211E-1,2.911714590E-1,-5.802917147E-1,7.037998801E-1
3.308468333E-1,2.642964864E-1,3.218137926E-1,-4.634058738E-1,6.230262865E-1
3.409278333E-1,2.597163624E-1,2.868088514E-1,-2.438511121E-1,4.573568311E-1
