"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.277499996E-3,8.545226204E-1,4.861737621E-1,-1.023152812E0,1.418948735E0
7.803500004E-3,7.051288918E-1,3.594461802E-1,-1.622277238E0,1.805046190E0
1.788450000E-2,6.781165096E-1,2.761271578E-1,-2.786745558E0,2.881325912E0
2.796550000E-2,4.982891929E-1,-1.548860183E-1,-3.258415886E0,3.299932709E0
3.804550000E-2,7.640846130E-1,-6.124695271E-1,-2.798396720E0,2.964788090E0
4.812650000E-2,9.102164724E-1,-8.189613166E-1,-1.743735602E0,2.130681936E0
5.820750000E-2,9.448670724E-1,-9.677086356E-1,-9.068651408E-1,1.628385142E0
6.828850000E-2,6.543472856E-1,-9.942254663E-1,-8.318915570E-1,1.452135741E0
7.836950000E-2,2.195242099E-1,-8.753471866E-1,-1.354450203E0,1.627562266E0
8.844950001E-2,4.569764216E-1,-9.952864435E-1,-2.435954719E0,2.670823458E0
9.853049999E-2,7.993300210E-1,-9.274023163E-1,-3.977326958E0,4.161506130E0
1.086115000E-1,9.530467424E-1,-7.881111145E-1,-5.459617175E0,5.597931486E0
1.186925000E-1,1.289549910E0,-7.832669887E-1,-6.094908970E0,6.278882185E0
1.287735000E-1,1.648225720E0,-4.328600192E-1,-2.297021366E0,2.860126392E0
1.388535000E-1,3.045723417E0,-3.125339690E-1,5.942097251E0,6.684506591E0
1.489345000E-1,3.468991663E0,-1.544321867E0,7.856438234E0,8.725964412E0
1.590155000E-1,2.518969393E0,-2.918708444E0,6.852570709E0,7.862683455E0
1.690965000E-1,1.017512149E0,-3.781664211E0,2.833851312E0,4.833945432E0
1.791775000E-1,-3.691178769E-1,-3.731498609E0,-2.678013074E-1,3.759261552E0
1.892575000E-1,-8.832939912E-1,-2.828582386E0,-1.358358482E0,3.259789005E0
1.993391250E-1,-8.228349508E-1,-9.907759014E-1,1.857537621E-1,1.301229689E0
2.094201250E-1,-5.187076700E-1,-1.760807133E-1,1.080171935E0,1.211129008E0
2.195011250E-1,8.495317295E-2,4.174909052E-1,1.322872315E0,1.389786624E0
2.295821250E-1,4.059017238E-1,1.013683538E0,1.546865113E0,1.893436612E0
2.396621250E-1,3.391292985E-1,-1.516723886E-1,2.475381909E0,2.503103831E0
2.497431250E-1,7.920237789E-1,-2.376514556E0,3.102372996E0,3.987460508E0
2.598241250E-1,1.601671943E0,-3.585521409E0,3.444770742E0,5.223768970E0
2.699051250E-1,1.819141003E0,-3.042147552E0,3.111982895E0,4.716818128E0
2.799861250E-1,1.389224033E0,-1.605118145E0,1.111331162E0,2.396122832E0
2.900661250E-1,4.499474837E-1,-4.801920605E-1,-9.224818844E-1,1.133141642E0
3.001471250E-1,-6.561195767E-1,-7.809954916E-1,-3.611784178E0,3.753056329E0
3.102281250E-1,-4.070567535E0,-2.747549040E0,-5.792769889E0,7.594387979E0
3.203091250E-1,-4.666261693E0,-3.340040385E0,-7.194221181E0,9.202536953E0
3.303901250E-1,-4.532903661E0,-3.341735786E0,-6.097395206E0,8.300159153E0
3.404701250E-1,-3.617769096E0,-2.832376644E0,-4.701902227E0,6.574077520E0
3.505511250E-1,-1.865605609E0,-3.737265134E0,-3.758642262E0,5.619166007E0
3.606321250E-1,1.139645720E-1,-4.872561986E0,-1.782200925E0,5.189517162E0
3.707131250E-1,-1.217886727E0,-6.207986519E0,-2.748585459E0,6.897613118E0
3.807941250E-1,-3.815967779E0,-7.966724322E0,-3.967259222E0,9.683462823E0
3.908741250E-1,-7.235105497E0,-9.085815910E0,-4.703126634E0,1.253069042E1
4.009551250E-1,-7.761230360E0,-1.008869701E1,-4.289870574E0,1.343210682E1
4.110361250E-1,-6.447855678E0,-1.067657724E1,-4.053924898E0,1.311481801E1
4.211171250E-1,-5.214570308E0,-1.006446264E1,-4.674667650E0,1.226122626E1
4.311981250E-1,-3.425945631E0,-8.844551021E0,-4.815912407E0,1.063749024E1
4.412781250E-1,-1.522509706E0,-7.869022611E0,-4.433112740E0,9.159259862E0
4.513591250E-1,7.651666403E-3,-7.577557622E0,-3.625570743E0,8.400250072E0
4.614401250E-1,1.394986026E0,-7.638334751E0,-2.122220755E0,8.049469841E0
4.715211250E-1,3.509254421E0,-7.388651626E0,2.874633887E0,8.670095699E0
4.816021250E-1,5.783466969E0,-6.303214273E0,1.951986526E0,8.774351928E0
4.916821250E-1,9.774969331E0,-4.177054688E0,3.439881885E-1,1.063560714E1
5.017631250E-1,1.147023853E1,-1.403223875E0,-4.221349832E-1,1.156346000E1
