"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.580250003E-3,5.517833809E0,-4.413076086E0,-2.525152239E0,7.503207602E0
1.454845833E-2,1.165706877E1,-1.234466040E1,-2.143179222E0,1.711347743E1
2.451845834E-2,1.930304583E1,-2.183239929E1,-1.068018790E-1,2.914228275E1
3.448745834E-2,2.344993795E1,-2.434943384E1,3.998854067E0,3.404093641E1
4.445745833E-2,2.306955786E1,-2.336458497E1,6.172532512E0,3.340970650E1
5.442645833E-2,2.250460222E1,-2.256287557E1,6.700809150E0,3.256441798E1
6.439645834E-2,2.229563910E1,-2.035667433E1,8.380741689E0,3.133251576E1
7.436545833E-2,2.236537534E1,-2.063458547E1,9.997979797E0,3.203054373E1
8.433545833E-2,2.276265388E1,-2.198108229E1,9.944160855E0,3.316915322E1
9.430445834E-2,2.168340756E1,-2.087086444E1,9.831351693E0,3.166099528E1
1.042744583E-1,1.739568174E1,-1.645754511E1,1.096583783E1,2.633837758E1
1.142434583E-1,1.156420563E1,-1.170324657E1,9.344223665E0,1.892118780E1
1.242134583E-1,8.587388722E0,-7.368932476E0,7.154848369E0,1.338791493E1
1.341824583E-1,7.258118384E0,-5.350536198E0,5.162075175E0,1.039016555E1
1.441524583E-1,6.011848102E0,-4.625699558E0,1.660896344E0,7.765178084E0
1.541214583E-1,4.121567827E0,-3.186387545E0,-3.153809783E0,6.089901731E0
1.640914583E-1,1.642869962E0,-6.413951182E-1,-7.744372253E0,7.942651384E0
1.740604583E-1,-1.640781337E-1,1.624114434E0,-1.144188538E1,1.155774245E1
1.840304583E-1,-2.127676061E0,3.009515703E0,-1.339465661E1,1.389248055E1
1.940004583E-1,-4.110045889E0,5.093709530E0,-1.424809281E1,1.567949307E1
2.039694583E-1,-4.927791862E0,8.159464338E0,-1.319363284E1,1.627672997E1
2.139394583E-1,-5.466284171E0,9.629535044E0,-1.223148754E1,1.649901498E1
2.239084583E-1,-5.340728663E0,9.329003363E0,-1.175044295E1,1.592565842E1
2.338784583E-1,-5.262451403E0,8.314436603E0,-1.066130665E1,1.450816013E1
2.438474583E-1,-4.996135288E0,7.666892552E0,-9.162791580E0,1.294987872E1
2.538174583E-1,-4.612341594E0,7.760349185E0,-8.117885957E0,1.214070784E1
2.637864583E-1,-4.407046437E0,7.788153280E0,-7.629210756E0,1.175934720E1
2.737564583E-1,-4.305880836E0,7.679691523E0,-7.252105692E0,1.140663441E1
2.837254583E-1,-4.536899064E0,7.517265812E0,-6.717738594E0,1.105534939E1
2.936954583E-1,-4.865081059E0,7.314469755E0,-6.121555316E0,1.070719015E1
3.036644583E-1,-5.031501587E0,7.079618677E0,-5.510647581E0,1.028611907E1
3.136344583E-1,-5.155978868E0,6.730989554E0,-4.999565265E0,9.843068185E0
3.236034583E-1,-5.393274082E0,6.602301108E0,-4.623868210E0,9.698347409E0
3.335734583E-1,-5.605072512E0,6.555739730E0,-4.241758807E0,9.611819757E0
3.435424583E-1,-5.691019565E0,6.384577695E0,-3.753788780E0,9.340314033E0
3.535124583E-1,-5.702816908E0,6.124159082E0,-3.258001319E0,8.980090074E0
3.634814583E-1,-5.680918500E0,5.850176682E0,-2.813161524E0,8.626197307E0
3.734514583E-1,-5.637367269E0,5.600352640E0,-2.394115552E0,8.299135418E0
3.834214583E-1,-5.650725233E0,5.386766131E0,-1.998181430E0,8.058577668E0
3.933904583E-1,-5.708022099E0,5.248438550E0,-1.591166689E0,7.915771278E0
4.033604583E-1,-5.739015266E0,5.077025669E0,-1.281604421E0,7.768847775E0
4.133294583E-1,-5.756314838E0,4.858163218E0,-1.043656950E0,7.604349426E0
4.232994583E-1,-5.782128541E0,4.648213970E0,-8.634713455E-1,7.468901280E0
4.332684583E-1,-5.718102114E0,4.373826943E0,-7.394195956E-1,7.236974178E0
4.432384583E-1,-5.593856968E0,3.953665907E0,-6.045354402E-1,6.876639657E0
4.532074583E-1,-5.448584649E0,3.386041600E0,-4.828583908E-1,6.433156661E0
4.631774583E-1,-5.072666570E0,2.470557664E0,-4.243537822E-1,5.658239782E0
4.731464583E-1,-4.257502728E0,8.235779858E-1,-5.692761451E-1,4.373635273E0
4.831164583E-1,-2.424669008E0,-2.238002495E0,-9.477403942E-1,3.433057940E0
4.930854583E-1,1.699797285E-1,-6.792250248E0,-1.591803889E0,6.978351966E0
5.030554583E-1,3.976983141E0,-1.294611318E1,-2.105713334E0,1.370592099E1
5.130244583E-1,9.418158783E0,-2.081991414E1,-1.972400326E0,2.293601759E1
5.229944583E-1,1.287782589E1,-2.412573574E1,2.939380690E-2,2.734758470E1
5.329634583E-1,1.492435605E1,-2.419725187E1,4.135065540E0,2.872876900E1
5.429334583E-1,1.532312797E1,-2.391110551E1,5.616516683E0,2.894968872E1
5.529034583E-1,1.284043061E1,-1.959169012E1,2.503181326E0,2.355794763E1
5.628724583E-1,1.120304183E1,-1.545174683E1,2.041575226E0,1.919459965E1
5.728424583E-1,1.125436050E1,-1.529307679E1,4.561195414E0,1.952801402E1
5.828114583E-1,1.299347329E1,-1.832253793E1,5.643630806E0,2.316023128E1
5.927814583E-1,1.611605836E1,-2.187937816E1,5.103186697E0,2.764917793E1
6.027504583E-1,1.746994372E1,-2.042377931E1,6.053153418E0,2.754941672E1
6.127204583E-1,1.715723814E1,-1.469835064E1,8.773281648E0,2.423598157E1
6.226894583E-1,1.555161494E1,-7.762602117E0,8.841939654E0,1.950104140E1
6.326594583E-1,1.366174689E1,-1.907993830E0,7.652784390E0,1.577494461E1
6.426284583E-1,1.113518489E1,2.757830492E0,6.795862073E0,1.333348090E1
