"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.948999999E-3,-1.407138586E0,-4.450264962E0,-1.000171383E1,1.103717250E1
1.591800000E-2,-1.518029569E0,-4.480537752E0,-9.233009623E0,1.037439632E1
2.588800000E-2,-1.622091882E0,-4.350189282E0,-8.318944221E0,9.526812784E0
3.585800000E-2,-1.474746140E0,-4.147068704E0,-7.532992483E0,8.724622099E0
4.582700000E-2,-1.326226863E0,-4.035525464E0,-6.501310923E0,7.766040638E0
5.579700000E-2,-1.137801215E0,-3.872109236E0,-4.603333958E0,6.121969052E0
6.576700000E-2,-1.184297982E0,-3.089599754E0,-2.418608369E0,4.098518609E0
7.573600000E-2,-1.870252976E0,-1.815926496E0,-9.750495225E-1,2.783191838E0
8.570600000E-2,-3.046827663E0,-1.587331939E-1,1.417903018E-1,3.054252695E0
9.567600000E-2,-4.401338385E0,2.205597226E0,1.508262965E0,5.148912106E0
1.056460000E-1,-5.458381659E0,4.520183628E0,3.400352368E0,7.860558924E0
1.156150000E-1,-5.150401209E0,5.546376992E0,6.201598436E0,9.785129203E0
1.255850000E-1,-3.302499507E0,5.184068307E0,9.934709415E0,1.168244488E1
1.355550000E-1,-7.317619358E-1,3.842603601E0,1.520131059E1,1.569652578E1
1.455240000E-1,1.577234236E0,2.475215848E0,2.022931963E1,2.044112849E1
1.554940000E-1,2.914223922E0,1.001119334E0,2.383568578E1,2.403403540E1
1.654640000E-1,3.257961558E0,-1.125103694E-1,2.500330692E1,2.521492274E1
1.754330000E-1,2.939103825E0,5.014917129E-1,2.354408747E1,2.373212760E1
1.854030000E-1,2.418501072E0,1.807483701E0,2.031500707E1,2.053815126E1
1.953730000E-1,1.968454917E0,2.573971227E0,1.632031330E1,1.663889325E1
2.053430000E-1,1.597377017E0,2.915146613E0,1.184225593E1,1.229994791E1
2.153120000E-1,1.346565671E0,3.130859754E0,7.650837268E0,8.375609399E0
2.252820000E-1,8.863794208E-1,3.498148804E0,4.354608023E0,5.655556963E0
2.352520000E-1,4.371087523E-1,3.907690712E0,2.040464255E0,4.429966720E0
2.452210000E-1,5.730696724E-1,4.079620779E0,7.295372164E-1,4.183770919E0
2.551910000E-1,1.211045924E0,4.014918415E0,-1.270822155E-1,4.195515701E0
2.651610000E-1,1.764287249E0,3.707505437E0,-8.448408008E-1,4.191904346E0
2.751300000E-1,2.246118869E0,3.179827554E0,-1.820268053E0,4.297642264E0
2.851000000E-1,2.698670118E0,2.689721831E0,-3.284833022E0,5.030661181E0
2.950700000E-1,2.796249622E0,2.374464229E0,-5.097566938E0,6.280308990E0
3.050390000E-1,2.462821505E0,2.388571222E0,-6.785557525E0,7.603588177E0
3.150090000E-1,1.962659741E0,2.394873643E0,-8.094466104E0,8.666477631E0
3.249790000E-1,1.580816386E0,2.076115021E0,-8.849592490E0,9.226295100E0
3.349490000E-1,1.385963041E0,1.628592816E0,-9.143583477E0,9.390331565E0
3.449180000E-1,1.248557712E0,1.270439748E0,-9.085648679E0,9.258613581E0
3.548880000E-1,1.159390597E0,8.228874296E-1,-8.679144400E0,8.794821078E0
3.648580000E-1,1.047624432E0,3.913190603E-1,-8.159662558E0,8.235942000E0
3.748270000E-1,9.567483222E-1,3.638254523E-2,-7.575594712E0,7.635857927E0
3.847970000E-1,9.840764540E-1,-3.490635717E-1,-7.140971757E0,7.216905811E0
3.947670000E-1,9.518658972E-1,-7.700376633E-1,-7.011209763E0,7.117307709E0
4.047360000E-1,8.808481009E-1,-1.210371301E0,-7.227149191E0,7.380554010E0
4.147060000E-1,9.175211797E-1,-1.635002241E0,-7.578482067E0,7.806949973E0
4.246760000E-1,1.073944796E0,-1.863999964E0,-7.822446615E0,8.112861661E0
4.346460000E-1,1.392289290E0,-1.913865604E0,-8.079655691E0,8.419155962E0
4.446150000E-1,1.716672641E0,-2.101626130E0,-8.262461872E0,8.696670256E0
4.545850000E-1,1.977671444E0,-2.407935154E0,-8.317340330E0,8.881862767E0
4.645550000E-1,2.209001475E0,-2.655027085E0,-8.276744281E0,8.968464318E0
4.745240000E-1,2.370116532E0,-2.876040727E0,-8.182711698E0,8.991431108E0
4.844940000E-1,2.434554018E0,-3.238430688E0,-7.836934846E0,8.822246560E0
4.944640000E-1,2.458151334E0,-3.750340970E0,-7.229013868E0,8.506832952E0
5.044340000E-1,2.316603253E0,-4.178723191E0,-6.616525630E0,8.161298276E0
5.144030000E-1,1.985699087E0,-4.521751267E0,-5.711782444E0,7.550741292E0
5.243730000E-1,1.630682903E0,-4.916574563E0,-4.440719383E0,6.822889476E0
5.343430000E-1,1.066255708E0,-4.982545774E0,-3.061447164E0,5.944335317E0
5.443120000E-1,2.367088844E-1,-4.162102481E0,-1.962538996E0,4.607677014E0
5.542820000E-1,-8.747924320E-1,-2.610882361E0,-1.061725139E0,2.951140250E0
5.642520000E-1,-2.447070860E0,-3.852414644E-1,2.266462648E-1,2.487556092E0
5.742210000E-1,-4.137925998E0,2.503916906E0,1.971795723E0,5.223026882E0
5.841910000E-1,-5.509742432E0,4.616256305E0,5.079241764E0,8.801464698E0
5.941610000E-1,-5.666543705E0,5.200170954E0,9.981448549E0,1.260082579E1
6.041310000E-1,-4.366412382E0,4.417709420E0,1.652569792E1,1.765447267E1
6.141000000E-1,-2.739691259E0,3.082916386E0,2.265643570E1,2.302877244E1
6.240700000E-1,-1.207792825E0,1.548168458E0,2.648300331E1,2.655569719E1
6.340400000E-1,-2.280234303E-1,4.775918037E-2,2.755770518E1,2.755868992E1
6.440090000E-1,2.433358262E-1,5.823025721E-1,2.645549333E1,2.646301978E1
6.539790000E-1,6.761899982E-1,2.394320789E0,2.366706845E1,2.379748168E1
6.639490000E-1,1.152497315E0,3.512937582E0,2.018286467E1,2.051869896E1
6.739180000E-1,1.600931978E0,4.037329038E0,1.636633322E1,1.693280461E1
6.838880000E-1,2.007655528E0,4.171446331E0,1.251807478E1,1.334667904E1
6.938580000E-1,2.344363640E0,3.861458825E0,9.177931775E0,1.022943482E1
