"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.295833423E-5,1.579355313E0,1.681101397E0,-9.794039440E-1,2.505932401E0
1.001295833E-2,1.446462720E0,-1.329010137E0,7.278883016E-1,2.094837398E0
1.998295833E-2,1.001198709E0,-4.179809604E0,3.361223386E0,5.456283518E0
2.995195834E-2,8.288859420E-1,-3.974007493E0,2.118712864E0,4.579162769E0
3.992195833E-2,9.656360900E-1,-4.181693577E0,1.329685893E-1,4.293797256E0
4.989195833E-2,8.519020446E-1,-3.895420330E0,-1.524199734E-1,3.990397034E0
5.986095833E-2,3.305410543E-1,-3.572852831E0,-2.364672482E-1,3.595893700E0
6.983095833E-2,-7.267301144E-1,-2.830628327E0,-1.727154652E0,3.394651171E0
7.980095833E-2,-1.188771102E0,-4.359613824E-1,-2.379374136E0,2.695303386E0
8.976995833E-2,-1.410994240E0,3.005731970E-1,-6.621042019E-1,1.587334548E0
9.973995833E-2,-6.979004176E-1,2.023920143E0,-9.045291781E-2,2.142778446E0
1.097099583E-1,-1.294243178E-1,1.500730582E0,5.623021710E-1,1.607832910E0
1.196789583E-1,4.169610013E-1,2.002453845E0,-6.959532217E-1,2.160562140E0
1.296489583E-1,-6.397495656E-1,-3.833304189E0,2.491704996E0,4.616502388E0
1.396189583E-1,-9.964770828E-1,-8.238325735E0,3.638560917E0,9.061021082E0
1.495879583E-1,-9.767459460E-1,-4.550672765E0,-8.107544571E-1,4.724402401E0
1.595579583E-1,4.455060849E-1,-2.332495839E0,-2.273102161E0,3.287248994E0
1.695269583E-1,1.560406972E0,-2.198941925E0,4.470950657E-1,2.733150107E0
1.794969583E-1,9.280333771E-1,7.624769211E-4,8.528473932E-1,1.260394861E0
1.894669583E-1,4.280370165E-1,2.955220798E0,1.046905956E0,3.164262589E0
1.994359583E-1,8.174872336E-1,1.607317137E0,-1.826518142E-1,1.812488742E0
2.094059583E-1,1.272197421E0,1.051616473E0,-1.897875954E0,2.515217012E0
2.193759583E-1,1.675239564E0,1.506429278E0,-1.644560539E0,2.789325390E0
2.293449583E-1,1.956034115E0,6.542940760E-1,-5.299466032E-1,2.129557137E0
2.393149583E-1,1.667320533E0,-4.638274580E-1,1.212963957E-1,1.734879387E0
2.492849583E-1,1.093002773E0,-8.633139092E-1,6.311240454E-1,1.529144705E0
2.592539583E-1,3.723328587E-1,5.015098393E-1,1.489513868E-1,6.421295759E-1
2.692239583E-1,-1.242143025E-1,1.008799651E0,-4.888237202E-1,1.127853962E0
2.791939583E-1,-1.163254584E0,-2.209203789E0,-3.099217254E-1,2.515908202E0
2.891629583E-1,-1.908800746E0,-1.325547416E0,-4.239365834E-1,2.362269770E0
2.991329583E-1,-1.632492909E0,-4.483457851E-1,-5.937601912E-1,1.794045207E0
3.091019583E-1,-1.450084631E0,-9.226882911E-1,-5.330871427E-1,1.799522443E0
3.190719583E-1,-1.907172588E0,-1.036571002E0,8.234265429E-1,2.321598156E0
3.290419583E-1,-2.448534711E0,-5.848250610E-1,6.562271655E-1,2.601533524E0
3.390109583E-1,-2.326096646E0,-5.785667861E-1,8.845808172E-1,2.554985001E0
3.489809583E-1,-1.731003875E0,-1.284220465E0,6.749400097E-1,2.258570485E0
3.589509583E-1,-9.902999380E-1,-2.455417761E0,4.040162891E-1,2.678245603E0
3.689199583E-1,-5.192843516E-1,-2.973835409E0,6.275816560E-1,3.083376722E0
3.788899583E-1,-3.425752088E-2,-2.472083495E0,9.176678717E-2,2.474023348E0
3.888599583E-1,6.891047435E-1,-1.833136021E0,-2.008080035E0,2.804931095E0
3.988289583E-1,1.304097198E0,-7.822305697E-1,-3.324180690E0,3.655507000E0
4.087989583E-1,1.958021438E0,-6.939101315E-1,-4.259251045E0,4.738837271E0
4.187689583E-1,2.505641835E0,-1.436374957E0,-5.135986653E0,5.892348676E0
4.287379583E-1,2.779411395E0,-6.948719984E-1,-6.033062970E0,6.678759136E0
4.387079583E-1,2.759977589E0,1.335682395E0,-4.749879801E0,5.653572488E0
4.486779583E-1,1.886997648E0,6.032680562E0,-4.168514537E0,7.571691247E0
4.586469583E-1,8.114165081E-1,9.945325620E0,-5.539022364E0,1.141265382E1
4.686169583E-1,-1.416254103E-1,1.060999500E1,-2.399661051E0,1.087889814E1
4.785859583E-1,-1.817259369E0,1.335990076E1,-1.573600338E0,1.357444650E1
4.885559583E-1,-3.565788226E0,1.573508770E1,4.564161122E-1,1.614051258E1
4.985259583E-1,-4.859869143E0,1.614003896E1,6.075458207E0,1.791732062E1
5.084949583E-1,-6.065798607E0,1.594404029E1,1.141820065E1,2.052758241E1
5.184649583E-1,-7.657784345E0,1.349219050E1,1.273784355E1,2.007320413E1
5.284349583E-1,-8.438927332E0,8.522248986E0,1.232839695E1,1.719981377E1
5.384039583E-1,-8.420236707E0,3.974941294E0,1.145438907E1,1.476155728E1
5.483739583E-1,-7.492889940E0,-9.942313135E-1,1.175915998E1,1.397890336E1
5.583439583E-1,-5.321087281E0,-1.026471223E1,1.167506416E1,1.643123276E1
5.683129583E-1,-1.158330936E0,-2.315550257E1,8.152137192E0,2.457593072E1
5.782829583E-1,5.774779176E0,-3.843995823E1,-7.813393371E0,3.964880300E1
5.882529583E-1,1.388694071E1,-4.201327825E1,-1.476535505E1,4.664738344E1
5.982219583E-1,1.620383676E1,-2.402146118E1,-7.491036372E0,2.992842376E1
6.081919583E-1,1.417261812E1,-1.175245206E1,-3.439374347E0,1.872999011E1
6.181619583E-1,1.097338775E1,-7.913748549E0,-3.050164962E0,1.386889185E1
6.281309583E-1,7.892178170E0,-9.624739158E0,-2.048019442E0,1.261413746E1
6.381009583E-1,3.912129918E0,-1.361152282E1,4.896014584E0,1.498496823E1
6.480709583E-1,-4.211647108E-1,-1.589742161E1,8.798165059E0,1.817451793E1
6.580399583E-1,-2.122527880E0,-1.452649278E1,5.982148340E0,1.585276682E1
6.680099583E-1,-4.479018061E0,-1.107569532E1,4.473882451E0,1.275728238E1
6.779799583E-1,-5.962865392E0,-7.115913514E0,-1.071050279E0,9.345541051E0
6.879489583E-1,-5.979828165E0,-3.401510117E0,-5.334949275E0,8.705762444E0
6.979189583E-1,-5.260086789E0,-8.393695611E-1,-5.730356709E0,7.823684700E0
