"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.828333332E-3,-9.789925339E0,-8.555043679E-1,1.799400803E0,9.990614051E0
1.979733333E-2,-9.811460634E0,-1.755319521E-1,2.700183377E0,1.017774835E1
2.976733333E-2,-9.832018275E0,4.295542958E-1,3.173875965E0,1.034053136E1
3.973733333E-2,-1.002429578E1,7.804749432E-1,3.715168798E0,1.071905435E1
4.970633333E-2,-9.960666375E0,1.136086519E0,4.044188407E0,1.081022789E1
5.967633333E-2,-9.942165785E0,1.671598502E0,4.369629227E0,1.098792800E1
6.964633333E-2,-9.998549316E0,2.080337880E0,4.497219273E0,1.115902215E1
7.961533333E-2,-9.879504683E0,2.299558473E0,4.398025353E0,1.105600330E1
8.958533333E-2,-9.762002546E0,2.283763390E0,4.238174756E0,1.088459435E1
9.955533333E-2,-9.765142500E0,2.259286945E0,4.233770049E0,1.088058796E1
1.095253333E-1,-9.766732943E0,2.406575091E0,4.019258218E0,1.083213334E1
1.194943333E-1,-9.696067588E0,2.499869463E0,3.772491977E0,1.070022288E1
1.294643333E-1,-9.628829286E0,2.595147504E0,3.882439511E0,1.070151767E1
1.394343333E-1,-9.661904646E0,2.674678407E0,4.011566791E0,1.079810048E1
1.494033333E-1,-9.777501760E0,2.774126097E0,4.236343408E0,1.101099095E1
1.593733333E-1,-9.908195801E0,2.872634724E0,4.567080637E0,1.128195904E1
1.693434167E-1,-1.004860031E1,2.766590498E0,4.791854038E0,1.147127963E1
1.793124167E-1,-1.013332764E1,2.719635017E0,5.032184542E0,1.163630632E1
1.892824167E-1,-1.020080684E1,2.737896456E0,5.137825602E0,1.174520282E1
1.992524167E-1,-1.025536604E1,2.661168123E0,5.110892158E0,1.176331446E1
2.092214167E-1,-1.024564680E1,2.404030675E0,4.982301360E0,1.164370941E1
2.191914167E-1,-1.022549262E1,2.108571161E0,4.802383119E0,1.149215625E1
2.291614167E-1,-1.018228287E1,1.700176769E0,4.613171314E0,1.130711435E1
2.391314167E-1,-1.012643494E1,1.102753882E0,4.279683848E0,1.104882096E1
2.491004167E-1,-9.846049254E0,3.934626496E-1,3.739623900E0,1.053965302E1
2.590704167E-1,-9.264903261E0,-2.430041429E-1,3.078694989E0,9.766055820E0
2.690404167E-1,-8.548810548E0,-1.232241934E0,1.954722731E0,8.855592748E0
2.790094167E-1,-7.439946325E0,-2.692795128E0,-1.183154851E-2,7.912274446E0
2.889794167E-1,-5.333979222E0,-5.545184160E0,-4.349427974E0,8.838434557E0
2.989494167E-1,7.071268854E0,-2.005663966E1,-1.852906042E1,2.820634180E1
3.089194167E-1,5.121219744E1,-3.350549060E1,-1.504095538E1,6.302013492E1
3.188884167E-1,7.108277168E1,-1.724186723E1,3.020607287E0,7.320632816E1
3.288584167E-1,6.671639847E1,-1.575274161E1,-2.353724623E1,7.247916013E1
3.388284167E-1,4.841068415E1,-9.409100862E0,-4.256345914E1,6.514425204E1
3.487974167E-1,2.787030434E1,-1.825659332E0,-1.682867023E1,3.260814373E1
3.587674167E-1,1.555080685E1,7.747436486E-1,-7.368671690E0,1.722571171E1
3.687374167E-1,9.833903418E0,1.779676536E0,-5.261488366E0,1.129407654E1
3.787074167E-1,6.453216405E0,2.911670735E0,-2.257214984E0,7.430803989E0
3.886764167E-1,3.534060649E0,2.183854793E0,-5.941484463E-1,4.196643755E0
3.986464167E-1,7.668974161E-2,2.070308882E0,-8.762135978E-1,2.249402243E0
4.086164167E-1,-2.680306352E0,3.024973987E0,-1.475713124E0,4.302585152E0
4.185854167E-1,-4.804315624E0,4.707136654E0,-1.207601914E0,6.833512017E0
4.285554167E-1,-6.775437748E0,5.416047817E0,-1.940187284E-1,8.676276500E0
4.385254167E-1,-8.050849968E0,5.025478370E0,7.021816758E-1,9.516547544E0
4.484944167E-1,-8.981213899E0,4.393342903E0,1.093349805E0,1.005778697E1
4.584644167E-1,-9.496084626E0,3.815007666E0,1.023617080E0,1.028482857E1
4.684344167E-1,-9.843179440E0,2.903815001E0,7.332104373E-1,1.028872784E1
4.784044167E-1,-1.004374595E1,2.281793024E0,5.822856152E-1,1.031612663E1
4.883734167E-1,-1.013149161E1,1.983077926E0,5.925638509E-1,1.034073751E1
4.983434167E-1,-1.013775047E1,1.923211647E0,7.165692616E-1,1.034341332E1
5.083134167E-1,-1.013944850E1,1.936887115E0,7.778048122E-1,1.035204946E1
5.182824167E-1,-1.014167278E1,1.925189029E0,8.561050232E-1,1.035822357E1
