"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.078666664E-3,1.917980874E0,7.379495471E0,1.869814435E0,7.850592975E0
1.104866667E-2,2.583508328E0,9.085839883E0,1.609083581E0,9.582074495E0
2.101766667E-2,2.806917282E0,1.008886775E1,1.405004060E0,1.056589199E1
3.098666666E-2,2.723881265E0,1.061980662E1,9.537299895E-1,1.100497264E1
4.095566667E-2,2.638272473E0,1.071427892E1,4.459121740E-1,1.104332794E1
5.092566667E-2,2.703079503E0,1.044549177E1,2.634930789E-2,1.078960756E1
6.089466667E-2,3.107778747E0,1.029408397E1,-1.036861024E0,1.080284843E1
7.086366666E-2,3.601279070E0,1.031944100E1,-2.169988852E0,1.114311111E1
8.083366667E-2,4.087506334E0,1.041967748E1,-2.304392366E0,1.142749365E1
9.080266667E-2,4.446126303E0,1.020136818E1,-1.333323044E0,1.120775188E1
1.007716667E-1,4.590275664E0,1.006729035E1,-1.230727980E-1,1.106508530E1
1.107416667E-1,4.489918440E0,1.017079776E1,7.516870540E-1,1.114313817E1
1.207106667E-1,4.306910530E0,1.039083434E1,7.538394141E-1,1.127329545E1
1.306796667E-1,3.959500551E0,1.056824237E1,1.089107869E-1,1.128615315E1
1.406486667E-1,3.376050755E0,1.074758700E1,-9.098097986E-1,1.130203959E1
1.506186667E-1,2.841056543E0,1.107787984E1,-1.831789992E0,1.158216208E1
1.605876667E-1,2.255294758E0,1.135089335E1,-2.304444991E0,1.179998310E1
1.705566667E-1,1.564479412E0,1.150133753E1,-2.247184963E0,1.182278314E1
1.805266667E-1,9.223263484E-1,1.139263662E1,-1.702501622E0,1.155600999E1
1.904956667E-1,6.298443823E-1,1.111368935E1,-6.881880462E-1,1.115277534E1
2.004646667E-1,7.740964349E-1,1.066453782E1,6.446508479E-1,1.071201041E1
2.104346667E-1,1.070372367E0,9.992357115E0,1.963419002E0,1.023952694E1
2.204036667E-1,1.332596235E0,9.297042482E0,2.900036530E0,9.829599357E0
2.303726667E-1,1.537624320E0,8.633352515E0,3.240554981E0,9.348810662E0
2.403416667E-1,1.627121949E0,8.206516297E0,2.713707987E0,8.795376434E0
2.503116667E-1,1.763957613E0,7.887473500E0,1.656505669E0,8.250320946E0
2.602806667E-1,2.063734711E0,7.342398396E0,2.075340374E-1,7.629736925E0
2.702496667E-1,2.425083575E0,6.407659578E0,-2.199427829E0,7.195596875E0
2.802196667E-1,2.563174636E0,4.679730170E0,-7.943358264E0,9.569047977E0
2.901886667E-1,2.548374749E0,1.611340021E0,-1.064992446E1,1.106849229E1
3.001576667E-1,2.107335790E0,-4.399245667E0,8.205725169E-1,4.946470037E0
3.101276667E-1,1.278885904E0,-2.883887690E1,1.439508480E1,3.225732222E1
3.200966667E-1,-1.772719227E0,-6.164367694E1,1.320746852E1,6.306760392E1
3.300656667E-1,-5.117715273E0,-6.917460068E1,-4.774524645E0,6.952778203E1
3.400356667E-1,-6.358602608E0,-5.412353547E1,-1.305879020E1,5.603856636E1
3.500046667E-1,-2.455721523E0,-1.710368700E1,-3.165800668E0,1.756670063E1
3.599736667E-1,-1.491831704E0,-8.057416391E0,7.501544988E-1,8.228623974E0
3.699426667E-1,-2.552057910E0,-1.046585645E1,1.252730870E-1,1.077324669E1
3.799126667E-1,-2.201377583E0,-1.272279983E1,1.396264812E0,1.298711878E1
3.898816667E-1,-1.932433437E0,-1.214451956E1,9.817790830E-1,1.233643160E1
3.998506667E-1,-1.557546076E0,-9.781478451E0,4.925004494E-1,9.916946464E0
4.098206667E-1,-7.799769066E-1,-7.721495022E0,1.110539449E0,7.839843571E0
4.197896667E-1,3.357304582E-1,-5.670684119E0,1.751804760E0,5.944593614E0
4.297586667E-1,2.012191651E0,-3.345686749E0,1.581007590E0,4.212139607E0
4.397286667E-1,3.929676243E0,-1.129385026E0,9.826175737E-1,4.205163874E0
4.496976667E-1,5.210891824E0,9.688836336E-1,4.277565694E-1,5.317434041E0
4.596666667E-1,5.711220526E0,3.136442383E0,-3.391402620E-1,6.524593998E0
4.696366667E-1,5.201730992E0,5.375355290E0,-4.580416381E-1,7.494147846E0
4.796056667E-1,4.276299772E0,7.175119497E0,1.783839315E-1,8.354693313E0
4.895746667E-1,3.426420718E0,8.366759827E0,5.496049422E-1,9.057874725E0
4.995436667E-1,2.743377052E0,9.294069173E0,2.875064059E-1,9.694766597E0
5.095136667E-1,2.297373076E0,1.012290556E1,-2.593322186E-1,1.038356361E1
5.194826667E-1,1.928355881E0,1.075199463E1,-1.243491100E0,1.099409910E1
5.294516667E-1,1.852595262E0,1.127342242E1,-2.849880869E0,1.177471797E1
5.394216667E-1,2.000196527E0,1.176420613E1,-4.499889697E0,1.275328739E1
5.493906667E-1,2.517682129E0,1.177897620E1,-4.809606770E0,1.296978492E1
5.593596667E-1,3.182438920E0,1.118680177E1,-2.017164854E0,1.180429606E1
5.693296667E-1,3.921044291E0,1.068812081E1,3.155596107E-1,1.138903388E1
5.792986667E-1,4.241035506E0,1.025533096E1,2.006149870E0,1.127753664E1
5.892676667E-1,4.330925337E0,9.921003542E0,2.578627950E0,1.112800735E1
5.992376667E-1,4.075062582E0,9.707942113E0,2.173684877E0,1.075058980E1
6.092066667E-1,3.498359889E0,9.690951859E0,1.144577846E0,1.036644241E1
6.191756667E-1,2.976922154E0,9.965735911E0,-2.352598347E-1,1.040352368E1
6.291446667E-1,2.518607451E0,1.036645028E1,-1.463083284E0,1.076788222E1
6.391146667E-1,2.068394065E0,1.063358266E1,-2.129722002E0,1.104024683E1
6.490836667E-1,1.686006919E0,1.065859471E1,-1.401492223E0,1.088174807E1
6.590526667E-1,1.499188233E0,1.049879031E1,-1.957518796E-1,1.060709584E1
6.690226667E-1,1.452008804E0,1.035798936E1,3.452605426E-1,1.046496431E1
6.789916667E-1,1.381231766E0,1.015678667E1,4.165989125E-1,1.025873634E1
6.889606667E-1,1.317762287E0,9.925229909E0,4.003851682E-1,1.002032906E1
6.989306667E-1,1.270668958E0,9.726856686E0,4.867426962E-1,9.821571109E0
7.088996667E-1,1.312273067E0,9.318525152E0,5.658444142E-1,9.427467927E0
7.188686667E-1,1.426398730E0,8.928463828E0,6.927102828E-1,9.068182133E0
7.288386667E-1,1.633256994E0,8.892646708E0,7.950634539E-1,9.076277860E0
7.388076667E-1,2.245944768E0,8.716483549E0,2.486978692E-1,9.004621258E0
7.487766667E-1,3.157544107E0,7.761211649E0,-3.205123193E0,8.971025902E0
7.587466667E-1,3.417114874E0,5.655293078E0,-1.264246611E1,1.426502587E1
7.687156667E-1,1.892286162E0,4.288128689E0,-1.186541091E1,1.275761618E1
7.786846667E-1,1.491387755E0,1.654114158E0,-6.052809602E-1,2.307963631E0
7.886546667E-1,1.437905612E0,-8.046128926E0,9.855036424E0,1.280349586E1
7.986236667E-1,-7.751518574E-1,-3.253874705E1,1.793809636E1,3.716377565E1
8.085926667E-1,-1.346688463E0,-5.927329991E1,9.926501094E0,6.011383432E1
8.185626667E-1,2.885515555E0,-6.675865747E1,-1.644288263E1,6.881433671E1
8.285316667E-1,1.318688925E0,-3.532987334E1,-8.325763829E0,3.632158083E1
8.385006667E-1,-2.748886298E0,-1.022755318E1,9.756589193E0,1.439966154E1
8.484696667E-1,-3.621829110E0,-4.697054885E0,8.298983581E0,1.020064210E1
8.584392083E-1,-6.103799077E0,-4.797366793E0,4.634445823E0,9.041525281E0
8.684082083E-1,-6.325440710E0,-8.425043703E0,2.427884392E0,1.081143766E1
8.783782083E-1,-5.247822838E0,-1.166127408E1,2.838261867E0,1.309888118E1
8.883472083E-1,-4.301622016E0,-1.245145277E1,2.188062011E0,1.335403473E1
8.983162083E-1,-3.847251552E0,-1.144994285E1,1.150896932E0,1.213371746E1
9.082852083E-1,-3.564220587E0,-1.023077850E1,1.990614402E-1,1.083568745E1
9.182552083E-1,-2.927513766E0,-9.485573671E0,-1.525864838E0,1.004364019E1
9.282242083E-1,-1.420241612E0,-8.639757555E0,-4.053800937E0,9.648616423E0
9.381932083E-1,-1.358834445E-2,-7.053330765E0,-4.863909277E0,8.567804443E0
9.481632083E-1,5.752131155E-1,-5.381715891E0,-3.212565529E0,6.293990256E0
9.581322083E-1,1.056420253E0,-2.904188054E0,-1.887404029E0,3.621136006E0
9.681012083E-1,1.536499169E0,1.973295534E0,-9.325139523E-1,2.669139793E0
9.780712083E-1,1.510474382E0,6.131211993E0,-5.113659060E-1,6.335202321E0
9.880402083E-1,1.477372710E0,8.289857832E0,3.664098303E-2,8.420553162E0
9.980092083E-1,1.899083843E0,9.329279351E0,5.070243484E-1,9.534099136E0
1.007979208E0,2.437071244E0,9.926787608E0,5.021717807E-1,1.023389491E1
1.017948208E0,2.871788632E0,1.024913525E1,6.081517238E-2,1.064404255E1
1.027917208E0,3.225724688E0,1.028696908E1,-5.244005191E-1,1.079361054E1
1.037887208E0,3.636898262E0,1.025798092E1,-6.592566079E-1,1.090356918E1
1.047856208E0,3.896792087E0,1.024256532E1,-1.315549847E0,1.103747273E1
1.057825208E0,4.060306841E0,1.031845984E1,-2.070268682E0,1.128019138E1
1.067795208E0,4.173153718E0,1.034833210E1,-2.084085068E0,1.135106161E1
1.077764208E0,4.182591417E0,1.009561310E1,-5.329877400E-1,1.094072898E1
1.087733208E0,4.047864551E0,9.906479058E0,1.050223081E0,1.075297648E1
1.097703208E0,3.865950363E0,9.891374531E0,1.794688239E0,1.077059739E1
1.107672208E0,3.660035986E0,9.955191042E0,1.908990780E0,1.077710248E1
1.117641208E0,3.266411076E0,9.961580880E0,1.551371562E0,1.059760769E1
1.127611208E0,2.778320305E0,9.980672039E0,1.075439783E0,1.041582684E1
1.137580208E0,2.513239707E0,1.008457238E1,6.404180485E-1,1.041273784E1
1.147549208E0,2.321267138E0,1.014762993E1,2.381687880E-1,1.041246362E1
1.157519208E0,2.276635634E0,1.016707777E1,-2.210767919E-1,1.042120027E1
1.167488208E0,2.340103944E0,1.019186411E1,-6.370564842E-1,1.047645081E1
1.177457208E0,2.249377668E0,1.020020575E1,-9.993593216E-1,1.049297938E1
1.187427208E0,2.175225765E0,1.015142828E1,-1.296147616E0,1.046246156E1
1.197396208E0,2.144917892E0,1.001325389E1,-1.393778576E0,1.033482196E1
1.207365208E0,2.126345527E0,9.756872199E0,-1.360448277E0,1.007813077E1
1.217335208E0,2.091692296E0,9.413783897E0,-1.235900829E0,9.722240214E0
1.227304208E0,1.962140070E0,8.995215057E0,-1.093258588E0,9.271413157E0
1.237273208E0,1.942746171E0,8.580526430E0,-1.120022464E0,8.868717315E0
1.247243208E0,2.224400994E0,7.918112910E0,-2.087382313E0,8.485377821E0
1.257212208E0,2.815423812E0,6.718584101E0,-5.156948336E0,8.925250680E0
1.267181208E0,2.490488191E0,5.496037728E0,-7.101576726E0,9.318870861E0
1.277151208E0,9.258604056E-1,3.883232394E0,-8.686048207E0,9.559505467E0
1.287120208E0,4.569019062E-1,1.067422666E0,-1.191508183E0,1.663683339E0
1.297089208E0,1.922767113E0,-3.345185058E0,1.093743556E1,1.159805127E1
1.307059208E0,1.487879864E0,-1.826256421E1,1.869124581E1,2.617437120E1
1.317028208E0,1.214826514E0,-4.767302749E1,1.159566949E1,4.907802874E1
1.326997208E0,3.133673434E-1,-6.381888794E1,-1.585483283E1,6.575959535E1
1.336967208E0,-7.832002135E0,-4.914852324E1,1.729499971E0,4.979868236E1
1.346936208E0,-7.505750306E0,-1.793526748E1,8.361832379E0,2.116436505E1
1.356905208E0,-5.013081104E0,-2.231394557E0,-8.244533139E-1,5.548858179E0
1.366875208E0,-6.490880660E0,-4.239421383E0,5.957190084E-1,7.775545417E0
1.376844208E0,-7.005962471E0,-1.056557019E1,3.102302245E0,1.305140080E1
1.386813208E0,-7.012351724E0,-1.193799824E1,3.787105923E0,1.435378173E1
1.396783208E0,-6.097354860E0,-1.151006158E1,3.282728609E0,1.343263046E1
1.406752208E0,-5.171492701E0,-1.070580513E1,4.510004210E-1,1.189798309E1
1.416721208E0,-4.654460550E0,-1.009430098E1,-4.701624484E0,1.206914198E1
1.426691208E0,-4.351430353E0,-9.965062312E0,-6.165078481E0,1.249982423E1
1.436660208E0,-4.617503808E0,-1.077516480E1,-3.632617807E0,1.227279227E1
1.446629208E0,-3.776260507E0,-1.124146037E1,-2.243136935E0,1.206906119E1
1.456599208E0,-1.402719553E0,-8.408967953E0,-3.071952857E0,9.061746992E0
1.466568208E0,2.364222246E-1,-3.316853544E0,-3.168747665E0,4.593296710E0
1.476537208E0,1.014384912E0,1.327281700E0,-3.139567720E0,3.556337853E0
1.486507208E0,1.857014880E0,4.254957435E0,-1.881562661E0,5.009335792E0
1.496476208E0,2.998433183E0,6.391059333E0,1.576351416E-1,7.061238545E0
1.506445208E0,4.230573668E0,7.376947255E0,1.781684031E0,8.688584600E0
1.516415208E0,5.269223063E0,8.226681005E0,2.645860405E0,1.012144107E1
1.526384208E0,5.721357259E0,8.761370870E0,2.356478194E0,1.072606815E1
1.536353208E0,5.805470041E0,9.011642225E0,1.581259021E0,1.083575369E1
1.546323208E0,5.589561603E0,9.235544391E0,1.190391438E0,1.086073252E1
1.556292208E0,5.402793934E0,9.388954865E0,7.949956262E-1,1.086161470E1
1.566261208E0,5.313270723E0,9.495878220E0,3.842509460E-1,1.088807594E1
1.576231208E0,5.130117803E0,9.658393393E0,-3.092112887E-1,1.094067106E1
1.586200208E0,5.090622200E0,9.714563500E0,-1.589101306E0,1.108207658E1
1.596169208E0,5.495617898E0,9.504147937E0,-2.633529797E0,1.129008960E1
1.606139208E0,5.822715234E0,9.071970872E0,-2.168416536E0,1.099575820E1
1.616108208E0,6.029035993E0,8.648290982E0,-7.519110024E-1,1.056918077E1
1.626077208E0,6.163844719E0,8.446650335E0,4.410455364E-1,1.046582079E1
1.636047208E0,6.165008315E0,8.416489227E0,1.218912329E0,1.050382624E1
1.646016208E0,5.913099740E0,8.655131055E0,1.536367607E0,1.059417139E1
1.655985208E0,5.146813942E0,8.973632984E0,1.276061261E0,1.042324878E1
1.665955208E0,4.220192522E0,9.428537591E0,4.802272169E-1,1.034108138E1
1.675924208E0,3.518875430E0,1.011881602E1,-6.324710977E-1,1.073186571E1
1.685893208E0,2.572183149E0,1.063899835E1,-1.707419715E0,1.107789214E1
1.695863208E0,1.766996557E0,1.098052136E1,-2.513456054E0,1.140226238E1
1.705832208E0,1.246518935E0,1.114940181E1,-2.715674406E0,1.154287042E1
1.715801208E0,9.074970055E-1,1.111124171E1,-1.956943211E0,1.131869559E1
1.725771208E0,6.309113529E-1,1.092135689E1,-9.989751595E-1,1.098508247E1
1.735740208E0,3.742761809E-1,1.073144400E1,-3.554721200E-1,1.074385096E1
1.745709208E0,6.159113444E-2,1.050073159E1,-5.928842783E-2,1.050107958E1
1.755679208E0,-2.885752587E-1,1.015280705E1,-1.327200917E-1,1.015777443E1
1.765648208E0,-6.238985679E-1,9.645375736E0,-6.097809774E-1,9.684748596E0
1.775617208E0,-8.285150823E-1,8.959499094E0,-1.285993341E0,9.089160585E0
1.785587208E0,-7.550340734E-1,8.160567123E0,-2.205649266E0,8.487038406E0
1.795556208E0,-5.373711783E-1,6.794874478E0,-2.854400766E0,7.389634002E0
1.805526208E0,-3.944134434E-1,4.326089982E0,4.861328316E-1,4.371148777E0
1.815495208E0,1.193074653E0,-6.873471581E0,9.567263367E0,1.184063204E1
1.825464208E0,5.448481153E0,-3.874807141E1,1.935450717E1,4.365427737E1
1.835434208E0,7.934976865E0,-5.626353687E1,1.247421832E1,5.817349536E1
1.845403208E0,6.972575455E0,-5.918075954E1,-6.020416027E0,5.989344302E1
1.855372208E0,1.805937259E0,-5.014454731E1,-9.178146953E0,5.100956201E1
1.865342208E0,-1.408554051E0,-2.821765936E1,-2.195014935E0,2.833793243E1
1.875311208E0,-3.197119817E0,-1.494462718E1,-1.774419451E-1,1.528381308E1
1.885280208E0,-4.482653567E0,-8.061953246E0,9.180298144E-1,9.269954255E0
1.895250208E0,-5.725449725E0,-6.033782762E0,1.810448239E0,8.512639532E0
1.905219208E0,-6.273383533E0,-5.718524868E0,9.818036413E-1,8.545221238E0
1.915188208E0,-6.039782006E0,-5.175181124E0,5.957780653E-1,7.975990086E0
1.925158208E0,-5.780909396E0,-5.357845802E0,8.455208319E-1,7.927189323E0
1.935127208E0,-4.802210919E0,-4.061032773E0,9.204084617E-1,6.356128431E0
1.945096208E0,-4.261512163E0,-3.393350328E0,1.413546660E-1,5.449338814E0
1.955066208E0,-3.443367410E0,-3.448694808E0,-1.090427366E0,4.993926996E0
1.965035208E0,-1.923654135E0,-2.743797759E0,-2.450681516E0,4.151470976E0
1.975004208E0,-5.007087708E-2,-9.433605373E-1,-3.315156682E0,3.447129244E0
1.984974208E0,1.474763097E0,9.844097453E-1,-2.885262955E0,3.386551500E0
1.994943208E0,2.966448329E0,3.825402262E0,-1.142616690E0,4.973840674E0
2.004912208E0,4.153542157E0,7.248637124E0,1.621078413E-2,8.354335125E0
2.014882208E0,4.684115582E0,8.937918191E0,6.253195144E-2,1.009114615E1
2.024851208E0,4.885277634E0,9.528658880E0,4.438913763E-1,1.071719726E1
2.034820208E0,5.031761788E0,9.817875030E0,3.152409009E-1,1.103669668E1
2.044790208E0,5.294695289E0,9.852651930E0,-5.403137896E-1,1.119823590E1
2.054759208E0,5.672137152E0,9.891248231E0,-2.850007753E0,1.175297731E1
2.064728208E0,6.570230885E0,1.015325495E1,-7.489666370E0,1.422503505E1
2.074698208E0,7.358347262E0,9.773567169E0,-6.621183522E0,1.391071389E1
2.084667208E0,7.110452800E0,8.816535257E0,-1.108412232E0,1.138061556E1
2.094636208E0,6.735603592E0,8.337034922E0,1.178512162E0,1.078255062E1
2.104606208E0,6.417257783E0,8.109251958E0,1.990907933E0,1.053113855E1
2.114575208E0,6.388883584E0,7.918802297E0,2.103537000E0,1.038990525E1
2.124545208E0,6.104706565E0,8.196208826E0,1.811869698E0,1.037921737E1
2.134514208E0,5.264675099E0,8.910294190E0,8.791744816E-1,1.038667869E1
2.144483208E0,4.196443470E0,9.580888549E0,1.967412651E-1,1.046146597E1
2.154453208E0,3.203126661E0,1.010385299E1,3.555212367E-1,1.060538830E1
2.164422208E0,2.391448929E0,1.035223804E1,6.298690867E-1,1.064352364E1
