"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.113075000E-2,4.971133178E0,-3.912448007E-1,-1.465643195E0,5.197436632E0
2.119875001E-2,3.832868864E0,2.965775022E0,-1.619634297E0,5.109786734E0
3.126675001E-2,2.034272638E0,5.560005097E0,-1.736550543E0,6.169888949E0
4.133375001E-2,-4.797187284E-1,7.640709890E0,-1.584967325E0,7.818100735E0
5.140175001E-2,-3.148948992E0,9.616491660E0,-9.752910125E-1,1.016582432E1
6.146875001E-2,-5.059672303E0,1.137386355E1,-9.492346501E-1,1.248463465E1
7.153675001E-2,-6.109500112E0,1.238050851E1,-1.544207554E0,1.389199624E1
8.160375000E-2,-7.028630957E0,1.285451772E1,-2.514976330E0,1.486490447E1
9.167175001E-2,-7.411345255E0,1.267483629E1,-3.798348949E0,1.516598062E1
1.017387500E-1,-7.344713894E0,1.195143281E1,-4.397320179E0,1.470095211E1
1.118067500E-1,-6.853009250E0,1.137078324E1,-4.036400793E0,1.387627395E1
1.218747500E-1,-6.142609971E0,1.099854014E1,-3.097025717E0,1.297270637E1
1.319417500E-1,-5.396908126E0,1.064990107E1,-2.312749207E0,1.216124250E1
1.420097500E-1,-4.943188750E0,1.015334850E1,-1.580786566E0,1.140282803E1
1.520767500E-1,-4.662394345E0,9.522781259E0,-1.353740351E0,1.068896145E1
1.621447500E-1,-4.169291047E0,8.834984391E0,-5.358375999E-1,9.784020593E0
1.722117500E-1,-3.900803277E0,8.498742009E0,8.609533882E-1,9.390746652E0
1.822797500E-1,-3.692267301E0,8.496894289E0,1.904711788E0,9.458222739E0
1.923467500E-1,-3.354258183E0,8.646295912E0,2.546641341E0,9.617424971E0
2.024147500E-1,-3.009743160E0,8.747994195E0,2.674599470E0,9.630131808E0
2.124817500E-1,-2.729852734E0,8.732585027E0,2.762407107E0,9.557250140E0
2.225497500E-1,-2.413181568E0,8.733237576E0,2.571247594E0,9.418290611E0
2.326177500E-1,-1.960532524E0,8.789141636E0,1.913780819E0,9.206261755E0
2.426847500E-1,-1.340981434E0,8.795953057E0,9.366187707E-1,8.946746678E0
2.527527500E-1,-7.686559662E-1,8.609663106E0,-1.273475330E-1,8.644845180E0
2.628197500E-1,-4.479803342E-1,8.583890918E0,-7.110798224E-1,8.624935025E0
2.728877500E-1,-1.546845818E-1,8.310339459E0,-9.401071465E-1,8.364775591E0
2.829547500E-1,3.074433830E-1,7.274759560E0,-1.389510254E0,7.412650459E0
2.930227500E-1,9.631720734E-1,5.108967254E0,-1.943689473E0,5.550421211E0
3.030897500E-1,2.061937277E0,1.001382458E0,-1.890967469E0,2.971550122E0
3.131577500E-1,3.757519596E0,-5.036224968E0,-1.884728490E0,6.560085131E0
3.232247500E-1,6.083816802E0,-1.298131342E1,-1.863243334E0,1.445679774E1
3.332927500E-1,7.872191802E0,-2.103580738E1,-5.431431842E-1,2.246712265E1
3.433607500E-1,8.669169635E0,-2.597763782E1,1.421909530E0,2.742287358E1
3.534277500E-1,9.549699501E0,-2.787610010E1,2.816771010E0,2.960080939E1
3.634957500E-1,1.079965645E1,-2.833828742E1,3.587541622E0,3.053787105E1
3.735627500E-1,1.166610856E1,-2.834212787E1,4.014850295E0,3.091105504E1
3.836307500E-1,9.772205937E0,-2.439014450E1,4.242792302E0,2.661534227E1
3.936977500E-1,8.578699175E0,-2.041671822E1,4.208252800E0,2.254209072E1
4.037657500E-1,8.229649637E0,-1.783076254E1,3.579169579E0,1.996180554E1
4.138327500E-1,7.270971733E0,-1.535346215E1,1.664433178E0,1.706945131E1
4.239007500E-1,5.150802328E0,-1.225545761E1,-5.088761616E-1,1.330360706E1
4.339687500E-1,2.937646406E0,-8.714138816E0,-1.931531796E0,9.396637526E0
4.440357500E-1,1.093559135E0,-4.859343771E0,-2.845877280E0,5.736559157E0
4.541037500E-1,-3.587307733E-1,-1.031410834E0,-3.675646298E0,3.834432394E0
4.641707500E-1,-1.169612700E0,2.671967638E0,-4.225031970E0,5.134033509E0
4.742387500E-1,-1.973972057E0,6.014345448E0,-4.561518180E0,7.802330739E0
4.843057500E-1,-2.978871616E0,8.747904148E0,-4.444285015E0,1.025432457E1
4.943737500E-1,-4.269499460E0,1.096139278E1,-3.783626829E0,1.235704614E1
5.044407500E-1,-5.428163833E0,1.233243036E1,-2.650239969E0,1.373235497E1
5.145087500E-1,-6.049304781E0,1.279688756E1,-1.543788893E0,1.423859908E1
5.245757500E-1,-6.347499331E0,1.260829381E1,-1.118555982E0,1.416019025E1
5.346437500E-1,-6.262594836E0,1.184646242E1,-1.182373663E0,1.345201745E1
5.447117500E-1,-6.041601074E0,1.099176204E1,-1.735103942E0,1.266216261E1
5.547787500E-1,-5.670823867E0,1.037059829E1,-2.428818777E0,1.206676066E1
5.648467500E-1,-5.125648776E0,1.000801362E1,-2.847237343E0,1.159911085E1
5.749137500E-1,-4.309668954E0,9.755384082E0,-2.812998387E0,1.102967475E1
5.849817500E-1,-3.495420493E0,9.654575161E0,-2.430034997E0,1.055148596E1
5.950487500E-1,-2.891284126E0,9.664377433E0,-1.397476355E0,1.018394105E1
6.051167500E-1,-2.681757047E0,9.630390492E0,1.566235185E-2,9.996823855E0
6.151837500E-1,-2.927115863E0,9.406430438E0,9.707687759E-1,9.899057171E0
6.252517500E-1,-3.097030103E0,8.871680347E0,1.371837484E0,9.496328013E0
6.353197500E-1,-3.204815045E0,8.396550806E0,1.931897832E0,9.192667412E0
6.453867500E-1,-3.363918075E0,7.982835156E0,2.500616738E0,9.016356582E0
6.554547500E-1,-3.386121415E0,7.768960379E0,2.643460708E0,8.877524887E0
6.655217500E-1,-3.376252484E0,7.920061787E0,2.056484456E0,8.851869174E0
6.755897500E-1,-3.212977758E0,8.620576934E0,1.007852914E0,9.254908981E0
6.856567500E-1,-2.848842988E0,9.391822339E0,9.150183521E-2,9.814815628E0
6.957247500E-1,-2.455536459E0,9.857975235E0,-4.676181348E-1,1.016995584E1
7.057917500E-1,-2.000813701E0,1.000446904E1,-1.057917871E0,1.025728260E1
7.158597500E-1,-1.631626644E0,9.663434862E0,-1.135509326E0,9.865777226E0
7.259267500E-1,-1.330843532E0,8.615827240E0,-9.695420301E-1,8.771752122E0
7.359947500E-1,-1.948634318E-1,5.559540244E0,-1.638009757E0,5.799097813E0
7.460631250E-1,1.697912727E0,8.454787320E-1,-2.456396585E0,3.103486120E0
7.561301250E-1,3.549425377E0,-5.922968670E0,-2.465780196E0,7.332124546E0
7.661981250E-1,5.298795941E0,-1.478988178E1,-9.711896293E-1,1.574042728E1
7.762651250E-1,6.970271067E0,-2.191911116E1,1.939771693E0,2.308234882E1
7.863331250E-1,9.137356192E0,-2.492762524E1,4.523818842E0,2.693218734E1
7.964001250E-1,1.083489060E1,-2.576286491E1,4.893604946E0,2.837371023E1
8.064681250E-1,1.144096971E1,-2.614146744E1,4.482276714E0,2.888534079E1
8.165351250E-1,1.217835857E1,-2.682160388E1,3.769684728E0,2.969716106E1
8.266031250E-1,9.341294795E0,-2.450309399E1,2.975528762E0,2.639157394E1
8.366711250E-1,7.649512289E0,-2.175759703E1,2.687615372E0,2.321920204E1
8.467381250E-1,8.081317470E0,-1.996672585E1,2.393074894E0,2.167267037E1
8.568061250E-1,7.778262715E0,-1.753191719E1,1.278639883E0,1.922249753E1
8.668731250E-1,6.184860197E0,-1.432843122E1,-2.661769509E-1,1.560856454E1
8.769411250E-1,3.789265884E0,-1.061450905E1,-1.596469967E0,1.138310391E1
8.870081250E-1,1.147125478E0,-6.423069330E0,-2.738419490E0,7.076062308E0
8.970761250E-1,-7.004426408E-1,-2.005654026E0,-2.901812915E0,3.596357345E0
9.071431250E-1,-1.585457321E0,2.025075552E0,-2.386255140E0,3.508392724E0
9.172111250E-1,-2.984932255E0,5.767057927E0,-2.629874117E0,7.006069909E0
9.272791250E-1,-3.957253466E0,8.670955374E0,-3.577228303E0,1.018046583E1
9.373461250E-1,-4.520863659E0,1.073943247E1,-4.228949019E0,1.239587140E1
9.474141250E-1,-5.462547215E0,1.230056888E1,-4.551995990E0,1.420788810E1
9.574811250E-1,-6.020576241E0,1.300876610E1,-4.875237088E0,1.514078170E1
9.675491250E-1,-6.008569568E0,1.277682811E1,-5.490885746E0,1.514925975E1
9.776161250E-1,-5.748293043E0,1.198454910E1,-5.938269079E0,1.455799882E1
9.876841250E-1,-5.512098860E0,1.118784491E1,-5.941818339E0,1.381507556E1
9.977511250E-1,-5.096354810E0,1.064693770E1,-5.565172282E0,1.304995239E1
1.007819125E0,-4.535132912E0,1.015537866E1,-4.588002559E0,1.203116427E1
1.017886125E0,-4.055775249E0,9.685630308E0,-3.187852857E0,1.097374836E1
1.027954125E0,-3.758354286E0,9.449521494E0,-2.062724605E0,1.037658500E1
1.038022125E0,-3.732556078E0,9.390432456E0,-9.873748684E-1,1.015318205E1
1.048089125E0,-3.631178808E0,9.205323057E0,-2.206973533E-2,9.895651529E0
1.058157125E0,-3.374463236E0,8.840586609E0,7.534336174E-1,9.492662215E0
1.068224125E0,-3.087349745E0,8.656044390E0,1.445062165E0,9.303066031E0
1.078292125E0,-2.868827309E0,8.592186947E0,1.891863116E0,9.253917696E0
1.088359125E0,-2.748943309E0,8.498369542E0,2.176222569E0,9.193199598E0
1.098427125E0,-2.563414664E0,8.379783331E0,2.095320493E0,9.010118278E0
1.108494125E0,-2.321522077E0,8.394463935E0,1.863622234E0,8.906715295E0
1.118562125E0,-1.855729662E0,8.610477038E0,1.503443105E0,8.935568732E0
1.128630125E0,-1.540394292E0,8.684924957E0,7.529203780E-1,8.852549078E0
1.138697125E0,-1.429356252E0,8.481125518E0,1.016129136E-2,8.600735585E0
1.148765125E0,-1.329785478E0,8.215589422E0,-3.157437980E-1,8.328501253E0
1.158832125E0,-1.358785914E0,7.569513608E0,-7.104086351E-1,7.723245163E0
1.168900125E0,-1.047397122E0,6.330320796E0,-1.139059829E0,6.516706177E0
1.178967125E0,6.722719252E-2,4.645458469E0,-1.164495217E0,4.789661052E0
1.189035125E0,1.800525514E0,1.879573438E0,-1.038685355E0,2.802419616E0
1.199102125E0,3.776913056E0,-2.571755133E0,-1.115311947E0,4.703500551E0
1.209170125E0,5.463966919E0,-8.962334994E0,-1.561517651E0,1.061210254E1
