"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.414999992E-3,6.171516851E0,8.261783595E0,2.275362578E1,2.498143660E1
1.548300000E-2,5.737284490E0,8.336126264E0,2.311024980E1,2.522877485E1
2.555100000E-2,4.808000832E0,7.629835238E0,2.238991025E1,2.413792325E1
3.561799999E-2,3.076855162E0,6.661578426E0,1.925799420E1,2.060859057E1
4.568600000E-2,9.788500665E-1,6.010935937E0,1.407469714E1,1.533579466E1
5.575400000E-2,-3.776642038E-1,5.067552010E0,8.212024959E0,9.657125222E0
6.582100000E-2,-5.906614593E-1,3.543098105E0,2.994909943E0,4.676741463E0
7.588900000E-2,-2.905373284E-1,2.018613210E0,-4.830525184E-1,2.095841350E0
8.595699999E-2,4.226557508E-2,3.438794303E-1,-2.895464008E0,2.916119213E0
9.602400000E-2,-8.732392654E-2,-1.369090462E0,-5.235701560E0,5.412449075E0
1.060920000E-1,-1.372277194E-1,-2.741385198E0,-7.339208740E0,7.835688175E0
1.161590000E-1,-5.498924790E-1,-3.690324563E0,-8.312875396E0,9.111793153E0
1.262270000E-1,-1.729800371E0,-4.695205995E0,-8.574541805E0,9.927735685E0
1.362950000E-1,-3.306420942E0,-5.731799802E0,-8.743405300E0,1.096508480E1
1.463620000E-1,-4.489047790E0,-5.694343708E0,-8.922241806E0,1.149710830E1
1.564300000E-1,-4.625305456E0,-5.128158985E0,-9.733395628E0,1.193442314E1
1.664980000E-1,-4.539909795E0,-4.716675802E0,-1.124012955E1,1.300762560E1
1.765650000E-1,-3.828075901E0,-4.204445093E0,-1.300123021E1,1.419026112E1
1.866330000E-1,-3.097520977E0,-3.627771050E0,-1.441174702E1,1.518070523E1
1.967010000E-1,-2.757107483E0,-3.326110856E0,-1.521882885E1,1.582015823E1
2.067680000E-1,-2.762493939E0,-3.678786253E0,-1.476920837E1,1.546914208E1
2.168360000E-1,-2.825834487E0,-4.070024621E0,-1.279833416E1,1.372398624E1
2.269030000E-1,-2.674281381E0,-4.226794320E0,-1.084524485E1,1.194306942E1
2.369710000E-1,-2.585755121E0,-4.556820527E0,-9.428821766E0,1.078672438E1
2.470390000E-1,-2.653369399E0,-4.962933628E0,-8.046710140E0,9.819400360E0
2.571060000E-1,-2.664420637E0,-4.908874950E0,-6.885118065E0,8.865722835E0
2.671740000E-1,-2.335624392E0,-4.708583255E0,-6.089596190E0,8.044195381E0
2.772420000E-1,-1.243612284E0,-4.349237940E0,-5.621115518E0,7.215218765E0
2.873090000E-1,-3.059991208E-1,-3.662205303E0,-5.609161470E0,6.705824002E0
2.973770000E-1,1.458928545E-1,-3.424560426E0,-5.919429935E0,6.840215610E0
3.074440000E-1,4.628069727E-1,-3.238259949E0,-6.048499619E0,6.876399162E0
3.175120000E-1,3.052958469E-1,-2.949799844E0,-5.658386840E0,6.388416572E0
3.275800000E-1,-1.660846058E-1,-2.809889422E0,-4.766632074E0,5.535688212E0
3.376470000E-1,-1.904533155E-1,-2.972599892E0,-3.244938054E0,4.404798016E0
3.477150000E-1,-5.579777165E-1,-2.354484878E0,-1.011950131E0,2.622781203E0
3.577830000E-1,-1.026219238E0,-4.058382815E-1,1.730744258E0,2.052633996E0
3.678500000E-1,-9.787319528E-1,2.098791400E0,3.641275195E0,4.315289865E0
3.779180000E-1,-4.377639328E-1,4.906393976E0,5.175010386E0,7.144583375E0
3.879860000E-1,6.796303537E-1,7.611560935E0,7.866213609E0,1.096699931E1
3.980530000E-1,3.483683670E0,9.257884263E0,1.293864629E1,1.628659083E1
4.081210000E-1,6.301312174E0,1.006559115E1,1.923466381E1,2.260519746E1
4.181880000E-1,7.033059053E0,9.235304655E0,2.512545291E1,2.767748464E1
4.282560000E-1,6.026769612E0,7.876703514E0,2.839086090E1,3.007333358E1
4.383240000E-1,5.049824422E0,7.996407713E0,2.710158259E1,2.870433838E1
4.483910000E-1,6.085080385E0,8.016843731E0,2.250469811E1,2.465277721E1
4.584590000E-1,8.050049484E0,7.130745562E0,1.726325166E1,2.033889591E1
4.685270000E-1,8.533286190E0,6.282703410E0,1.272237416E1,1.655741947E1
4.785940000E-1,6.088904464E0,5.244371227E0,8.933680129E0,1.201619024E1
4.886620000E-1,2.585183556E0,3.348938971E0,6.757737642E0,7.972802787E0
4.987300000E-1,7.626611084E-2,1.025047309E0,5.514202688E0,5.609186197E0
5.087970000E-1,-1.180224227E0,-6.324021006E-1,3.540170989E0,3.784926984E0
5.188650000E-1,-1.188395711E0,-1.472582670E0,1.158900601E0,2.218971538E0
5.289320000E-1,-8.235519657E-1,-1.832240227E0,-6.344854635E-1,2.106635682E0
5.390000000E-1,-3.669399717E-1,-2.139505563E0,-1.727975017E0,2.774531790E0
5.490680000E-1,-2.862146281E-1,-2.485823574E0,-3.120630342E0,3.999946423E0
5.591350000E-1,-7.508912480E-1,-2.961018604E0,-5.261228165E0,6.083748075E0
5.692030000E-1,-1.400583419E0,-3.269451044E0,-7.377002218E0,8.189695096E0
5.792710000E-1,-2.299194338E0,-3.514097377E0,-8.987738807E0,9.920414500E0
5.893380000E-1,-3.252782679E0,-3.864541769E0,-1.023904997E1,1.141724234E1
5.994060000E-1,-3.711624801E0,-4.332097996E0,-1.097824211E1,1.237194534E1
6.094740000E-1,-3.680198063E0,-4.599199685E0,-1.105284908E1,1.252445481E1
6.195413333E-1,-3.522973743E0,-4.662761550E0,-1.054954999E1,1.206008682E1
6.296093333E-1,-3.539486865E0,-4.673406991E0,-1.011539072E1,1.169144258E1
6.396763333E-1,-3.800247248E0,-4.964604177E0,-1.024011300E1,1.199787848E1
6.497443333E-1,-3.894660484E0,-5.332977009E0,-1.054878985E1,1.244532006E1
