"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.457083462E-4,-6.322798938E0,-2.393744838E1,1.979387748E0,2.483741527E1
1.061270834E-2,1.674749421E0,-1.994009997E1,1.086758823E0,2.003979584E1
2.068070835E-2,7.473163773E0,-1.800171407E1,-1.429022083E0,1.954359205E1
3.074770834E-2,1.068787523E1,-1.570709357E1,-2.667817869E0,1.918490859E1
4.081570834E-2,1.036457332E1,-1.163366236E1,-2.578674728E0,1.579291118E1
5.088270834E-2,5.634594519E0,-8.400884178E0,-2.350474273E0,1.038500071E1
6.095070834E-2,1.756972090E-1,-6.516552275E0,-8.971008023E-1,6.580358115E0
7.101770834E-2,-4.181667849E0,-4.333655695E0,-5.859947965E-2,6.022487159E0
8.108570834E-2,-6.983222065E0,-1.091855257E0,-3.246339047E-1,7.075515916E0
9.115270834E-2,-8.495779810E0,1.995367604E0,4.358210492E-1,8.737831907E0
1.012207083E-1,-8.034768956E0,4.085585232E0,1.791005516E0,9.190060915E0
1.112877083E-1,-6.358888537E0,5.324075208E0,2.967376574E0,8.808323563E0
1.213557083E-1,-4.862193704E0,6.282252005E0,3.349018493E0,8.621110296E0
1.314227083E-1,-4.093807002E0,7.383544083E0,2.551909683E0,8.819763150E0
1.414907083E-1,-3.223833991E0,8.762141533E0,4.671644640E-1,9.348073196E0
1.515577083E-1,-1.744091113E0,9.550788252E0,-1.962603900E0,9.905111010E0
1.616257083E-1,-1.347441584E0,1.218393681E1,-1.998993462E0,1.242014049E1
1.716927083E-1,-5.834649986E0,2.319062329E1,-8.872915864E-1,2.392980224E1
1.817607083E-1,-4.689559339E0,1.632295858E1,-3.584097612E-1,1.698703626E1
1.918277083E-1,-3.364974375E0,1.287426611E1,2.805224915E-1,1.330971349E1
2.018957083E-1,-3.325332884E0,1.474988683E1,5.649451125E-1,1.513063658E1
2.119627083E-1,-2.627217727E0,1.580131911E1,7.576447821E-1,1.603614618E1
2.220307083E-1,-1.351062180E0,1.532482951E1,1.375207819E0,1.544561313E1
2.320977083E-1,1.400028080E-1,1.357581036E1,2.198408659E0,1.375337153E1
2.421657083E-1,7.029641794E-1,1.247902824E1,2.084042383E0,1.267136682E1
2.522327083E-1,1.300065981E0,1.202340735E1,2.055475227E0,1.226692603E1
2.623007083E-1,1.478451667E0,1.177513925E1,2.401209394E0,1.210807707E1
2.723677083E-1,1.465100135E0,1.118888923E1,2.756855761E0,1.161628229E1
2.824357083E-1,9.294425561E-1,1.097254108E1,2.717057272E0,1.134208629E1
2.925027083E-1,8.611989713E-1,1.109804571E1,2.880378191E0,1.149803726E1
3.025707083E-1,9.993796407E-1,1.093893479E1,3.012258632E0,1.139002880E1
3.126377083E-1,1.048405474E0,1.067990664E1,3.084442509E0,1.116572190E1
3.227057083E-1,6.772495137E-1,1.052775274E1,2.588562369E0,1.086245367E1
3.327727083E-1,7.689467190E-1,1.016504761E1,9.790402472E-1,1.024099565E1
3.428407083E-1,3.334738715E-1,9.688355695E0,1.615349457E0,9.827756344E0
3.529077083E-1,1.720598754E-1,9.272897574E0,1.947058493E0,9.476669816E0
3.629757083E-1,-1.038211146E-1,8.836224586E0,1.767261289E0,9.011817587E0
3.730427083E-1,-5.810710023E-1,8.298947913E0,1.432917498E0,8.441767145E0
3.831107083E-1,-1.062752056E0,6.522336926E0,1.155913258E0,6.708685145E0
3.931777083E-1,-1.930171442E0,-2.500103352E0,1.685626557E0,3.580141821E0
4.032457083E-1,3.044378850E0,-3.382350429E1,5.762449737E0,3.444566027E1
4.133127083E-1,1.737907097E1,-6.812857122E1,1.234453410E1,7.138572579E1
4.233807083E-1,2.266471302E1,-6.867042100E1,1.412016977E1,7.367967923E1
4.334477083E-1,2.095362125E1,-6.800417054E1,9.759722716E0,7.182529945E1
4.435162500E-1,1.439425449E1,-5.245660187E1,1.448889168E0,5.441496965E1
4.535832500E-1,7.768892552E0,-2.401224363E1,-4.204169981E0,2.558551506E1
4.636512500E-1,3.305879197E0,-7.624866275E0,-1.231049628E1,1.485313912E1
4.737182500E-1,3.223491052E-1,1.981631910E0,-1.907286083E1,1.917823751E1
4.837862500E-1,-9.196220112E-1,6.429963198E0,-2.230525894E1,2.323176076E1
4.938532500E-1,6.034515857E-1,6.283648905E0,-1.584050130E1,1.705197581E1
5.039212500E-1,2.403163533E0,5.410965418E0,-9.598549479E0,1.127767236E1
5.139882500E-1,3.771991163E0,5.369181215E0,-6.133257349E0,8.981807722E0
5.240562500E-1,4.442318889E0,6.053270947E0,-2.356368997E0,7.869482900E0
5.341232500E-1,4.118329639E0,6.934914708E0,-5.886771335E-1,8.087040361E0
5.441912500E-1,3.165651564E0,7.919141436E0,7.589949042E-1,8.562138995E0
5.542582500E-1,2.004511480E0,9.119126912E0,2.533924232E0,9.674570478E0
5.643262500E-1,6.262119457E-1,1.098322043E1,4.044878086E0,1.172110537E1
5.743932500E-1,-4.000662757E-1,1.255546889E1,3.884912299E0,1.314885530E1
5.844612500E-1,-9.039964968E-1,1.334219773E1,2.924254528E0,1.368878060E1
5.945282500E-1,4.690159848E-1,1.302071313E1,4.826285952E0,1.389431476E1
6.045962500E-1,2.598804937E0,1.335990309E1,7.800217255E0,1.568707070E1
6.146632500E-1,2.549552085E0,1.428957881E1,7.645989926E0,1.640589651E1
6.247302500E-1,3.666510827E-1,1.757941646E1,5.465055671E0,1.841296146E1
6.347982500E-1,-1.232950617E0,1.979670753E1,4.130483662E0,2.026056988E1
6.448652500E-1,-1.290142525E0,1.977818823E1,5.256927538E0,2.050552327E1
6.549332500E-1,-1.539732680E0,1.987946201E1,5.233610011E0,2.061442360E1
6.650002500E-1,-1.199417639E0,1.991622930E1,3.758632321E0,2.030325366E1
6.750682500E-1,-8.638068295E-1,1.864526330E1,1.528211911E0,1.872771843E1
6.851352500E-1,-2.125481601E0,1.727435670E1,-1.524725801E0,1.747128673E1
6.952032500E-1,-3.443286134E0,1.512650833E1,-2.270689015E0,1.567875959E1
7.052702500E-1,-3.547531464E0,1.231726853E1,-1.408513559E0,1.289511512E1
7.153382500E-1,-3.108426034E0,1.016148549E1,-9.084164071E-1,1.066505134E1
7.254052500E-1,-2.794423537E0,8.661327934E0,-3.890468323E-1,9.109267913E0
7.354732500E-1,-2.652591135E0,7.733953099E0,-3.283211589E-2,8.176267377E0
7.455402500E-1,-2.561458771E0,7.156608381E0,-4.066633236E-1,7.612062113E0
7.556082500E-1,-2.298750242E0,6.719550061E0,-8.625987947E-1,7.154067541E0
7.656752500E-1,-2.456269700E0,6.805121723E0,-5.860178930E-1,7.258537007E0
