"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.059749997E-3,-5.479342465E-1,9.689135714E0,-1.209465567E0,9.779692724E0
1.212775000E-2,-1.480897996E-1,1.000975024E1,-1.704385010E0,1.015489826E1
2.219475000E-2,3.108162032E-1,1.007515486E1,-1.735964652E0,1.022833933E1
3.226275000E-2,4.545945949E-1,1.004892893E1,-1.508252002E0,1.017164947E1
4.233075000E-2,6.451219142E-1,1.009346834E1,-1.450766855E0,1.021758337E1
5.239875001E-2,8.829397961E-1,1.020310012E1,-1.237960219E0,1.031578307E1
6.246674999E-2,1.091397712E0,1.038054675E1,-9.015470982E-1,1.047662574E1
7.253375000E-2,1.382230032E0,1.048721633E1,-1.813386758E-1,1.057946832E1
8.260174999E-2,1.756819478E0,1.050264246E1,6.875542080E-1,1.067073774E1
9.266975000E-2,2.096196114E0,1.046011916E1,1.359547806E0,1.075437127E1
1.027377500E-1,2.224895815E0,1.037588184E1,1.706078948E0,1.074801334E1
1.128057500E-1,2.221381054E0,1.035920558E1,1.780473073E0,1.074326572E1
1.228727500E-1,2.111886678E0,1.033705399E1,1.495427742E0,1.065603372E1
1.329407500E-1,2.007149451E0,1.034828298E1,1.266064276E0,1.061689824E1
1.430087500E-1,1.901129052E0,1.043284307E1,1.256070800E0,1.067877428E1
1.530767500E-1,1.781568988E0,1.062465864E1,1.494618487E0,1.087617781E1
1.631437500E-1,1.678146507E0,1.084850526E1,2.054192348E0,1.116807720E1
1.732117500E-1,1.567458422E0,1.097712997E1,2.364118166E0,1.133769655E1
1.832797500E-1,1.462878485E0,1.107020712E1,2.385138906E0,1.141833555E1
1.933477500E-1,1.365711356E0,1.118116271E1,2.545169013E0,1.154822291E1
2.034157500E-1,1.244995735E0,1.118984934E1,2.756580942E0,1.159143999E1
2.134827500E-1,1.265594891E0,1.110101610E1,2.778041393E0,1.151311439E1
2.235507500E-1,1.232027926E0,1.048920555E1,2.670922741E0,1.089381266E1
2.336187500E-1,1.093620970E0,9.224358083E0,2.301348160E0,9.569795830E0
2.436867500E-1,1.173823718E0,8.915556099E0,2.543723581E0,9.345348166E0
2.537537500E-1,1.199599122E0,8.688395864E0,3.073569027E0,9.293766046E0
2.638217500E-1,1.189683998E0,8.182036344E0,3.900203937E0,9.141808219E0
2.738897500E-1,9.485309377E-1,6.478737162E0,5.891359792E0,8.808056900E0
2.839577500E-1,-6.179746222E0,-1.780380336E1,8.109196994E0,2.051642643E1
2.940257500E-1,-3.070506022E1,-6.975334405E1,7.014282475E0,7.653450129E1
3.040927500E-1,-1.806386413E1,-6.914986462E1,3.669479568E-2,7.147033168E1
3.141607500E-1,-7.160929474E0,-5.845831967E1,-1.549716216E0,5.891566575E1
3.242287500E-1,-2.996384026E0,-2.824384553E1,-4.139869612E0,2.870246763E1
3.342967500E-1,7.935835236E-1,-1.051287976E1,-2.403400930E0,1.081326739E1
3.443637500E-1,1.499933899E0,-3.578602399E0,-1.320192536E0,4.098671146E0
3.544317500E-1,1.553625664E-1,-3.004533291E-1,-4.855013323E-1,5.917104644E-1
3.644997500E-1,1.431959724E-1,8.504494500E-1,4.293949592E-1,9.634050989E-1
3.745677500E-1,7.142294982E-1,1.253429613E0,8.101638883E-1,1.654561904E0
3.846357500E-1,1.651822050E0,2.141124072E0,2.754319056E-1,2.718233086E0
3.947027500E-1,2.013922281E0,3.606842696E0,-2.315485704E-1,4.137488602E0
4.047707500E-1,2.456935990E0,5.140916440E0,-4.743846059E-1,5.717569157E0
4.148387500E-1,2.684763977E0,6.656086721E0,-6.813093817E-1,7.209412634E0
4.249067500E-1,2.753890345E0,7.943692725E0,-8.317021072E-1,8.448543930E0
4.349737500E-1,2.839733026E0,8.883818582E0,-9.952042902E-1,9.379592094E0
4.450417500E-1,2.946471901E0,9.564002960E0,-1.225184637E0,1.008230761E1
4.551097500E-1,2.986897211E0,9.903438506E0,-1.168508745E0,1.040985408E1
4.651777500E-1,2.930327739E0,9.859551644E0,-8.222249401E-1,1.031860616E1
4.752457500E-1,2.819842553E0,9.884210522E0,-8.167379129E-1,1.031097427E1
4.853127500E-1,2.756970951E0,9.977295856E0,-8.160724998E-1,1.038331815E1
4.953807500E-1,2.667403302E0,1.006604723E1,-7.337635839E-1,1.043928907E1
5.054487500E-1,2.583436115E0,1.016432957E1,-7.551433432E-1,1.051465545E1
