"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.062358334E-2,-2.113526384E0,-7.317188126E0,-1.793475527E0,7.824627167E0
2.069158333E-2,4.335988149E-1,-3.828836331E0,-5.700578009E0,6.880740165E0
3.075958333E-2,2.488361851E0,1.165993273E-2,-4.137188079E0,4.827877987E0
4.082658332E-2,4.320061795E0,4.298682328E0,-1.746789018E0,6.339785134E0
5.089458333E-2,5.749795777E0,8.744306940E0,1.567925030E0,1.058212853E1
6.096258333E-2,5.967488201E0,1.247115906E1,5.099787126E0,1.473596120E1
7.102958333E-2,5.171241270E0,1.507439677E1,7.696548461E0,1.769791040E1
8.109758333E-2,3.477795231E0,1.657041976E1,9.909956982E0,1.961838724E1
9.116458333E-2,1.577545162E0,1.621313968E1,7.267447032E0,1.783732977E1
1.012325833E-1,2.709348303E-1,1.567687282E1,1.804287028E0,1.578268668E1
1.113005833E-1,-3.517003736E-1,1.570801977E1,-2.490833761E0,1.590816869E1
1.213675833E-1,-2.108216527E-1,1.508414408E1,-6.278197546E0,1.633987799E1
1.314348333E-1,3.287022512E-1,1.389593606E1,-7.956341422E0,1.601588128E1
1.415028333E-1,4.425701979E-1,1.344518824E1,-7.330854238E0,1.532026041E1
1.515698333E-1,6.904120347E-1,1.328819635E1,-5.728932912E0,1.448701154E1
1.616378333E-1,9.624372245E-1,1.316294548E1,-3.848245579E0,1.374766937E1
1.717058333E-1,1.174241648E0,1.302722693E1,-2.537691593E0,1.332393949E1
1.817728333E-1,1.425710805E0,1.269156985E1,-1.993315816E0,1.292601658E1
1.918408333E-1,1.610700482E0,1.219661474E1,-1.652675743E0,1.241302156E1
2.019088333E-1,1.614869547E0,1.181194046E1,-1.118683451E0,1.197418865E1
2.119758333E-1,1.675668311E0,1.153276632E1,-7.399908686E-1,1.167733487E1
2.220438333E-1,1.987529119E0,1.122072264E1,-4.014289693E-1,1.140245735E1
2.321118333E-1,2.283174283E0,1.084500395E1,-2.208785347E-1,1.108493495E1
2.421788333E-1,2.481984000E0,1.047671941E1,-2.318368381E-1,1.076919879E1
2.522468333E-1,2.536360182E0,1.010008505E1,-1.510230553E-1,1.041478031E1
2.623148333E-1,2.338148050E0,9.678290883E0,1.686407526E-1,9.958146937E0
2.723818333E-1,2.058139510E0,9.216283078E0,7.713506556E-1,9.474745055E0
2.824498333E-1,2.108073270E0,8.534993577E0,2.126384411E0,9.044976447E0
2.925178333E-1,2.341851676E0,8.123019812E0,1.824157037E0,8.648425813E0
3.025848333E-1,2.811683640E0,7.832698538E0,2.056149995E0,8.572309146E0
3.126528333E-1,4.017539429E0,5.798966183E0,5.882843322E0,9.185666955E0
3.227208333E-1,2.859622622E0,4.264965529E0,5.993903582E0,7.892670819E0
3.327878333E-1,2.756334774E0,3.116417423E0,4.214355538E0,5.922012458E0
3.428558333E-1,1.830643938E0,-1.608473132E0,9.589332513E0,9.894126596E0
3.529238333E-1,-2.887249839E-1,-3.433394399E0,1.857739935E0,3.914429318E0
3.629908333E-1,-3.688257573E0,-3.867201083E0,-9.554911709E0,1.094782288E1
3.730588333E-1,-9.938653947E0,-1.072225920E1,-1.547101224E1,2.128604952E1
3.831268333E-1,-1.778733176E1,-3.605171913E1,-1.824876946E1,4.414898877E1
3.931938333E-1,-2.616657071E1,-6.000788328E1,-1.773609378E1,6.782480741E1
4.032618333E-1,-3.286071813E1,-7.054967869E1,-1.284964699E1,7.888090635E1
4.133298333E-1,-3.017026218E1,-6.353555994E1,2.783968130E0,7.039007441E1
4.233968333E-1,-1.302834492E1,-2.960784891E1,2.926536346E1,4.362137076E1
4.334648333E-1,-2.575865141E0,-1.139112453E1,1.640830688E1,2.014014235E1
4.435328333E-1,-1.640702107E0,-1.015242230E1,-3.989302055E0,1.103078025E1
4.535998333E-1,-2.189879326E0,-8.194716616E0,-5.731724957E0,1.023726638E1
4.636678333E-1,-5.875981030E-1,-3.910745298E0,-3.935615260E0,5.579271260E0
4.737358333E-1,1.249942041E0,4.160592145E-1,-1.763309741E0,2.201072833E0
4.838028333E-1,2.791664820E0,4.706353127E0,1.344133376E0,5.634700237E0
4.938708333E-1,3.709762170E0,8.420861775E0,4.311574270E0,1.016183650E1
5.039388333E-1,4.008904553E0,1.178089174E1,5.700775645E0,1.368793516E1
5.140058333E-1,3.843323685E0,1.477450361E1,7.008788431E0,1.679822041E1
5.240738333E-1,3.265918449E0,1.622548198E1,7.859129122E0,1.832207410E1
5.341408333E-1,1.734642889E0,1.595790053E1,6.919823045E0,1.747991780E1
5.442088333E-1,-2.665957578E-1,1.536438241E1,6.648932068E0,1.674346493E1
5.542768333E-1,-1.814795352E0,1.484426440E1,6.125210996E0,1.616056550E1
5.643448333E-1,-2.253221774E0,1.449792797E1,4.185033506E0,1.525717632E1
5.744118333E-1,-1.082208228E0,1.394303305E1,1.144695960E0,1.403173810E1
5.844798333E-1,5.904413116E-1,1.294036771E1,-3.200793330E0,1.334341843E1
5.945468333E-1,1.860451289E0,1.208776181E1,-5.985041542E0,1.361601949E1
6.046148333E-1,2.581892158E0,1.163166495E1,-6.351947308E0,1.350218617E1
6.146828333E-1,2.952976636E0,1.128833750E1,-4.738827978E0,1.259377327E1
6.247498333E-1,2.973014167E0,1.116375088E1,-3.170618189E0,1.198002365E1
6.348178333E-1,2.806149251E0,1.110686098E1,-2.079880335E0,1.164314118E1
6.448858333E-1,2.587798723E0,1.094362543E1,-1.171437031E0,1.130627721E1
6.549528333E-1,2.363939534E0,1.059570440E1,-5.246852785E-1,1.086887559E1
6.650208333E-1,2.215257411E0,1.029800394E1,-1.537648147E-1,1.053469953E1
6.750888333E-1,2.170375061E0,1.004774428E1,1.467522490E-1,1.028052670E1
6.851558333E-1,2.548409539E0,9.612326104E0,2.461432207E-1,9.947451472E0
6.952238333E-1,2.864523466E0,9.173480875E0,3.436173837E-2,9.610381198E0
7.052918333E-1,2.841595949E0,8.938893507E0,-4.029778602E-1,9.388337223E0
7.153588333E-1,2.713534617E0,8.792235398E0,-7.870551074E-1,9.235048952E0
7.254268333E-1,2.614532778E0,8.619969408E0,-6.170572525E-1,9.028865593E0
7.354948333E-1,2.437953882E0,8.462413259E0,1.210449288E-1,8.807423526E0
7.455618333E-1,2.693350613E0,8.196891780E0,6.281990489E-1,8.650884720E0
7.556298333E-1,3.500549379E0,7.211486839E0,2.148830702E0,8.299208503E0
7.656978333E-1,3.814305416E0,5.422618918E0,4.329239293E0,7.918082760E0
7.757648333E-1,4.174712878E0,4.109619627E0,3.555678974E0,6.852740624E0
7.858328333E-1,2.380023177E0,2.487031317E0,2.502046967E0,4.255593274E0
7.959008333E-1,-1.110563715E0,1.216365867E0,-2.691047688E0,3.155096725E0
8.059678333E-1,-8.686739348E0,-6.097174181E0,-8.107659761E0,1.335549027E1
8.160358333E-1,-1.741891624E1,-2.767125576E1,-1.176728410E1,3.475033833E1
8.261038333E-1,-2.368229460E1,-5.351555134E1,-1.609963236E1,6.069566273E1
8.361708333E-1,-3.377722942E1,-6.991287013E1,-1.577738997E1,7.923153836E1
8.462388333E-1,-3.655659579E1,-6.691616743E1,-5.502901189E0,7.644893773E1
8.563068333E-1,-1.585657530E1,-3.578847748E1,1.853903109E1,4.331214350E1
8.663738333E-1,-9.978074706E-1,-1.515411186E1,1.718331789E1,2.293270895E1
8.764418333E-1,5.219356254E-1,-1.190839730E1,-1.245135337E0,1.198468627E1
8.865098333E-1,1.580479002E0,-8.953680530E0,-7.317875758E0,1.167123021E1
8.965768333E-1,3.580639861E0,-4.431468503E0,-6.662062576E0,8.765955320E0
9.066448333E-1,4.403348073E0,7.156641126E-2,-2.976670139E0,5.315558402E0
9.167128333E-1,4.758932752E0,4.732753891E0,2.850226439E0,7.291789293E0
9.267798333E-1,4.182035931E0,9.138557210E0,9.533374075E0,1.385235986E1
9.368478333E-1,2.229685416E0,1.201333728E1,1.194828817E1,1.708956874E1
9.469158333E-1,2.475725725E-1,1.282318951E1,1.026727098E1,1.642900894E1
9.569828333E-1,1.543185461E-1,1.294724404E1,7.641990430E0,1.503512421E1
9.670508333E-1,-3.955349028E-3,1.237367662E1,6.419537612E0,1.393981176E1
9.771188333E-1,-2.568649676E-1,1.213365543E1,6.944921633E0,1.398297215E1
