"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.814700000E-2,-6.211052799E-1,-7.122540164E-1,-1.633681648E0,1.887324370E0
2.822800000E-2,-6.810146821E-1,-7.913569039E-1,-2.659883198E0,2.857447352E0
3.830900000E-2,-4.938752760E-1,-4.369238341E-1,-2.760001563E0,2.837679307E0
4.838900000E-2,1.400153795E-1,1.653016636E-1,-1.638516126E0,1.652774649E0
5.847000000E-2,8.725494401E-1,7.814821261E-1,-5.234351438E-1,1.282981367E0
6.855000000E-2,1.312736751E0,1.149042487E0,-7.294693887E-2,1.746109296E0
7.863100000E-2,1.375722081E0,9.900640029E-1,1.409225750E-1,1.700793094E0
8.871200000E-2,1.170680986E0,5.413325939E-1,3.211407781E-1,1.329160016E0
9.879200000E-2,6.710127273E-1,-2.568962502E-1,-7.307791650E-2,7.222147503E-1
1.088730000E-1,-9.870699361E-2,-1.024667240E0,-5.809963042E-1,1.182050223E0
1.189530000E-1,-4.365950744E-1,-1.056351840E0,-2.160891169E-1,1.163266511E0
1.290340000E-1,-5.519490910E-1,-8.152106202E-1,-8.636086088E-1,1.309593824E0
1.391150000E-1,-5.553194261E-1,-5.952830985E-1,-1.798969570E0,1.974596958E0
1.491950000E-1,-6.824605523E-1,-5.517222190E-1,-2.180820234E0,2.350771513E0
1.592760000E-1,-9.816533679E-1,-5.113065568E-1,-2.015995411E0,2.299851132E0
1.693570000E-1,-1.158112688E0,-4.063890892E-1,-1.401805049E0,1.863178597E0
1.794370000E-1,-1.068643272E0,-4.567333236E-1,-5.993507141E-1,1.307602788E0
1.895180000E-1,-7.690256564E-1,-7.271381038E-1,-8.820700228E-2,1.062031430E0
1.995980000E-1,-6.189502886E-1,-1.156933305E0,-8.311817050E-3,1.312121648E0
2.096790000E-1,-6.804105185E-1,-1.151037265E0,4.238436127E-1,1.402671974E0
2.197600000E-1,-4.823701483E-1,-9.408117360E-1,-5.034335732E-1,1.171005143E0
2.298400000E-1,-5.296969271E-1,-6.986776587E-1,-1.286078126E0,1.556510922E0
2.399210000E-1,-4.202836816E-1,-5.527320331E-1,-2.383336794E0,2.482427310E0
2.500010000E-1,9.871971130E-2,2.000320780E-1,-3.388462055E0,3.395796448E0
2.600820000E-1,8.520755607E-1,1.165036376E0,-4.568841233E0,4.791414482E0
2.701630000E-1,1.329516068E0,1.429935711E0,-5.469515342E0,5.807574983E0
2.802430000E-1,2.036245196E0,1.246004818E0,-4.820220051E0,5.378972378E0
2.903240000E-1,2.367026571E0,1.004060483E0,-3.085837655E0,4.016633699E0
3.004050000E-1,2.028698195E0,6.451911306E-1,4.466921926E-1,2.175183182E0
3.104850000E-1,1.758806946E0,1.319090921E-1,2.905677924E0,3.399083124E0
3.205660000E-1,1.205157485E0,-6.752411413E-1,1.839529366E0,2.300483309E0
3.306460000E-1,3.337431358E-1,-1.336049016E0,5.368211746E-1,1.478035326E0
3.407270000E-1,1.455505000E-1,-1.464684544E0,-1.079980731E0,1.825607882E0
3.508080000E-1,3.822514907E-1,-1.321092423E0,-2.917410362E0,3.225319304E0
3.608880000E-1,8.106514730E-1,-1.180714808E0,-4.895252107E0,5.100464337E0
3.709690000E-1,9.975452229E-1,-1.314862214E0,-5.851408691E0,6.079715683E0
3.810490000E-1,8.618213343E-1,-2.018551814E0,-6.554117128E0,6.911854944E0
3.911300000E-1,9.641418341E-1,-3.591215135E0,-7.400841317E0,8.282442141E0
4.012110000E-1,1.980911533E0,-5.032463454E0,-8.213349354E0,9.834063581E0
4.112910000E-1,1.270704626E0,-4.972358170E0,-7.913172013E0,9.431719214E0
4.213715000E-1,-1.907525760E0,-4.432738518E0,-7.050751559E0,8.544057750E0
4.314525000E-1,-4.307085362E0,-4.940663338E0,-3.771705526E0,7.562202134E0
4.415325000E-1,-3.426490007E0,-5.016525114E0,-5.662180513E-1,6.101390076E0
4.516135000E-1,-1.178415098E0,-5.102997832E0,-2.885522572E0,5.979589411E0
4.616935000E-1,7.189093173E-2,-5.491920703E0,-1.450139303E0,5.680604309E0
4.717745000E-1,1.199295505E0,-5.321124119E0,-1.881750357E0,5.770065511E0
4.818555000E-1,2.372956232E0,-5.348613634E0,-7.989138454E-1,5.905662741E0
4.919355000E-1,2.210523505E0,-4.967754657E0,1.350695121E-1,5.439048104E0
