"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.284458333E-3,-6.420622855E-1,7.397447008E-1,-2.338255346E0,2.535133974E0
1.336545833E-2,-8.636021769E-1,7.479003972E-1,-2.545351446E0,2.789978083E0
2.344645833E-2,-1.321391508E0,6.017357934E-1,-1.709396074E0,2.242809938E0
3.352645833E-2,-1.047759064E0,5.512240362E-1,-1.038222256E0,1.574659470E0
4.360745833E-2,-5.450058147E-1,5.229200041E-1,-4.188945293E-1,8.636835621E-1
5.368845833E-2,-2.623294830E-2,4.124421269E-1,4.333231187E-1,5.988034743E-1
6.376845833E-2,4.697527340E-1,5.709490335E-1,9.110722125E-1,1.173329880E0
7.384945833E-2,6.275968587E-1,8.762327474E-1,8.200608855E-1,1.354312187E0
8.393045834E-2,5.069255304E-1,9.550333339E-1,3.170535743E-1,1.126758684E0
9.401145834E-2,1.962629628E-1,8.319494444E-1,-2.687637591E-1,8.960429604E-1
1.040914583E-1,-3.679500782E-1,5.097871578E-1,-9.412333202E-1,1.131896802E0
1.141724583E-1,-9.642272034E-1,2.402901578E-1,-1.330209401E0,1.660400708E0
1.242534583E-1,-1.377335328E0,1.251058567E-1,-1.482011306E0,2.027082039E0
1.343334583E-1,-1.480612944E0,1.636401772E-2,-1.575630491E0,2.162196549E0
1.444144583E-1,-1.728216214E0,-7.817201078E-2,-1.005983632E0,2.001210937E0
1.544954583E-1,-1.560164313E0,6.882172823E-3,-6.526141709E-1,1.691172760E0
1.645754583E-1,-1.284412546E0,1.245801920E-1,-5.870744848E-1,1.417706692E0
1.746564583E-1,-1.032785807E0,8.005832255E-2,-4.838337064E-1,1.143307008E0
1.847374583E-1,-8.709187979E-1,4.001851934E-1,-1.303040314E-1,9.672780790E-1
1.948184583E-1,-6.977494133E-1,6.771590281E-1,3.029734790E-2,9.727880151E-1
2.048984583E-1,-6.168271646E-1,7.584470201E-1,-1.501103050E-1,9.890655877E-1
2.149794583E-1,-5.584278059E-1,8.757959604E-1,-3.753158158E-1,1.104410313E0
2.250604583E-1,-4.951056764E-1,1.085588796E0,-7.052701020E-1,1.386015361E0
2.351404583E-1,-6.258798239E-1,1.145885283E0,-7.653584290E-1,1.513457023E0
2.452214583E-1,-8.543673769E-1,8.767993426E-1,-8.839469790E-1,1.509994359E0
2.553024583E-1,-1.322137612E0,4.308181715E-1,-1.139570290E0,1.797852221E0
2.653834583E-1,-1.760444313E0,2.484628111E-1,-5.424374253E-1,1.858799695E0
