"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.510749998E-3,-6.641932659E-1,-8.670426786E-2,-5.023541772E-1,8.372753692E-1
1.859075000E-2,-4.363535844E-1,2.858645260E-2,-8.243030405E-1,9.331115359E-1
2.867175000E-2,-9.117943436E-2,2.544310641E-1,-7.557970619E-1,8.026693307E-1
3.875175000E-2,2.935240862E-1,3.499418235E-1,-5.532658839E-1,7.174390617E-1
4.883275000E-2,6.680690928E-1,1.137271750E-1,-5.763460135E-1,8.896206553E-1
5.891275000E-2,9.617734194E-1,-2.913047755E-1,-7.763137722E-1,1.269854187E0
6.899375000E-2,1.001254258E0,-3.920218956E-1,-1.235626595E0,1.637975683E0
7.907375000E-2,7.461506179E-1,-2.378243870E-1,-1.615920730E0,1.795689558E0
8.915475000E-2,3.218710953E-1,-2.443457866E-1,-1.976047234E0,2.016945348E0
9.923475000E-2,-1.142684810E-1,-3.351834512E-1,-2.570913134E0,2.595187772E0
1.093157500E-1,-4.391469455E-1,-3.381468201E-1,-2.777412817E0,2.832175006E0
1.193957500E-1,-6.419396402E-1,-3.906109625E-1,-2.581042850E0,2.688204906E0
1.294757500E-1,-7.497511871E-1,-6.010037220E-1,-2.117390224E0,2.325225511E0
1.395567500E-1,-7.890852606E-1,-8.508026218E-1,-1.402051216E0,1.819963808E0
1.496367500E-1,-6.070881884E-1,-8.803228748E-1,-5.924001288E-1,1.222482043E0
1.597177500E-1,-4.274950527E-1,-8.292275655E-1,-8.266267240E-2,9.365914226E-1
1.697977500E-1,-3.644538818E-1,-7.834725183E-1,1.015632123E-1,8.700407491E-1
1.798787500E-1,-3.897313951E-1,-4.663452691E-1,3.157554924E-2,6.085766062E-1
1.899587500E-1,-5.028554298E-1,-8.637331545E-2,-1.895445120E-1,5.442894955E-1
2.000397500E-1,-5.074792618E-1,3.442752868E-1,-3.954898793E-1,7.297074200E-1
2.101197500E-1,-4.212234753E-1,6.866929132E-1,-4.013575602E-1,9.000357017E-1
2.202007500E-1,-4.661933877E-1,5.875527871E-1,-2.331232256E-1,7.854304492E-1
2.302807500E-1,-7.213861978E-1,-1.103545010E-1,-2.787192285E-2,7.303102124E-1
2.403617500E-1,-1.089623521E0,-1.050285062E0,8.475656033E-2,1.515771025E0
2.504417500E-1,-1.444388127E0,-1.703452379E0,-3.680570823E-1,2.263509021E0
2.605227500E-1,-1.509399371E0,-1.728431684E0,-1.625362229E0,2.812039283E0
2.706027500E-1,-1.487222637E0,-1.479195871E0,-3.000310432E0,3.660835189E0
2.806837500E-1,-1.435984509E0,-1.331320372E0,-3.642690221E0,4.135656839E0
2.907637500E-1,-1.041514384E0,-1.222089121E0,-4.299895041E0,4.589918452E0
3.008447500E-1,-1.896412835E-1,-1.041610717E0,-4.410529624E0,4.535822777E0
3.109247500E-1,5.919063315E-1,-8.337819618E-1,-3.604189814E0,3.746428924E0
3.210057500E-1,1.110313162E0,-8.605452526E-1,-2.958504009E0,3.275069377E0
3.310857500E-1,1.272901279E0,-1.649808853E0,-2.552774486E0,3.295270019E0
3.411667500E-1,1.231856310E0,-2.897523982E0,-2.289509448E0,3.892938313E0
3.512467500E-1,1.405713328E0,-4.073758653E0,-2.064933683E0,4.778649458E0
3.613267500E-1,1.404457053E0,-4.685067216E0,-1.458583267E0,5.103902387E0
3.714077500E-1,1.108477429E0,-4.632977295E0,-1.899591966E0,5.128513475E0
3.814877500E-1,7.650476494E-1,-4.082018723E0,-2.631192665E0,4.916436677E0
3.915687500E-1,5.697804675E-1,-3.271400506E0,-2.949149634E0,4.441192927E0
4.016487500E-1,-1.400737932E0,-3.002110497E0,-3.622501540E0,4.908895150E0
4.117297500E-1,-4.087489085E0,-2.260175137E0,-3.461061085E0,5.813338327E0
4.218097500E-1,-2.732112098E0,-9.221330979E-1,-2.083526659E0,3.557506052E0
4.318907500E-1,2.883770746E-1,-4.310649240E-1,-8.028484368E-1,9.557949144E-1
4.419707500E-1,2.320657566E0,-1.122840822E-2,1.233064930E0,2.627932027E0
4.520517500E-1,2.557768593E0,-3.844099903E-1,3.201055870E0,4.115423417E0
4.621317500E-1,2.595608264E0,-9.074419686E-1,4.496096608E0,5.270248371E0
4.722127500E-1,1.562069044E0,-2.209491472E0,4.881577808E0,5.581372068E0
4.822927500E-1,9.299230510E-1,-2.336557607E0,3.594936596E0,4.387234603E0
4.923737500E-1,7.687503988E-1,-1.142045417E0,1.923970177E0,2.365778128E0
5.024537500E-1,1.018545790E0,-4.334489800E-1,6.792839062E-1,1.298745614E0
5.125347500E-1,1.474526285E0,1.137029091E0,8.194551140E-1,2.034347463E0
5.226147500E-1,1.511868358E0,2.229888899E0,-1.319564545E-1,2.697325145E0
5.326947500E-1,2.165375399E0,3.257472730E0,-3.724331385E-1,3.929209291E0
5.427757500E-1,3.018746118E0,4.069860607E0,-1.537156981E-1,5.069538638E0
5.528557500E-1,3.099066396E0,3.813843486E0,-1.109947711E-1,4.915479071E0
5.629367500E-1,2.489619879E0,2.592884339E0,1.020789367E-1,3.596064021E0
5.730167500E-1,1.573592151E0,1.699108044E0,4.931915903E-1,2.367783425E0
5.830977500E-1,9.280414170E-1,1.156049425E0,1.274085487E0,1.954739106E0
5.931777500E-1,9.032854754E-1,7.677598073E-1,2.016974235E0,2.339565096E0
6.032587500E-1,7.779702884E-1,5.847156449E-1,2.249244352E0,2.450761170E0
6.133387500E-1,4.322367060E-1,5.212845379E-1,1.695276217E0,1.825521184E0
6.234197500E-1,2.108108354E-1,5.719842099E-1,5.112670881E-1,7.956137128E-1
6.334997500E-1,2.195179242E-1,5.645159268E-1,-6.791903508E-1,9.100361989E-1
6.435807500E-1,4.432335645E-1,2.875032082E-1,-1.601913140E0,1.686783862E0
6.536607500E-1,3.965014476E-1,-4.772702068E-2,-2.091810994E0,2.129592567E0
6.637417500E-1,2.084199089E-1,-2.678130019E-1,-3.147449766E0,3.165691503E0
6.738217500E-1,7.355803138E-1,-1.787416349E-1,-3.751301082E0,3.826916093E0
6.839027500E-1,1.826550302E0,2.169862260E-1,-3.284644741E0,3.764606235E0
6.939827500E-1,2.084665697E0,5.553656191E-1,-2.354693624E0,3.193562916E0
7.040637500E-1,2.779678613E-1,7.254130290E-1,-1.397431916E0,1.598845257E0
7.141437500E-1,-6.044617653E-1,2.465520872E-1,-6.699611056E-1,9.354196066E-1
7.242237500E-1,-4.716469395E-1,-1.163638453E0,-1.953858805E-1,1.270700959E0
7.343047500E-1,-1.265164974E0,-2.507988322E0,-7.268089056E-4,2.809029791E0
7.443847500E-1,-1.631944440E0,-2.856840225E0,-4.729865366E-1,3.323927645E0
7.544657500E-1,-1.486672706E0,-2.586352999E0,-1.297921076E0,3.253308576E0
7.645457500E-1,-1.333668614E0,-2.069781609E0,-1.756777232E0,3.024720503E0
7.746267500E-1,-1.108034502E0,-1.813907452E0,-1.822947832E0,2.800203475E0
7.847067500E-1,-9.505672306E-1,-2.042202924E0,-1.507475930E0,2.710471273E0
7.947877500E-1,-6.934575570E-1,-2.616215899E0,-4.842740017E-1,2.749543657E0
8.048677500E-1,-5.151513934E-1,-3.306992507E0,4.921817762E-1,3.382872049E0
8.149487500E-1,-6.751668817E-1,-3.909227068E0,9.154465145E-1,4.071357134E0
8.250287500E-1,-5.454165816E-1,-4.183580765E0,1.347504880E0,4.428949838E0
8.351097500E-1,-3.302741289E-2,-4.037511179E0,2.137138610E0,4.568363905E0
8.451897500E-1,1.782652330E-1,-3.512316608E0,2.721882395E0,4.447110322E0
8.552707500E-1,1.967061818E-1,-2.941848800E0,2.608834666E0,3.936900558E0
8.653507500E-1,1.628443712E-1,-3.007125362E0,2.318767161E0,3.800789705E0
8.754307500E-1,6.962396622E-1,-3.073626330E0,2.770038893E0,4.195836502E0
8.855117500E-1,1.912835324E0,-2.521838037E0,3.570708658E0,4.771641896E0
8.955917500E-1,2.695912571E0,-1.807345707E0,3.910625430E0,5.082069888E0
9.056727500E-1,3.418058322E0,-1.069084445E0,4.305381483E0,5.600211957E0
9.157527500E-1,3.753413681E0,-5.440986192E-1,4.566537723E0,5.936111888E0
9.258337500E-1,3.547259569E0,-8.812338710E-3,4.378705275E0,5.635262904E0
9.359137500E-1,3.990138792E0,7.975520289E-1,3.788745190E0,5.559845945E0
9.459947500E-1,5.020677806E0,1.342547611E0,3.374911425E0,6.196746473E0
9.560747500E-1,6.039425325E0,1.518338302E0,2.875723808E0,6.859285450E0
9.661557500E-1,6.864082122E0,1.699478611E0,1.864582054E0,7.313037479E0
9.762357500E-1,7.769941542E0,2.072753164E0,1.581344390E0,8.195666375E0
9.863167500E-1,8.410785268E0,2.629809798E0,1.521109736E0,8.942649676E0
9.963967500E-1,8.900545712E0,3.379090138E0,1.507858338E0,9.639066392E0
1.006477792E0,9.065914326E0,3.835889243E0,1.083715201E0,9.903498750E0
1.016557792E0,8.856890400E0,3.963354451E0,1.387209521E-1,9.704222255E0
1.026638792E0,8.086477053E0,3.677299891E0,-1.005313980E0,8.940039251E0
1.036718792E0,7.144923890E0,3.240825123E0,-2.318160367E0,8.180877236E0
1.046798792E0,6.348675206E0,2.788422539E0,-3.491066072E0,7.763280199E0
