"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.057404167E-2,8.484766579E0,-4.409834974E0,6.699675375E0,1.167576801E1
2.054104167E-2,7.127409725E0,-1.802282603E0,7.290376303E0,1.035363601E1
3.050804167E-2,5.970594242E0,-1.755240583E-1,7.726369261E0,9.766042507E0
4.047404167E-2,5.351185239E0,7.553784013E-1,7.893165765E0,9.565973332E0
5.044104167E-2,5.168839234E0,1.413942699E0,7.960848455E0,9.596418140E0
6.040704167E-2,5.052032331E0,1.849757316E0,7.427468952E0,9.171255521E0
7.037404167E-2,5.226420275E0,1.784870179E0,6.097430874E0,8.226779061E0
8.034104167E-2,5.769504402E0,7.596778589E-1,4.193756382E0,7.172996870E0
9.030804167E-2,6.324962992E0,-6.941831964E-1,2.320714577E0,6.772943474E0
1.002740417E-1,6.459744821E0,-1.779536349E0,1.011375423E0,6.776277224E0
1.102410417E-1,5.823338547E0,-2.546773489E0,-6.441339540E-1,6.388445475E0
1.202070417E-1,4.448314916E0,-3.379626912E0,-2.547347685E0,6.139899339E0
1.301740417E-1,2.776996495E0,-3.878859846E0,-3.845793257E0,6.127592432E0
1.401410417E-1,1.139490768E0,-3.909181167E0,-4.285831903E0,5.911724935E0
1.501080417E-1,-5.263148975E-1,-3.159361714E0,-4.263741707E0,5.332735429E0
1.600740417E-1,-2.017958906E0,-2.008504543E0,-4.011648359E0,4.919305968E0
1.700410417E-1,-2.985415819E0,-1.031025503E0,-3.562351817E0,4.760889798E0
1.800080417E-1,-3.451942352E0,-2.928221279E-1,-2.618176762E0,4.342407208E0
1.899740417E-1,-3.572362250E0,1.579034740E-1,-1.375501495E0,3.831280454E0
1.999410417E-1,-3.495381902E0,2.571383250E-1,-4.305989009E-1,3.531179714E0
2.099070417E-1,-3.355287877E0,2.736859453E-1,2.223953390E-1,3.373769468E0
2.198740417E-1,-3.000531456E0,4.264321750E-1,6.023170797E-1,3.089954577E0
2.298414167E-1,-2.577708768E0,8.524579686E-1,6.882066842E-1,2.800874063E0
2.398074167E-1,-2.383302881E0,1.458009655E0,5.709103688E-1,2.851642233E0
2.497744167E-1,-2.129751822E0,1.829830005E0,1.850947809E-1,2.813961754E0
2.597414167E-1,-1.939954126E0,1.871739923E0,-1.341309609E-1,2.699041212E0
2.697074167E-1,-1.990361218E0,1.835812292E0,-3.266862043E-1,2.727355573E0
2.796744167E-1,-2.007621614E0,1.750332431E0,-7.046795332E-1,2.755137275E0
2.896414167E-1,-2.061786126E0,1.599067593E0,-1.030065390E0,2.805176270E0
2.996074167E-1,-2.180714985E0,1.482047851E0,-1.170474579E0,2.884786719E0
3.095744167E-1,-2.150597731E0,1.352489632E0,-1.180379178E0,2.801355709E0
3.195414167E-1,-1.875202060E0,1.074206021E0,-1.232126452E0,2.487656916E0
3.295074167E-1,-1.510412402E0,6.487772280E-1,-1.248392236E0,2.064156169E0
3.394744167E-1,-1.233674210E0,1.998873594E-1,-1.136215743E0,1.689050984E0
3.494414167E-1,-1.029347937E0,-2.340388995E-1,-1.002319182E0,1.455669991E0
3.594074167E-1,-9.348639482E-1,-5.759820244E-1,-7.679931843E-1,1.339977397E0
3.693744167E-1,-9.613904268E-1,-7.627675277E-1,-5.825768065E-1,1.358485035E0
3.793414167E-1,-9.806944245E-1,-8.660851970E-1,-3.839656019E-1,1.363559572E0
3.893074167E-1,-8.977352983E-1,-1.105261168E0,-1.281709488E-1,1.429670839E0
3.992744167E-1,-6.324564797E-1,-1.379354664E0,1.159070170E-1,1.521859036E0
4.092414167E-1,-3.051749557E-1,-1.517831349E0,3.751269507E-1,1.593004704E0
4.192074167E-1,-1.936609519E-1,-1.648711623E0,5.925474787E-1,1.762630731E0
4.291744167E-1,-1.451951355E-1,-1.888483718E0,7.112646675E-1,2.023202859E0
