"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.995991667E-2,-5.451020014E-1,2.090438068E-1,-1.820424174E0,1.911747807E0
2.992891667E-2,-6.956335983E-1,2.973917270E-1,-1.087648770E0,1.324887840E0
3.989791667E-2,-8.532523128E-1,4.366080844E-1,-4.844020557E-1,1.073923405E0
4.986691667E-2,-9.241913179E-1,5.772102320E-1,5.847800374E-2,1.091201595E0
5.983591667E-2,-8.843428355E-1,7.145145500E-1,5.059186399E-1,1.244406269E0
6.980491667E-2,-7.654388282E-1,8.278458685E-1,8.054720825E-1,1.385644492E0
7.977391667E-2,-6.597951365E-1,8.827529776E-1,9.525704867E-1,1.456699342E0
8.974291667E-2,-4.855168274E-1,9.595777899E-1,1.105068794E0,1.541977031E0
9.971191667E-2,-2.221547261E-1,1.082693254E0,1.180580322E0,1.617203544E0
1.096809167E-1,8.276498040E-2,1.192904499E0,1.121310605E0,1.639270770E0
1.196499167E-1,2.712897563E-1,1.261970056E0,1.221871020E0,1.777395663E0
1.296189167E-1,3.014713293E-1,1.426470358E0,1.565270394E0,2.139105900E0
1.395879167E-1,1.178070606E-1,1.653593171E0,1.764824755E0,2.421333371E0
1.495569167E-1,-1.576312861E-1,1.863536280E0,1.830265623E0,2.616770402E0
1.595249167E-1,-3.845096853E-1,2.028573357E0,2.100280101E0,2.945188290E0
1.694939167E-1,-5.345974785E-1,2.077540864E0,2.622474466E0,3.388117889E0
1.794629167E-1,-6.076286173E-1,2.136628148E0,3.098434896E0,3.812439008E0
1.894319167E-1,-5.543870875E-1,2.175418577E0,3.428731830E0,4.098291471E0
1.994009167E-1,-4.179694998E-1,1.979986503E0,3.698015406E0,4.215490837E0
2.093699167E-1,-2.275572610E-1,1.525540903E0,4.095837740E0,4.376636167E0
2.193389167E-1,-7.986039430E-2,9.884226894E-1,4.440449241E0,4.549829289E0
2.293079167E-1,-4.763609648E-2,4.684467584E-1,4.477066260E0,4.501758974E0
2.392769167E-1,-7.916487713E-2,-1.124828875E-2,4.152651626E0,4.153421376E0
2.492459167E-1,-1.990626097E-1,-3.686651927E-1,3.385208080E0,3.411037040E0
2.592149167E-1,-4.831747252E-1,-5.151508087E-1,2.423873786E0,2.524678653E0
2.691839167E-1,-8.180842343E-1,-4.467185050E-1,1.603787758E0,1.854980973E0
2.791529167E-1,-1.154634472E0,-2.596140361E-1,9.057687879E-1,1.490301080E0
2.891219167E-1,-1.405982592E0,-1.257578212E-1,4.294581091E-1,1.475478345E0
2.990909167E-1,-1.513725726E0,-1.402764577E-1,3.395174074E-1,1.557663355E0
3.090599167E-1,-1.563676735E0,-2.815457726E-1,4.816544491E-1,1.660224070E0
3.190326667E-1,-1.459737799E0,-5.583529615E-1,6.389229155E-1,1.688435656E0
3.290016667E-1,-1.182843487E0,-1.011198764E0,7.801752734E-1,1.740780030E0
3.389696667E-1,-9.013620338E-1,-1.464469074E0,1.011887566E0,1.995254277E0
3.489386667E-1,-6.992451310E-1,-1.858363248E0,1.124371038E0,2.281812426E0
3.589076667E-1,-4.421082678E-1,-2.142176571E0,1.003710235E0,2.406618877E0
3.688766667E-1,-1.355209172E-1,-2.344937544E0,6.383376092E-1,2.434044558E0
3.788456667E-1,4.503026655E-2,-2.351411582E0,7.113313258E-2,2.352918204E0
3.888146667E-1,1.549921453E-1,-2.230123957E0,-6.032630861E-1,2.315470099E0
3.987836667E-1,1.663453916E-1,-2.098007873E0,-1.393471597E0,2.524098040E0
4.087526667E-1,5.513365220E-2,-2.007121677E0,-2.131466226E0,2.928263208E0
4.187216667E-1,-1.044739562E-1,-1.947463120E0,-2.746438361E0,3.368449359E0
4.286906667E-1,-2.721581044E-1,-1.870382200E0,-3.153871763E0,3.676860986E0
4.386596667E-1,-3.464448962E-1,-1.806942249E0,-3.360697721E0,3.831364448E0
4.486286667E-1,-2.513858342E-1,-1.751329966E0,-3.376822003E0,3.812253707E0
4.585976667E-1,-1.700639284E-1,-1.611210798E0,-3.238750530E0,3.621384676E0
4.685666667E-1,-1.377127460E-1,-1.448430161E0,-3.000574141E0,3.334720365E0
4.785356667E-1,-1.859411654E-1,-1.339975421E0,-2.829003385E0,3.135820212E0
4.885046667E-1,-2.352475190E-1,-1.305379200E0,-2.893405203E0,3.182946735E0
4.984736667E-1,-2.510025492E-1,-1.257701588E0,-3.015034890E0,3.276469282E0
5.084416667E-1,-3.424377993E-1,-1.163854362E0,-3.049329395E0,3.281802916E0
5.184106667E-1,-5.609789826E-1,-9.913562375E-1,-3.041758420E0,3.248042317E0
5.283796667E-1,-7.337653381E-1,-8.996800822E-1,-2.986809211E0,3.204506995E0
5.383486667E-1,-8.788642868E-1,-7.999119651E-1,-2.913022027E0,3.146102178E0
5.483176667E-1,-9.164203683E-1,-6.364571446E-1,-2.630553564E0,2.857396724E0
5.582866667E-1,-7.775826180E-1,-4.748523831E-1,-2.083945904E0,2.274412022E0
5.682556667E-1,-6.387846288E-1,-3.872505677E-1,-1.514944578E0,1.689102093E0
5.782246667E-1,-4.945066291E-1,-3.365493608E-1,-5.731312144E-1,8.284211896E-1
5.881936667E-1,-3.618302362E-1,-2.154008996E-1,6.386293852E-1,7.649615409E-1
5.981626667E-1,-2.306410825E-1,-1.459494263E-1,1.046158682E0,1.081177382E0
6.081316667E-1,-1.965886893E-1,-1.260630459E-1,1.001391229E0,1.028262320E0
6.181006667E-1,-3.017489259E-1,2.513133287E-3,1.032638165E0,1.075825408E0
6.280696667E-1,-3.688369547E-1,1.901970613E-1,9.729287374E-1,1.057736238E0
6.380386667E-1,-2.350259095E-1,3.788703382E-1,7.178445393E-1,8.450329543E-1
6.480076667E-1,-9.412445761E-2,5.524817723E-1,4.886050344E-1,7.435256565E-1
6.579766667E-1,-6.599021405E-2,7.594387078E-1,4.411806071E-1,8.807622763E-1
6.679456667E-1,-6.966738179E-2,9.302241826E-1,5.624354875E-1,1.089267759E0
6.779146667E-1,-1.420825895E-1,9.686713797E-1,7.470467037E-1,1.231499282E0
6.878836667E-1,-2.207262513E-1,9.732848328E-1,9.364426965E-1,1.368549731E0
6.978516667E-1,-2.658597395E-1,9.558572066E-1,1.233814543E0,1.583238051E0
7.078206667E-1,-3.492020045E-1,1.094035099E0,1.627011144E0,1.991486907E0
7.177896667E-1,-3.234819301E-1,1.373971717E0,1.684733688E0,2.197900461E0
7.277586667E-1,-1.737071823E-1,1.571559659E0,1.499021441E0,2.178770118E0
7.377276667E-1,1.847693834E-1,1.388894981E0,1.420233133E0,1.995051665E0
7.476966667E-1,5.406225957E-1,1.122836144E0,1.463879090E0,1.922492077E0
7.576656667E-1,7.175779793E-1,1.146936613E0,1.360016168E0,1.918339315E0
7.676346667E-1,1.011151840E0,9.976741540E-1,1.167883093E0,1.838948798E0
7.776036667E-1,1.312073239E0,6.082004750E-1,1.212676274E0,1.887333501E0
7.875726667E-1,1.457484867E0,1.497752595E-1,1.451917441E0,2.062706722E0
7.975416667E-1,1.466000752E0,-3.030588484E-1,1.899223006E0,2.418274364E0
8.075106667E-1,1.279977287E0,-7.141812587E-1,2.223610743E0,2.663238905E0
8.174796667E-1,1.103994880E0,-1.082258222E0,2.337964740E0,2.802885420E0
8.274486667E-1,9.044129647E-1,-1.366017165E0,2.506152297E0,2.994121748E0
8.374176667E-1,6.906437306E-1,-1.563769999E0,2.541216295E0,3.062702341E0
8.473866667E-1,4.803486197E-1,-1.508869321E0,2.250643591E0,2.751875360E0
8.573556667E-1,4.455968629E-1,-1.328289760E0,1.774896584E0,2.261231552E0
8.673246667E-1,5.963592786E-1,-1.025081223E0,1.199501912E0,1.686784142E0
8.772936667E-1,8.864756075E-1,-6.940247369E-1,7.106267363E-1,1.331352582E0
8.872616667E-1,1.158370404E0,-3.797328025E-1,4.445714074E-1,1.297560300E0
8.972306667E-1,1.373593987E0,-1.594301820E-1,4.565751565E-1,1.456241497E0
9.071996667E-1,1.584056767E0,-9.912141502E-2,2.887863797E-1,1.613213709E0
9.171686667E-1,1.699873006E0,-1.905905789E-1,-7.845209241E-3,1.710542181E0
9.271376667E-1,1.631525779E0,-2.306510228E-1,-2.550251412E-1,1.667367412E0
9.371066667E-1,1.441373449E0,-2.254510939E-1,-5.693673617E-1,1.566066668E0
9.470756667E-1,1.195860412E0,-2.838086450E-1,-9.308591902E-1,1.541793859E0
9.570446667E-1,8.840938903E-1,-2.605022281E-1,-1.401751839E0,1.677614865E0
9.670136667E-1,6.918584897E-1,-2.297827113E-1,-2.040336785E0,2.166666209E0
9.769826667E-1,5.715688384E-1,-1.904145777E-1,-2.605753183E0,2.674490288E0
9.869516667E-1,4.463590474E-1,-2.048279643E-1,-2.948808156E0,2.989424767E0
9.969206667E-1,3.344569346E-1,-2.632890111E-1,-3.152010010E0,3.180620953E0
1.006889667E0,2.320876837E-1,-3.345461047E-1,-3.336765068E0,3.361515567E0
1.016858667E0,1.724873069E-1,-4.107043344E-1,-3.291017037E0,3.321027410E0
1.026827667E0,6.481401008E-2,-4.171801257E-1,-3.036016454E0,3.065230175E0
1.036796667E0,-7.483705133E-3,-4.215351319E-1,-2.691830630E0,2.724646768E0
1.046765667E0,-1.000224710E-1,-4.344826216E-1,-2.468444772E0,2.508385783E0
1.056734667E0,-1.149059737E-1,-4.864754784E-1,-2.489494164E0,2.539181554E0
1.066703667E0,-1.351015256E-1,-5.649685013E-1,-2.497644598E0,2.564306995E0
1.076672667E0,-1.465322841E-1,-5.532056576E-1,-2.542116181E0,2.605736535E0
1.086640667E0,-1.048615170E-1,-4.936693078E-1,-2.525644575E0,2.575574856E0
1.096609667E0,-6.055668890E-2,-3.995414150E-1,-2.540877156E0,2.572811143E0
1.106578667E0,2.946280405E-2,-3.518515241E-1,-2.420680622E0,2.446295613E0
1.116547667E0,5.764185190E-2,-2.651992965E-1,-2.015720592E0,2.033908247E0
1.126516667E0,-2.967944339E-2,-1.352811813E-1,-1.589902375E0,1.595923378E0
1.136485667E0,-1.239184699E-1,-5.688229859E-2,-1.229309263E0,1.236847868E0
1.146454667E0,-2.345850295E-1,2.108973742E-2,-6.434129924E-1,6.851680026E-1
1.156423667E0,-3.862743750E-1,1.259086794E-1,-1.738599408E-1,4.419142081E-1
1.166392667E0,-5.296894719E-1,2.626475716E-1,2.370279962E-1,6.369748460E-1
1.176361667E0,-6.059323400E-1,4.803768325E-1,6.032303417E-1,9.807154261E-1
1.186330667E0,-5.440040405E-1,6.507559258E-1,7.886262542E-1,1.158168830E0
1.196299667E0,-4.611203434E-1,7.789432651E-1,9.119048560E-1,1.284894956E0
1.206268667E0,-3.481049207E-1,9.158014405E-1,1.179276978E0,1.533154756E0
1.216237667E0,-2.590311052E-1,1.108192962E0,1.237456189E0,1.681215802E0
1.226206667E0,-2.192197162E-1,1.201589368E0,1.314963371E0,1.794715287E0
1.236175667E0,-1.602394366E-1,1.219398233E0,1.562303517E0,1.988316123E0
1.246144667E0,-1.316763729E-1,1.246086094E0,1.715908703E0,2.124714545E0
1.256113667E0,-1.395613432E-1,1.316228124E0,1.720140917E0,2.170442033E0
1.266082667E0,-2.823392580E-1,1.519903602E0,1.772055421E0,2.351595806E0
1.276051667E0,-5.435396254E-1,1.709100789E0,1.760692527E0,2.513264612E0
1.286019667E0,-8.087441844E-1,1.845457858E0,1.776808038E0,2.686415580E0
1.295988667E0,-1.047495355E0,2.042411962E0,1.839786644E0,2.941684558E0
1.305957667E0,-1.223659391E0,2.251880862E0,1.944228441E0,3.216882645E0
1.315926667E0,-1.056750620E0,2.210643958E0,2.335000201E0,3.384655747E0
1.325896542E0,-5.959666380E-1,1.902518497E0,3.220242339E0,3.787441562E0
1.335865542E0,-2.548889011E-2,1.488492944E0,4.145319217E0,4.404535429E0
1.345834542E0,4.618461290E-1,9.159558070E-1,4.891862476E0,4.998259234E0
1.355803542E0,7.346973842E-1,3.821991581E-1,5.255812474E0,5.320659847E0
1.365772542E0,9.087255786E-1,-3.303501427E-2,4.728364971E0,4.815008700E0
1.375741542E0,9.527385941E-1,-4.266058373E-1,3.575102255E0,3.724387132E0
1.385710542E0,6.190819971E-1,-5.382677758E-1,2.288347022E0,2.430951832E0
1.395679542E0,1.946538091E-3,-3.935357398E-1,1.476664612E0,1.528205661E0
1.405648542E0,-5.794543934E-1,-2.404047632E-1,7.249588466E-1,9.587112044E-1
1.415617542E0,-9.840635902E-1,-1.782167011E-1,1.041599607E-1,1.005480800E0
1.425586542E0,-1.234298108E0,-2.397715098E-1,-4.891956031E-2,1.258322422E0
1.435555542E0,-1.354038559E0,-3.944379652E-1,2.148430753E-1,1.426590087E0
1.445524542E0,-1.333387655E0,-6.713375401E-1,5.319855273E-1,1.584810819E0
1.455493542E0,-1.271885472E0,-1.105323733E0,6.490830374E-1,1.805752474E0
1.465462542E0,-1.188783966E0,-1.502111109E0,6.413331378E-1,2.020112199E0
1.475431542E0,-1.057241786E0,-1.836311059E0,4.546455753E-1,2.167141227E0
1.485400542E0,-8.948397571E-1,-2.079021379E0,1.518065822E-1,2.268504645E0
1.495369542E0,-7.337238228E-1,-2.182298411E0,-2.299253833E-1,2.313794002E0
1.505337542E0,-5.150710307E-1,-2.246868628E0,-7.243004501E-1,2.416263219E0
1.515306542E0,-2.647987987E-1,-2.221164853E0,-1.284347935E0,2.579387781E0
1.525275542E0,-8.701826334E-2,-2.138591058E0,-1.873229794E0,2.844316043E0
1.535244542E0,-5.229311138E-2,-2.069449487E0,-2.350528067E0,3.132145901E0
1.545213542E0,-1.341830742E-1,-2.039336911E0,-2.681000417E0,3.371151639E0
1.555182542E0,-2.716446823E-1,-2.085312983E0,-2.915950897E0,3.595148218E0
1.565151542E0,-4.493588153E-1,-2.157233736E0,-3.043134270E0,3.757159422E0
1.575120542E0,-6.522738630E-1,-2.195279229E0,-3.089088707E0,3.845410398E0
1.585089542E0,-7.600161204E-1,-2.193195866E0,-3.088550763E0,3.863531859E0
1.595058542E0,-8.493457881E-1,-2.144103228E0,-2.909177483E0,3.712395527E0
1.605027542E0,-9.094884941E-1,-2.018116781E0,-2.720712951E0,3.507455435E0
1.614996542E0,-9.647642702E-1,-1.910595256E0,-2.630492168E0,3.391258376E0
1.624965542E0,-1.071484873E0,-1.760165693E0,-2.540594736E0,3.271220676E0
1.634934542E0,-1.151236070E0,-1.519105457E0,-2.641287882E0,3.257211623E0
1.644903542E0,-1.169754202E0,-1.280082391E0,-2.894323216E0,3.374024704E0
1.654872542E0,-1.189844943E0,-9.854505497E-1,-2.879331540E0,3.267628175E0
1.664841542E0,-1.147386702E0,-6.742886299E-1,-2.693752609E0,3.004573933E0
1.674810542E0,-1.023790450E0,-3.856683111E-1,-2.443116388E0,2.676883378E0
1.684779542E0,-9.420859905E-1,-1.880546415E-1,-2.043397218E0,2.257955436E0
1.694748542E0,-9.619710553E-1,-2.684456706E-2,-1.482303082E0,1.767294930E0
1.704717542E0,-1.003353701E0,1.699563396E-1,-8.888177097E-1,1.351147929E0
1.714685542E0,-1.054278564E0,2.851464880E-1,-2.368718755E-1,1.117550936E0
1.724654542E0,-1.107184463E0,3.942941236E-1,3.193953842E-1,1.217923932E0
1.734623542E0,-1.072002936E0,5.709431863E-1,5.885222554E-1,1.349638790E0
1.744592542E0,-1.013609352E0,7.396295106E-1,7.029031491E-1,1.438238008E0
1.754561542E0,-9.478111455E-1,9.274444163E-1,6.981435156E-1,1.498633872E0
1.764530542E0,-8.157228363E-1,1.109177048E0,6.491894567E-1,1.522210373E0
1.774499542E0,-6.645820326E-1,1.265941485E0,7.034937179E-1,1.593480634E0
1.784468542E0,-5.593347090E-1,1.385669657E0,8.558300579E-1,1.722028107E0
1.794437542E0,-5.367131473E-1,1.410639607E0,1.134062798E0,1.887872753E0
1.804406542E0,-3.854221433E-1,1.393440022E0,1.557683047E0,2.125229822E0
