"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.830208334E-3,-3.876841680E0,3.861256803E0,-3.585081698E0,6.541560692E0
1.279620834E-2,-3.384682415E0,3.280234187E0,-3.123364500E0,5.654327296E0
2.276220833E-2,-3.030210754E0,2.779934136E0,-2.794024172E0,4.971597539E0
3.272820833E-2,-2.232522485E0,1.948967609E0,-2.569211594E0,3.922177915E0
4.269420834E-2,-1.262335653E0,1.412435871E0,-2.493268542E0,3.131270415E0
5.266020833E-2,-6.099142939E-1,9.651156878E-1,-2.091970331E0,2.383229658E0
6.262620834E-2,1.673141290E0,8.277318478E-3,6.749365014E-1,1.804164508E0
7.259220833E-2,4.841340778E0,-3.001347728E0,2.692151057E0,6.300344914E0
8.255820833E-2,8.773607338E0,-6.894970039E0,5.487772104E0,1.243512928E1
9.252320834E-2,1.357710611E1,-9.079559973E0,9.242088010E0,1.876679009E1
1.024892083E-1,1.459852697E1,-7.159923168E0,1.217110334E1,2.031052058E1
1.124552083E-1,1.165872002E1,-1.938670662E0,1.048193396E1,1.579731420E1
1.224212083E-1,9.046857666E0,2.707251492E0,7.037560240E0,1.177718550E1
1.323872083E-1,6.756564106E0,3.637214304E0,4.132734255E0,8.715502213E0
1.423532083E-1,3.705691631E0,1.760659198E0,-2.978752917E-1,4.113490120E0
1.523192083E-1,5.340099795E-1,3.427947718E-1,-3.433530639E0,3.491676899E0
1.622852083E-1,-1.476943085E0,-1.144680757E0,-1.681762717E0,2.513957189E0
1.722512083E-1,-2.353665683E0,-3.519223339E0,-1.284856058E0,4.424424273E0
1.822172083E-1,-2.611978129E0,-4.956523325E0,-1.435022496E0,5.783497453E0
1.921832083E-1,-2.308151980E0,-6.554230564E0,-1.131383604E0,7.040279306E0
2.021482083E-1,-1.664475278E0,-9.379787015E0,-1.098873085E0,9.589494484E0
2.121142083E-1,-1.101273367E0,-1.249290018E1,-3.383606527E0,1.298977101E1
2.220802083E-1,-1.490119932E0,-1.004179883E1,-5.775386117E0,1.167960898E1
2.320462083E-1,-2.605650857E0,-2.375772251E0,-5.529053446E0,6.557754356E0
2.420122083E-1,-3.172507424E0,2.018237818E0,-4.276216156E0,5.694217406E0
2.519782083E-1,-3.516633022E0,3.641722507E0,-2.316683798E0,5.567393865E0
2.619442083E-1,-3.834773594E0,2.237776793E0,-1.256829184E0,4.614407122E0
2.719102083E-1,-3.922743199E0,6.926418704E-1,-9.784432465E-1,4.101831074E0
2.818762083E-1,-3.822748795E0,1.306887782E-1,-1.246927216E0,4.023097736E0
2.918422083E-1,-3.606532501E0,-1.405435585E0,-1.561370301E0,4.173751680E0
3.018082083E-1,-3.679813024E0,-3.747077054E0,-1.645679842E0,5.503623577E0
3.117742083E-1,-3.840728399E0,-5.751794356E0,-9.049200645E-1,6.975185536E0
3.217392083E-1,-3.939383206E0,-6.713898143E0,4.142299131E-1,7.795303377E0
3.317052083E-1,-3.915912482E0,-6.288525483E0,1.691945351E0,7.598855334E0
3.416712083E-1,-3.688718918E0,-4.697173584E0,1.935552634E0,6.278252219E0
3.516372083E-1,-3.296749355E0,-2.927424304E0,1.885432348E0,4.795125077E0
3.616032083E-1,-2.679142756E0,-1.386338578E0,1.599387143E0,3.414349103E0
3.715692083E-1,-2.899768436E0,2.861375910E-1,3.499657971E-1,2.934792626E0
3.815352083E-1,-2.857057157E0,9.227719063E-1,-1.191247690E0,3.230070378E0
3.915012083E-1,-1.124259502E0,1.126295357E0,-1.277638547E0,2.040799088E0
4.014672083E-1,-3.279756615E-1,1.639272755E0,-6.800618783E-2,1.673143163E0
4.114332083E-1,3.660393544E-2,2.302421270E0,1.264928016E0,2.627265963E0
4.213982083E-1,-6.633238580E-1,3.280065787E0,2.612559635E0,4.245503262E0
4.313642083E-1,-1.654617603E0,4.046039343E0,4.545045989E0,6.306000065E0
4.413302083E-1,-1.808340318E0,3.854486897E0,7.064276168E0,8.248100492E0
4.512962083E-1,-1.886467598E0,3.903579535E0,9.201381449E0,1.017163280E1
4.612622083E-1,-1.263730360E0,5.112562122E0,6.733545372E0,8.548446593E0
4.712282083E-1,-8.393432486E-1,5.222986205E0,2.785940689E0,5.978758024E0
4.811942083E-1,-7.701687140E-1,4.127119759E0,3.290938684E-1,4.211244487E0
4.911602083E-1,-2.835470187E-1,3.125602230E0,-2.182042595E0,3.822446611E0
5.011262083E-1,5.827755753E-1,2.434618045E0,-6.152644962E0,6.642441752E0
5.110922083E-1,1.759530978E0,9.937676293E-1,-1.768063527E1,1.779574070E1
5.210582083E-1,2.054351392E0,-1.759210843E-1,-1.702823453E1,1.715261143E1
5.310232083E-1,7.596854603E-1,4.965473074E-1,-4.458315994E0,4.549754139E0
5.409892083E-1,-4.932711124E-3,1.724102991E0,3.459393459E0,3.865224257E0
5.509552083E-1,-3.907796547E-1,2.179018707E0,7.475251814E0,7.796167067E0
5.609212083E-1,-4.598381586E-1,1.931741127E0,9.516974974E0,9.721928181E0
5.708872083E-1,6.428864506E-1,1.125512999E0,8.644275114E0,8.740913839E0
5.808532083E-1,2.356289329E0,4.210585839E-1,4.585860431E0,5.172959079E0
5.908192083E-1,3.966417807E0,3.496927321E-1,-4.268813874E-1,4.004620200E0
6.007852083E-1,4.310601293E0,1.372763683E0,-2.242238803E0,5.049098779E0
6.107512083E-1,4.116664352E0,2.399378046E0,6.423721880E-1,4.807970718E0
6.207172083E-1,3.239507160E0,3.126357690E0,4.529797035E0,6.386515500E0
6.306832083E-1,1.864935811E0,2.652278309E0,6.863275791E0,7.590594206E0
6.406482083E-1,5.775058819E-1,8.059685111E-1,6.839825533E0,6.911317646E0
6.506142083E-1,-2.981795662E-1,-1.484420359E0,4.402341768E0,4.655429936E0
6.605802083E-1,-5.158732322E-1,-3.280175714E0,2.973783953E0,4.457473377E0
6.705462083E-1,-5.202849564E-1,-3.633745151E0,3.621508098E0,5.156560982E0
6.805122083E-1,-5.882918020E-1,-2.751971582E0,4.718993053E0,5.494390800E0
6.904782083E-1,-4.983581170E-1,-1.419883470E0,5.204641151E0,5.417815001E0
7.004442083E-1,-2.221518756E-1,-1.605633724E-1,5.286384641E0,5.293486056E0
7.104102083E-1,6.910239458E-2,9.811926073E-1,5.381655080E0,5.470806656E0
7.203762083E-1,3.277326366E-1,1.753443734E0,5.394716590E0,5.681983870E0
7.303422083E-1,6.102198109E-1,1.778872105E0,5.191183784E0,5.521335279E0
7.403082083E-1,7.493265331E-1,1.380957971E0,4.334328125E0,4.610307523E0
7.502732083E-1,6.450221461E-1,4.416893148E-1,3.115941752E0,3.212512416E0
7.602392083E-1,4.723351568E-1,-4.702529633E-1,1.847697927E0,1.964236742E0
7.702052083E-1,3.370387727E-1,-6.163222575E-1,5.473256975E-1,8.905131547E-1
7.801712083E-1,1.004645205E-1,2.155061495E-1,-4.830226976E-1,5.383743556E-1
7.901372083E-1,-3.625276628E-1,1.050752839E0,-9.353419581E-1,1.452712089E0
8.001032083E-1,-5.591303489E-1,1.460400581E0,-7.094859445E-1,1.717197400E0
8.100692083E-1,-7.265358406E-1,1.285170638E0,-1.380188477E-1,1.482756588E0
8.200352083E-1,-1.751359494E0,-4.897446567E-1,-3.080734205E-1,1.844456326E0
8.300012083E-1,-3.158685484E0,-3.918513908E0,5.099380159E-1,5.058861731E0
8.399670417E-1,-5.507268475E0,-8.699063525E0,1.389625591E0,1.038916607E1
8.499320417E-1,-8.070442818E0,-1.104765675E1,1.419301672E0,1.375489673E1
8.598980417E-1,-9.237037185E0,-1.053383501E1,8.798220608E-1,1.403775705E1
8.698640417E-1,-6.792292932E0,-7.305274424E0,2.121656352E-1,9.977338921E0
8.798300417E-1,-2.627054298E0,-4.358238559E0,-1.893182248E-1,5.092298009E0
8.897960417E-1,1.533022634E-1,-4.607245746E0,-1.129556057E0,4.746168121E0
8.997620417E-1,1.835790072E0,-6.309121715E0,-2.383976187E0,6.989884439E0
9.097280417E-1,3.305392709E0,-7.136549508E0,-4.426407738E0,9.024912482E0
9.196940417E-1,5.299335054E0,-7.035449980E0,-7.401432470E0,1.150485598E1
9.296600417E-1,6.741899289E0,-5.725872479E0,-1.267663490E1,1.545755136E1
9.396260417E-1,6.337340963E0,-3.275307907E0,-1.346224106E1,1.523553303E1
9.495910417E-1,5.817093136E0,-4.839331090E-2,-9.292131405E0,1.096287465E1
9.595570417E-1,4.378917822E0,3.089197465E0,-5.939861276E0,8.000000890E0
9.695230417E-1,2.702466423E0,4.892181734E0,-3.900529042E0,6.815489248E0
9.794890417E-1,1.106081386E0,5.328916118E0,-3.114563856E0,6.270667512E0
9.894550417E-1,1.230365270E-1,5.097079865E0,-2.290650240E0,5.589493685E0
9.994210417E-1,-9.694815114E-1,4.603782440E0,-1.282165169E0,4.876336194E0
1.009387042E0,-2.493296024E0,4.296497224E0,4.257822570E-1,4.985750093E0
1.019353042E0,-5.036836002E0,3.793290523E0,2.143995640E0,6.659991532E0
1.029319042E0,-7.345712598E0,3.716969156E0,1.761122590E0,8.418842323E0
1.039285042E0,-9.373088445E0,5.027097464E0,-1.199796027E-1,1.063677070E1
1.049251042E0,-1.028624168E1,6.506428991E0,-1.839215663E0,1.230947198E1
1.059216042E0,-9.896570367E0,7.486182014E0,-3.338210499E0,1.285024029E1
1.069182042E0,-8.425076448E0,7.760428707E0,-4.017306125E0,1.213857139E1
1.079148042E0,-6.629180174E0,6.554101925E0,-4.134726402E0,1.019795294E1
1.089114042E0,-4.921139485E0,5.017844830E0,-4.082611630E0,8.127982424E0
1.099080042E0,-3.782845641E0,4.502183560E0,-3.580269440E0,6.884613803E0
1.109046042E0,-2.627299881E0,3.673614975E0,-3.467010042E0,5.693707955E0
1.119012042E0,-1.552526095E0,3.079213344E0,-3.296664863E0,4.770732786E0
1.128978042E0,-4.446449362E-1,2.039751479E0,-2.548147292E0,3.294138709E0
1.138944042E0,2.326018001E-1,8.704293859E-1,-1.359239073E0,1.630730441E0
1.148910042E0,2.342415640E0,-1.175872729E0,3.529016840E-1,2.644641243E0
1.158875042E0,6.679654509E0,-4.531086931E0,3.534189287E0,8.811301099E0
1.168841042E0,1.104762400E1,-9.666084235E0,8.802849848E0,1.711646418E1
1.178807042E0,1.593992853E1,-1.359805083E1,1.368855053E1,2.502727959E1
1.188773042E0,1.703675743E1,-1.257344791E1,1.111259943E1,2.391302077E1
1.198739042E0,1.446873750E1,-6.827957439E0,4.026320193E0,1.649777627E1
1.208705042E0,1.029807177E1,-1.207572824E-1,7.365971446E-1,1.032508788E1
1.218671042E0,6.744832837E0,4.960340973E0,1.485512034E0,8.503205194E0
1.228637042E0,3.877625206E0,7.205101095E0,1.227796589E0,8.273871131E0
1.238603042E0,1.564465817E0,4.109809077E0,-9.192325866E-1,4.492557455E0
1.248569042E0,-1.727508701E-1,-2.937609569E0,-2.631134777E0,3.947437530E0
1.258534042E0,-9.568290138E-1,-6.633214753E0,-2.103004904E0,7.024079252E0
1.268500042E0,-1.418131059E0,-7.384029987E0,-1.110133068E0,7.600486167E0
1.278466042E0,-2.255791479E0,-8.784163901E0,3.664713174E-1,9.076587017E0
1.288432042E0,-3.050400312E0,-1.079692697E1,-1.075408208E-1,1.122007750E1
1.298398042E0,-4.064250496E0,-1.085722346E1,-4.611089705E0,1.247636091E1
1.308364042E0,-4.513014942E0,-4.874388657E0,-6.911144022E0,9.585973103E0
1.318330042E0,-4.477415339E0,1.468322974E0,-7.041652122E0,8.472784966E0
1.328296042E0,-4.527727413E0,3.725812485E0,-6.450270578E0,8.717108737E0
1.338262042E0,-4.290983592E0,3.605921175E0,-5.012985209E0,7.519656137E0
1.348228042E0,-3.613347431E0,1.192584656E0,-3.100253965E0,4.908167934E0
1.358193042E0,-2.676538991E0,-1.524618212E0,-9.088453004E-1,3.211591731E0
1.368159042E0,-2.050794238E0,-2.599439945E0,5.395383757E-1,3.354690253E0
1.378125042E0,-1.827839613E0,-3.043756998E0,3.502686828E-1,3.567652234E0
1.388091042E0,-1.811711238E0,-3.325706813E0,5.822160333E-2,3.787613124E0
1.398057042E0,-1.837001908E0,-3.445822071E0,1.093464410E-1,3.906433463E0
1.408023042E0,-1.917047805E0,-3.299290262E0,5.999132162E-1,3.862678396E0
1.417989042E0,-2.111583500E0,-2.782182975E0,8.493680075E-1,3.594544894E0
1.427955042E0,-2.192775159E0,-1.961360198E0,6.697351107E-1,3.017240766E0
1.437921042E0,-2.050321052E0,-9.450796187E-1,8.433763656E-1,2.410036431E0
1.447887042E0,-1.759573224E0,-2.554128116E-1,7.672339234E-1,1.936486904E0
1.457852042E0,-1.802039651E0,6.837348068E-1,3.921702687E-1,1.966885281E0
1.467818042E0,-2.187763364E0,1.148808306E0,-4.545321393E-1,2.512502444E0
1.477784042E0,-1.966202715E0,2.029042304E-1,-5.970318545E-1,2.064841466E0
1.487750042E0,-1.275677099E0,1.295392156E-1,9.579493403E-3,1.282273074E0
1.497716042E0,-1.086023682E0,9.465531170E-1,1.588136516E0,2.144198646E0
1.507682042E0,-1.660601059E0,2.158906040E0,3.279284599E0,4.262883841E0
1.517648042E0,-2.075830846E0,3.167338486E0,4.813580245E0,6.124676445E0
1.527614042E0,-2.429529506E0,3.381535444E0,6.458885280E0,7.684698735E0
1.537580042E0,-2.551099259E0,2.896034696E0,8.750721336E0,9.564007962E0
1.547546042E0,-1.702423562E0,3.679699003E0,8.072855964E0,9.033794007E0
1.557511042E0,-8.602315494E-1,4.104720245E0,5.070665653E0,6.580302179E0
1.567477042E0,-1.141152328E0,3.024498024E0,2.327074008E0,3.983100598E0
1.577443042E0,-1.259620352E0,1.644665642E0,-1.541815166E0,2.582394724E0
1.587409042E0,-6.905226202E-1,1.818454832E-1,-7.415994376E0,7.450292736E0
1.597375042E0,1.009242285E0,-1.151420258E0,-2.150085749E1,2.155530587E1
1.607341042E0,1.916087546E0,-8.087149483E-1,-1.813575213E1,1.825461358E1
1.617307042E0,8.342321974E-1,1.522648870E0,-4.429626922E0,4.757730300E0
1.627273042E0,2.456269115E-2,3.455847123E0,2.000132500E0,3.992995452E0
1.637239042E0,-3.804248205E-1,3.552586382E0,6.332759085E0,7.271136821E0
1.647204042E0,-2.183695310E-1,2.596663687E0,9.993604910E0,1.032775322E1
1.657170042E0,8.374718472E-1,1.494905001E0,1.065911278E1,1.079596152E1
1.667136042E0,2.184725297E0,9.799085587E-1,7.501865416E0,7.874720955E0
1.677102042E0,3.464285240E0,9.463531423E-1,2.510254703E0,4.381579072E0
1.687068042E0,3.837432908E0,1.328114929E0,-6.087618077E-1,4.106138274E0
1.697034042E0,3.327582308E0,1.668086080E0,6.155387306E-1,3.772824289E0
1.707000042E0,2.123388298E0,1.917930003E0,3.858377050E0,4.803572297E0
1.716966042E0,1.269754746E0,1.676123078E0,5.777657760E0,6.148414013E0
1.726932042E0,1.271895704E0,2.004437220E-1,6.085517757E0,6.220242981E0
1.736898042E0,1.942037196E0,-1.972326651E0,4.093735081E0,4.941684713E0
1.746863042E0,2.558363839E0,-3.264115167E0,1.483696912E0,4.404660019E0
1.756829042E0,2.740319543E0,-2.838953007E0,1.691271752E0,4.292948347E0
1.766795042E0,2.278958148E0,-1.322046103E0,3.455137271E0,4.345046570E0
1.776761042E0,1.461214514E0,1.352525300E-1,4.498795098E0,4.732081829E0
1.786727042E0,8.451752615E-1,1.197612677E0,4.921627727E0,5.135271836E0
1.796693042E0,4.135227289E-1,1.644648685E0,4.933475940E0,5.216805076E0
1.806659042E0,-4.509750953E-2,1.564107383E0,4.033476015E0,4.326360417E0
1.816625042E0,-1.980843705E-1,9.863919514E-1,2.863991954E0,3.035565254E0
1.826591042E0,-2.224698910E-1,6.869075060E-2,1.955600106E0,1.969411852E0
1.836556667E0,-1.147635940E-1,-4.832027918E-1,1.314490331E0,1.405183423E0
1.846521667E0,-1.166189155E-1,-3.423123765E-1,1.100804712E0,1.158684059E0
1.856487667E0,-1.834163559E-1,6.497542977E-2,1.454198732E0,1.467159609E0
1.866453667E0,-3.220886117E-1,9.317052823E-1,2.236553994E0,2.444174620E0
1.876419667E0,-9.228555214E-1,1.717552940E0,2.169465380E0,2.916887116E0
1.886385667E0,-1.675053914E0,1.420595076E0,1.443398048E0,2.628173113E0
1.896351667E0,-2.227716658E0,3.117349470E-1,1.699987758E0,2.819549354E0
