"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.170083336E-3,7.769761156E-1,3.708918124E0,2.754041788E0,4.684496954E0
1.613508333E-2,9.039770548E-1,3.586366332E0,2.500958800E0,4.464750038E0
2.610008333E-2,9.643390314E-1,3.279462939E0,2.340310058E0,4.142689718E0
3.606608334E-2,1.043116960E0,2.876441261E0,2.290312271E0,3.821980850E0
4.603208333E-2,1.123411949E0,2.484212959E0,2.237757789E0,3.527170021E0
5.599708333E-2,1.223786568E0,2.056082168E0,2.230616877E0,3.271204533E0
6.596308333E-2,1.327024715E0,1.564817820E0,2.218721302E0,3.021981737E0
7.592908333E-2,1.351625998E0,1.057523330E0,2.181371042E0,2.775541038E0
8.589408334E-2,1.387407888E0,5.545961255E-1,2.094865287E0,2.573118358E0
9.586008333E-2,1.455991342E0,1.370680904E-1,1.937905554E0,2.427792492E0
1.058260833E-1,1.480024714E0,-2.310989195E-1,1.746127698E0,2.300617700E0
1.157910833E-1,1.522075550E0,-7.600386322E-1,1.191915150E0,2.077266094E0
1.257570833E-1,1.462329870E0,-1.660222744E0,1.107221155E0,2.474002202E0
1.357230833E-1,1.394663259E0,-2.637815221E0,9.141186118E-1,3.120699855E0
1.456890833E-1,1.352285564E0,-3.646269886E0,3.140960526E-1,3.901617185E0
1.556540833E-1,1.187637327E0,-4.413564329E0,-3.639581841E-1,4.585029778E0
1.656200833E-1,1.183775533E0,-4.973904759E0,-3.559267411E-1,5.125206036E0
1.755860833E-1,1.317616253E0,-5.264436532E0,-3.599192199E-1,5.438744932E0
1.855510833E-1,1.248478629E0,-4.878458903E0,-5.848861644E-1,5.069531732E0
1.955170833E-1,1.273306053E0,-4.446553735E0,-8.454325390E-1,4.701904358E0
2.054830833E-1,1.215609822E0,-3.845810798E0,-1.007295163E0,4.157236039E0
2.154480833E-1,1.184107363E0,-3.449615160E0,-1.184355869E0,3.834664760E0
2.254140833E-1,1.142121723E0,-3.531501907E0,-1.639772108E0,4.057684107E0
2.353800833E-1,1.035189013E0,-3.949421121E0,-2.233490199E0,4.653817997E0
2.453450833E-1,9.639319190E-1,-4.209652038E0,-2.850580196E0,5.174566888E0
2.553110833E-1,8.907315034E-1,-4.184776813E0,-3.560426036E0,5.566182996E0
2.652770833E-1,6.421792299E-1,-3.564308880E0,-5.397448994E0,6.499934430E0
2.752420833E-1,-7.502211571E-2,-1.912220782E0,-7.551686032E0,7.790390142E0
2.852080833E-1,-7.211651731E-1,-1.483959013E0,-7.096035905E0,7.285323543E0
2.951740833E-1,-7.853497669E-1,-1.489447795E0,-5.439019189E0,5.693694646E0
3.051390833E-1,-3.052863452E-1,-3.638938648E-1,-3.810314691E0,3.839806837E0
3.151050833E-1,3.180268434E-1,1.101897265E0,-2.343633031E0,2.609201877E0
3.250710833E-1,7.279763022E-1,1.970080150E0,-1.261844341E0,2.450187020E0
3.350360833E-1,8.812274390E-1,2.218997290E0,-5.559709521E-1,2.451451503E0
3.450020833E-1,6.477682909E-1,2.142276558E0,-1.676256394E-1,2.244337534E0
3.549680833E-1,8.438672394E-2,1.658677910E0,5.606310368E-3,1.660832610E0
3.649330833E-1,-5.636837219E-1,8.381299514E-1,9.113017157E-2,1.014152780E0
3.748990833E-1,-1.152798154E0,8.337544799E-2,-1.860502160E-1,1.170687718E0
3.848650833E-1,-1.767292864E0,-4.965964240E-1,-5.357979119E-1,1.912331425E0
3.948300833E-1,-2.427903103E0,-6.250796324E-1,-8.664263821E-1,2.652570960E0
