"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.907958333E-3,5.719120699E0,-6.238444666E0,-9.033307328E0,1.237849646E1
1.387495833E-2,5.376866795E0,-6.338735524E0,-9.352109220E0,1.251208262E1
2.384195833E-2,5.017861787E0,-5.829289259E0,-6.236172438E0,9.901989540E0
3.380895833E-2,4.624295642E0,-5.587267156E0,-4.018745125E0,8.291681182E0
4.377595833E-2,3.634474298E0,-5.757783659E0,-4.894311290E0,8.385449248E0
5.374295833E-2,1.708078258E0,-6.043581526E0,-5.818079562E0,8.561101494E0
6.370995833E-2,-1.125591937E0,-4.701350834E0,-5.663938186E0,7.446465783E0
7.367695833E-2,-3.749857112E0,-3.136585640E0,-4.255955554E0,6.481724733E0
8.364395833E-2,-5.408899012E0,-2.650100221E0,1.373325015E0,6.177802303E0
9.361095833E-2,-6.281947365E0,-2.534229457E0,4.648258116E0,8.215320149E0
1.035779583E-1,-5.634636619E0,-3.795710685E0,5.728708963E0,8.886768582E0
1.135449583E-1,-5.113837400E0,-4.793042777E0,5.201129898E0,8.727906062E0
1.235119583E-1,-5.373572474E0,-4.759947537E0,4.018116842E0,8.226642367E0
1.334789583E-1,-5.679066687E0,-4.436003603E0,2.751375750E0,7.713623981E0
1.434459583E-1,-6.024585092E0,-4.140223369E0,2.299796601E0,7.663298212E0
1.534129583E-1,-6.974024979E0,-4.291459263E0,1.630679833E0,8.349416970E0
1.633799583E-1,-7.493975183E0,-4.551308942E0,-3.750673091E-1,8.775804955E0
1.733469583E-1,-6.302889753E0,-3.873127236E0,8.225205168E-1,7.443391285E0
1.833139583E-1,-4.417575226E0,-2.856133881E0,3.553847626E0,6.348409610E0
1.932809583E-1,-2.819223917E0,-2.172770373E0,4.355547378E0,5.624922004E0
2.032479583E-1,-1.882630070E0,-6.136951035E-1,4.413962524E0,4.837766305E0
2.132149583E-1,-1.512841920E0,1.438118597E0,6.160277917E0,6.504298563E0
2.231819583E-1,-2.423226500E-1,2.083855857E0,6.634414601E0,6.958206134E0
2.331489583E-1,1.944169384E0,1.628285252E0,6.360376654E0,6.847298638E0
2.431159583E-1,4.209609938E0,1.247873003E0,4.852993110E0,6.544428546E0
2.530829583E-1,5.676154774E0,1.464114733E0,3.258634280E0,6.706792254E0
2.630499583E-1,4.290908748E0,3.508532875E0,3.726153670E0,6.678766502E0
2.730169583E-1,2.102474269E0,5.507683042E0,4.925493321E0,7.682151717E0
2.829839583E-1,5.564070082E-1,5.887670199E0,5.855125766E0,8.322063858E0
2.929509583E-1,-8.890651200E-1,5.687978429E0,6.204584609E0,8.464065546E0
3.029179583E-1,-2.084614533E0,5.875999741E0,6.632211370E0,9.102703904E0
3.128849583E-1,-3.065540800E0,5.837727376E0,6.757382716E0,9.441335842E0
3.228519583E-1,-4.056357340E0,6.102139052E0,6.308666217E0,9.668991950E0
3.328179583E-1,-4.944205581E0,6.714743650E0,5.831642178E0,1.017550989E1
3.427849583E-1,-5.308579502E0,7.405605043E0,5.560185192E0,1.067425228E1
3.527519583E-1,-5.047273282E0,7.730517275E0,5.140015969E0,1.056672272E1
3.627189583E-1,-4.490347626E0,7.637234890E0,4.588513898E0,9.977225985E0
3.726859583E-1,-4.077756979E0,7.490868557E0,3.863438692E0,9.363085616E0
3.826529583E-1,-3.858151932E0,7.300246403E0,3.185897548E0,8.850360279E0
3.926199583E-1,-3.570622119E0,7.094382312E0,3.107820555E0,8.528666444E0
4.025869583E-1,-3.281309197E0,6.719820203E0,2.930245293E0,8.031768864E0
4.125539583E-1,-3.012822011E0,6.026470234E0,2.158582689E0,7.074950119E0
4.225209583E-1,-2.450936162E0,4.820395467E0,8.752179632E-1,5.478075120E0
4.324879583E-1,-1.665222114E0,3.024112108E0,-1.495909553E0,3.762441244E0
4.424549583E-1,-1.021870809E0,4.198493797E-1,-6.577758590E0,6.669887669E0
4.524219583E-1,-3.655533046E-2,-4.138953354E0,-1.568831465E1,1.622514986E1
4.623889583E-1,2.445933869E0,-1.202951068E1,-2.298652740E1,2.605901305E1
4.723559583E-1,7.031347573E0,-2.219893084E1,-2.079037868E1,3.121653768E1
4.823229583E-1,1.019895094E1,-2.590138779E1,-1.075190692E1,2.984131351E1
4.922899583E-1,1.058254700E1,-2.082139933E1,-3.305529534E0,2.358913938E1
5.022569583E-1,1.006108295E1,-1.091551669E1,-1.255090222E-1,1.484552617E1
5.122239583E-1,7.067748245E0,-2.123357892E0,-1.015022551E0,7.449294246E0
5.221909583E-1,3.836865728E0,6.910104972E-1,-1.503199569E0,4.178354110E0
5.321579583E-1,5.547086113E-1,3.008021740E0,-1.479035365E0,3.397564134E0
5.421249583E-1,-1.481865710E0,5.387039781E0,-1.389059873E0,5.757222500E0
5.520919583E-1,-3.818475650E0,6.130339004E0,-2.280437493E0,7.573784242E0
5.620589583E-1,-6.755787011E0,4.757951297E0,-2.831688134E0,8.734827781E0
5.720259583E-1,-9.743428865E0,1.408725813E0,-1.926659019E0,1.003149687E1
5.819929583E-1,-1.193004837E1,-3.447791998E0,-1.025196998E0,1.246051173E1
5.919599583E-1,-1.212478404E1,-8.059080509E0,-5.706481943E-1,1.456999677E1
6.019269583E-1,-9.537160732E0,-1.001714580E1,-5.558222866E0,1.490618953E1
6.118939583E-1,-3.974291960E0,-6.796726291E0,-3.795977318E0,8.740705273E0
6.218609583E-1,-2.442444397E0,1.506695327E0,5.440698509E0,6.151167833E0
6.318275833E-1,-2.887202477E0,6.301959461E0,9.904929546E0,1.208959307E1
6.417945833E-1,-3.630171917E0,8.876069267E0,9.814286009E0,1.372162394E1
6.517615833E-1,-4.725570294E0,1.020417250E1,7.282297790E0,1.339731362E1
6.617285833E-1,-5.869001793E0,8.908374549E0,5.781208189E0,1.213370048E1
6.716955833E-1,-5.848321946E0,5.376383230E0,4.589476642E0,9.174511544E0
6.816625833E-1,-5.405090135E0,3.348452482E0,4.720473568E0,7.918964838E0
