"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.522875002E-3,-2.202009959E0,2.103564482E0,-1.096602611E0,3.236721903E0
7.544125008E-3,-2.384882213E0,2.081607603E0,-9.566109127E-1,3.306940856E0
1.761212500E-2,-2.334088036E0,2.049626842E0,-7.332349956E-1,3.191640755E0
2.768012500E-2,-2.046564655E0,1.896176607E0,-5.551755846E-1,2.844667387E0
3.774712501E-2,-1.543314684E0,1.773012026E0,-3.485209501E-1,2.376311998E0
4.781512500E-2,-1.149524006E0,1.748382969E0,-1.103112316E-1,2.095332196E0
5.788212501E-2,-8.184113860E-1,1.767415656E0,8.961208820E-2,1.949765530E0
6.795012500E-2,-4.478072566E-1,1.899028294E0,9.715031862E-2,1.953529622E0
7.801812500E-2,-8.125992537E-2,2.087441955E0,-8.044248462E-2,2.090571234E0
8.808512501E-2,3.266009080E-1,2.198815625E0,-2.587217510E-1,2.237944426E0
9.815312500E-2,7.170469791E-1,2.132536851E0,-3.879966724E-1,2.283070566E0
1.082211250E-1,9.618868554E-1,1.950030048E0,-5.447429824E-1,2.241559374E0
1.182881250E-1,1.126339211E0,1.668870776E0,-8.100200468E-1,2.170230901E0
1.283561250E-1,1.228428088E0,1.202589242E0,-1.105575748E0,2.043906599E0
1.384241250E-1,1.001118164E0,6.222378856E-1,-1.396885786E0,1.827760232E0
1.484911250E-1,9.284577388E-1,1.785593480E-1,-1.511702882E0,1.783020700E0
1.585591250E-1,1.031088653E0,-1.227488440E-1,-1.305616012E0,1.668185919E0
1.686271250E-1,1.229703950E0,-4.672322917E-1,-9.247944582E-1,1.608018224E0
1.786941250E-1,1.464654431E0,-7.198782009E-1,-6.381002122E-1,1.752315356E0
1.887621250E-1,1.751110110E0,-1.007918476E0,-5.075617075E-1,2.083243903E0
1.988301250E-1,2.025558532E0,-1.428011100E0,-5.521303546E-1,2.539084677E0
2.088971250E-1,2.232157618E0,-1.770750323E0,-7.136544245E-1,2.937241389E0
2.189651250E-1,2.479748610E0,-2.220776013E0,-7.674365294E-1,3.416132037E0
2.290331250E-1,2.769521415E0,-3.098089326E0,-5.200303102E-1,4.187939572E0
2.391001250E-1,2.932995531E0,-4.040854617E0,-1.036886934E-1,4.994168616E0
2.491681250E-1,2.888173699E0,-4.588401339E0,3.565281272E-1,5.433423090E0
2.592361250E-1,2.781387754E0,-4.699801907E0,7.353932029E-1,5.510449979E0
2.693031250E-1,2.641625851E0,-4.311849673E0,1.021686330E0,5.158883377E0
2.793711250E-1,2.306894975E0,-3.290024180E0,1.077126120E0,4.160075024E0
2.894381250E-1,1.993018193E0,-1.878610402E0,7.624266350E-1,2.842990139E0
2.995061250E-1,1.666558787E0,-4.713276815E-1,3.141504318E-1,1.760187055E0
3.095741250E-1,1.232911148E0,6.911707109E-1,-2.727493127E-2,1.413694017E0
3.196411250E-1,9.475407118E-1,1.548902283E0,-1.941614735E-1,1.826097030E0
3.297091250E-1,7.507514995E-1,2.032678102E0,-1.070367908E-1,2.169531045E0
3.397771250E-1,5.256775510E-1,1.977279242E0,2.940471196E-1,2.066986647E0
3.498441250E-1,3.517433506E-1,1.509283304E0,7.538259655E-1,1.723343571E0
3.599121250E-1,1.309080487E-1,9.572681397E-1,1.049082289E0,1.426209262E0
3.699801250E-1,-6.242019653E-2,4.081064165E-1,1.142790352E0,1.215078976E0
3.800471250E-1,-1.479649615E-1,-2.242734647E-1,1.127814463E0,1.159378144E0
3.901151250E-1,-3.488314372E-1,-8.113970661E-1,1.009282047E0,1.341155778E0
4.001831250E-1,-6.251030213E-1,-1.228582454E0,8.324645841E-1,1.610330996E0
4.102501250E-1,-7.856523603E-1,-1.499116166E0,6.045102972E-1,1.797228869E0
4.203181250E-1,-7.889671469E-1,-1.688747216E0,4.166796041E-1,1.909962882E0
4.303861250E-1,-7.183550012E-1,-1.731956971E0,3.066057694E-1,1.899925250E0
4.404531250E-1,-5.660145682E-1,-1.621765022E0,2.511075068E-1,1.735957735E0
4.505211250E-1,-3.292730856E-1,-1.387244897E0,1.844586039E-1,1.437669693E0
4.605881250E-1,-9.893313468E-2,-1.018158120E0,-5.024396836E-2,1.024186594E0
4.706561250E-1,-4.221338868E-2,-4.996469164E-1,-2.059026825E-1,5.420562018E-1
4.807241250E-1,-3.565339744E-2,2.418993115E-2,-2.383944905E-1,2.422565801E-1
4.907911250E-1,-1.072800350E-1,4.709879583E-1,-1.648055273E-1,5.103915405E-1
5.008591250E-1,-3.515006912E-1,8.364126241E-1,1.137283444E-2,9.073412561E-1
5.109271250E-1,-6.708568990E-1,1.071301709E0,1.964091432E-1,1.279184460E0
5.209941250E-1,-1.032189099E0,1.225079387E0,2.641701682E-1,1.623582372E0
5.310621250E-1,-1.343399550E0,1.369896793E0,2.243716979E-1,1.931756256E0
5.411301250E-1,-1.528643435E0,1.472644066E0,1.921371492E-1,2.131278485E0
5.511971250E-1,-1.671545293E0,1.530206981E0,1.268623420E-1,2.269733712E0
5.612651250E-1,-1.807959664E0,1.502119296E0,-3.248479128E-2,2.350773445E0
5.713331250E-1,-2.149676210E0,1.453558170E0,-3.060116923E-1,2.612964277E0
5.814001250E-1,-2.413517783E0,1.436404778E0,-6.239441031E-1,2.877087593E0
5.914681250E-1,-2.449092243E0,1.367111179E0,-8.300672257E-1,2.925073912E0
6.015361250E-1,-2.427184480E0,1.242707573E0,-8.088242912E-1,2.844247413E0
6.116031250E-1,-2.364179562E0,1.090926719E0,-5.680534923E-1,2.664986093E0
6.216711250E-1,-2.204520169E0,9.341201824E-1,-2.563547981E-1,2.407946734E0
6.317391250E-1,-2.038598993E0,8.181722349E-1,-5.802014848E-2,2.197420760E0
6.418061250E-1,-1.977117859E0,7.957926017E-1,1.484142104E-2,2.131314421E0
6.518741250E-1,-1.816653889E0,7.649719280E-1,1.258507828E-1,1.975158683E0
