"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.006416676E-3,7.610047384E-1,2.985851437E-1,-9.344353473E-1,1.241551738E0
1.607441668E-2,8.886811772E-1,2.623873705E-1,-4.003857529E-1,1.009410778E0
2.614141667E-2,7.721878307E-1,2.415280133E-1,3.675208926E-2,8.099139109E-1
3.620941668E-2,5.978994352E-1,5.636072695E-2,4.651758260E-1,7.596372918E-1
4.627741667E-2,3.979066431E-1,-2.664801291E-1,6.472902811E-1,8.051869744E-1
5.634441668E-2,2.791201648E-1,-4.676322412E-1,2.897347981E-1,6.168745680E-1
6.641241668E-2,2.646881036E-1,-4.503888023E-1,-9.531721652E-2,5.310322374E-1
7.648041667E-2,2.905080923E-1,-4.364010930E-1,-7.573723018E-2,5.296951895E-1
8.654741668E-2,3.164473642E-1,-5.036160064E-1,3.836358190E-3,5.947963802E-1
9.661541667E-2,3.620328056E-1,-4.979485926E-1,-1.586905092E-1,6.357697940E-1
1.066834167E-1,3.103998815E-1,-4.405058384E-1,-4.229869956E-1,6.850631201E-1
1.167504167E-1,2.675337973E-1,-3.647773790E-1,-7.356656832E-1,8.636207885E-1
1.268184167E-1,2.712866865E-1,-2.407479948E-1,-1.263635343E0,1.314659782E0
1.368864167E-1,1.956000347E-1,-1.555075774E-1,-1.842596231E0,1.859463055E0
1.469544167E-1,7.847182676E-2,-1.329428798E-1,-2.242213075E0,2.247521104E0
1.570214167E-1,-1.581300536E-1,-1.915869445E-1,-2.502556844E0,2.514856144E0
1.670894167E-1,-4.508638886E-1,-3.392914125E-1,-2.732841246E0,2.790487087E0
1.771574167E-1,-7.390026891E-1,-4.415855268E-1,-2.882793676E0,3.008591387E0
1.872244167E-1,-9.715607813E-1,-3.883483824E-1,-2.841203016E0,3.027735027E0
1.972924167E-1,-7.617479195E-1,-3.017449790E-1,-2.546527321E0,2.675090899E0
2.073604167E-1,-3.632399999E-1,-2.036269462E-1,-2.098256965E0,2.139179637E0
2.174274167E-1,-9.233455181E-2,-4.961654842E-2,-1.589074994E0,1.592528432E0
2.274954167E-1,5.498604655E-2,1.816115946E-1,-1.219864256E0,1.234534341E0
2.375634167E-1,2.594956300E-1,3.444916338E-1,-9.753524083E-1,1.066454307E0
2.476314167E-1,3.877357404E-1,3.542997533E-1,-8.767133886E-1,1.022004738E0
2.576984167E-1,2.908134632E-1,2.491410881E-1,-8.393795013E-1,9.226059286E-1
2.677664167E-1,-7.005841434E-3,1.910501701E-1,-9.704425013E-1,9.890944837E-1
2.778344167E-1,-1.971939857E-1,2.128751948E-1,-1.160740135E0,1.196461022E0
2.879014167E-1,-1.052058814E-1,3.269005778E-1,-1.173725631E0,1.222932591E0
2.979694167E-1,3.575850571E-2,4.388034216E-1,-1.093624039E0,1.178915032E0
3.080374167E-1,1.008314332E-1,4.643373352E-1,-9.030346298E-1,1.020415446E0
3.181044167E-1,3.033501859E-1,5.610385877E-1,-7.176322854E-1,9.600946459E-1
3.281724167E-1,5.194008574E-1,7.598564914E-1,3.825716257E-2,9.212072235E-1
3.382404167E-1,6.881057467E-1,8.670216286E-1,7.707635951E-1,1.348811530E0
3.483084167E-1,5.861813226E-1,8.110234290E-1,1.090507473E0,1.480058815E0
3.583754167E-1,3.112307708E-1,7.275146645E-1,1.155728486E0,1.400660742E0
3.684434167E-1,-8.462134346E-2,6.248305410E-1,9.706395525E-1,1.157460633E0
3.785114167E-1,-4.532061370E-1,5.586157939E-1,5.080370861E-1,8.806526493E-1
3.885784167E-1,-6.571152113E-1,6.336229992E-1,2.270222408E-1,9.406474387E-1
3.986464167E-1,-9.210456620E-1,7.493475831E-1,6.447824103E-1,1.351144429E0
4.087144167E-1,-1.075529246E0,7.844025180E-1,1.173484141E0,1.774574737E0
4.187814167E-1,-8.481093943E-1,6.466216519E-1,1.508973987E0,1.847812652E0
4.288494167E-1,-2.826258995E-1,7.510385978E-1,1.512094646E0,1.711831356E0
4.389174167E-1,6.823205480E-2,9.437794903E-1,1.281447716E0,1.592948081E0
4.489854167E-1,3.331152910E-1,9.765353000E-1,1.454152831E0,1.783016390E0
4.590524167E-1,6.337971000E-1,7.020058939E-1,2.385599082E0,2.566241224E0
4.691204167E-1,7.993909782E-1,1.677829295E-1,3.379383084E0,3.476694849E0
4.791884167E-1,7.081859623E-1,-3.240415817E-1,4.010805191E0,4.085717634E0
4.892554167E-1,4.538866067E-1,-7.141072914E-1,4.242785286E0,4.326336702E0
4.993234167E-1,2.461775913E-1,-1.099253446E0,4.120852713E0,4.272047358E0
5.093914167E-1,1.099519202E-1,-1.404505877E0,3.516521341E0,3.788224983E0
5.194584167E-1,-8.999464229E-2,-1.456349630E0,2.200211356E0,2.640072592E0
5.295264167E-1,-3.113946390E-1,-1.257435540E0,7.121493512E-1,1.478265016E0
5.395944167E-1,-3.835065955E-1,-1.029352614E0,-4.377272415E-1,1.182475899E0
5.496624167E-1,-3.665012844E-1,-8.356337750E-1,-1.158167945E0,1.474435480E0
5.597294167E-1,-3.946415944E-1,-6.251033136E-1,-1.541338325E0,1.709450196E0
5.697974167E-1,-4.964338714E-1,-4.431560889E-1,-1.620846425E0,1.752134995E0
5.798654167E-1,-6.338153726E-1,-3.349600875E-1,-1.436625803E0,1.605557188E0
5.899324167E-1,-7.100921546E-1,-4.066519216E-1,-1.003535403E0,1.294866772E0
6.000004167E-1,-8.779266858E-1,-5.573466557E-1,-4.739688689E-1,1.142819780E0
6.100684167E-1,-1.096326476E0,-6.253705314E-1,1.424323261E-2,1.262229343E0
6.201354167E-1,-1.155795291E0,-6.474718371E-1,2.073697490E-1,1.340926824E0
6.302034167E-1,-1.146942168E0,-7.412822261E-1,9.200067580E-2,1.368736570E0
6.402714167E-1,-1.064467191E0,-7.979052007E-1,-2.120902061E-1,1.347117428E0
6.503394167E-1,-8.662897034E-1,-7.615846360E-1,-5.117600083E-1,1.261890373E0
6.604064167E-1,-5.107092637E-1,-7.251278311E-1,-6.007920527E-1,1.071254131E0
6.704744167E-1,-5.512884652E-2,-5.868180844E-1,-5.352243000E-1,7.961530665E-1
6.805424167E-1,2.699295478E-1,-4.266271797E-1,-2.282600963E-1,5.540535920E-1
6.906094167E-1,3.289111429E-1,-4.671021912E-1,1.232862031E-1,5.844368955E-1
7.006774167E-1,2.124752453E-1,-5.673348695E-1,2.550684106E-1,6.573237240E-1
7.107454167E-1,6.982291773E-2,-5.752268565E-1,2.064219153E-1,6.151188368E-1
7.208124167E-1,-1.035949735E-1,-6.198639160E-1,-3.048235381E-1,6.984844897E-1
7.308804167E-1,-4.038394108E-1,-7.094134390E-1,-1.179154771E0,1.434140743E0
7.409484167E-1,-6.426834060E-1,-6.977903438E-1,-2.042211987E0,2.251795534E0
7.510164167E-1,-7.335568848E-1,-6.615899393E-1,-2.669238158E0,2.846162205E0
7.610834167E-1,-7.427899307E-1,-6.503027666E-1,-3.052581031E0,3.208252098E0
7.711514167E-1,-6.853613560E-1,-5.580705410E-1,-3.031031118E0,3.157263460E0
7.812194167E-1,-6.110103545E-1,-3.932919109E-1,-2.445716645E0,2.551380428E0
7.912864167E-1,-5.704641531E-1,-2.811089855E-1,-1.621337591E0,1.741604776E0
8.013544167E-1,-5.626359008E-1,-2.873766160E-1,-1.002086463E0,1.184618823E0
8.114224167E-1,-5.536520925E-1,-2.060237199E-1,-8.207292223E-1,1.011223452E0
8.214894167E-1,-6.103287153E-1,-9.210738748E-2,-1.028467931E0,1.199471215E0
8.315574167E-1,-7.338682491E-1,-8.101054162E-2,-1.274241607E0,1.472690391E0
8.416254167E-1,-6.482569720E-1,-6.537918001E-2,-1.397786257E0,1.542179613E0
8.516922917E-1,-4.460125999E-1,6.304526389E-2,-1.433571217E0,1.502673743E0
8.617602917E-1,-2.739579870E-1,2.306975082E-1,-1.422075591E0,1.466483312E0
8.718282917E-1,-9.026946142E-2,2.828163725E-1,-1.131342673E0,1.169645211E0
8.818962917E-1,-1.491873220E-2,1.922675604E-1,-5.329690289E-1,5.667851173E-1
8.919632917E-1,5.889111866E-2,3.004913360E-2,7.435962617E-2,9.950109694E-2
9.020312917E-1,-1.461511552E-3,3.746018708E-2,5.929901129E-1,5.941739439E-1
9.120992917E-1,-1.274443044E-1,7.868919700E-2,1.057129228E0,1.067687334E0
9.221662917E-1,-2.828722134E-1,1.249666929E-2,1.264756254E0,1.296063748E0
9.322342917E-1,-4.540526676E-1,8.020450294E-2,1.001957240E0,1.102957341E0
9.423022917E-1,-5.648249522E-1,3.167179441E-1,4.592625368E-1,7.938888842E-1
9.523692917E-1,-4.828933279E-1,5.595966643E-1,-1.460856664E-1,7.534423766E-1
9.624372917E-1,-3.355819389E-1,7.583938104E-1,-4.981342417E-1,9.674265513E-1
9.725052917E-1,-8.391353801E-2,9.740040404E-1,-6.490456152E-1,1.173450281E0
9.825732917E-1,1.966424471E-1,1.062872655E0,-5.585804182E-1,1.216708107E0
9.926402917E-1,3.261550578E-1,1.063430479E0,-2.406491768E-1,1.138056911E0
1.002708292E0,3.125822085E-1,9.561922520E-1,3.521953404E-1,1.065857785E0
1.012776292E0,2.397051439E-1,7.721254116E-1,1.131191230E0,1.390406346E0
1.022843292E0,1.045846148E-1,5.569917297E-1,1.630487899E0,1.726171636E0
1.032911292E0,-7.727841005E-2,4.688569406E-1,1.702484080E0,1.767555042E0
1.042979292E0,-3.083321598E-1,5.798622367E-1,1.437778289E0,1.580669270E0
1.053047292E0,-3.696090795E-1,7.541879082E-1,9.167539519E-1,1.243321391E0
1.063114292E0,-2.363751546E-1,9.017821562E-1,8.562136352E-2,9.361705448E-1
1.073182292E0,7.690550387E-3,9.332583028E-1,-3.136165810E-1,9.845737982E-1
1.083250292E0,3.354204096E-1,7.671175638E-1,2.668318391E-1,8.787351354E-1
1.093317292E0,7.790526080E-1,5.563064361E-1,1.421394390E0,1.713698290E0
1.103385292E0,1.203759708E0,2.721311706E-1,2.556566405E0,2.838859735E0
1.113453292E0,1.662066371E0,-1.822653133E-1,3.444674263E0,3.829029387E0
1.123520292E0,2.059762990E0,-6.657847318E-1,4.054851682E0,4.596489426E0
