"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.119833332E-3,1.765668654E0,-1.306651554E0,-1.993573093E0,2.966354287E0
1.718783333E-2,1.715630375E0,-1.389426493E0,-2.662832533E0,3.458984051E0
2.725483333E-2,1.515326694E0,-1.154187745E0,-2.714704353E0,3.316320862E0
3.732283333E-2,1.139593972E0,-6.915390855E-1,-2.320939987E0,2.676502036E0
4.738983333E-2,9.241058023E-1,-2.903353071E-1,-1.776317457E0,2.023257233E0
5.745783333E-2,1.188824165E0,8.710538685E-2,-1.132991734E0,1.644554807E0
6.752483333E-2,1.294423857E0,6.375207531E-1,-3.925773080E-1,1.495353729E0
7.759283333E-2,1.395818962E0,1.358602896E0,1.502747579E-1,1.953636329E0
8.765983333E-2,1.518409785E0,1.942797042E0,1.788534629E-1,2.472249417E0
9.772783333E-2,1.381961938E0,2.298976675E0,1.794978261E-1,2.688369770E0
1.077958333E-1,1.018841659E0,2.549328722E0,1.841580570E-1,2.751550372E0
1.178628333E-1,5.428949699E-1,2.723962834E0,5.469237015E-2,2.778074823E0
1.279308333E-1,8.013945267E-2,2.727246630E0,-6.252661586E-2,2.729140174E0
1.379978333E-1,-2.588793883E-1,2.419125847E0,-1.245805574E-1,2.436125760E0
1.480658333E-1,-7.461611429E-1,1.782714311E0,-2.535725467E-1,1.949134629E0
1.581328333E-1,-1.204715728E0,9.732339621E-1,-3.083774757E-1,1.579120324E0
1.682008333E-1,-1.253944314E0,1.262723762E-1,-2.538301165E-1,1.285593553E0
1.782678333E-1,-1.306377320E0,-4.919204056E-1,3.649036789E-1,1.442831273E0
1.883358333E-1,-1.182038837E0,-7.399879450E-1,1.407028513E0,1.981041950E0
1.984028333E-1,-8.272772998E-1,-8.268641210E-1,2.139307781E0,2.438181656E0
2.084708333E-1,-7.713543101E-1,-7.123592663E-1,2.485949582E0,2.698590098E0
2.185388333E-1,-6.668393502E-1,-5.715290773E-1,2.354444386E0,2.512912369E0
2.286058333E-1,-6.063316318E-1,-3.008141023E-1,1.753210576E0,1.879328204E0
2.386738333E-1,-5.728814652E-1,1.434322000E-1,8.000837271E-1,9.944344823E-1
2.487408333E-1,-4.740319457E-1,6.841961521E-1,-3.989518695E-1,9.230348066E-1
2.588088333E-1,-4.150897461E-1,1.091784505E0,-1.295120845E0,1.744027209E0
2.688758333E-1,-5.848880647E-1,1.357097238E0,-1.868483755E0,2.382233931E0
2.789438333E-1,-8.382609290E-1,1.481687370E0,-2.205920577E0,2.786425029E0
2.890108333E-1,-1.267315288E0,1.497152671E0,-2.243945020E0,2.980409940E0
2.990788333E-1,-2.009377386E0,1.528113093E0,-1.867672893E0,3.140211639E0
3.091458333E-1,-2.703518921E0,1.694771018E0,-1.794304516E0,3.660709229E0
3.192138333E-1,-2.935299334E0,2.015787250E0,-2.326234056E0,4.253321679E0
3.292818333E-1,-2.979897217E0,2.244825611E0,-2.723930089E0,4.619396560E0
3.393488333E-1,-2.950324339E0,2.188159075E0,-2.796580575E0,4.616634787E0
3.494168333E-1,-2.750333776E0,1.912744693E0,-2.448900454E0,4.149703794E0
3.594838333E-1,-2.189698939E0,1.316488910E0,-2.078715424E0,3.293779335E0
3.695518333E-1,-1.105152994E0,4.791997880E-1,-2.044054445E0,2.372583856E0
3.796188333E-1,1.784234002E-2,-4.042683041E-1,-2.135282850E0,2.173288766E0
