"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.156749997E-3,-4.744319683E-1,-3.908235673E0,-1.390616986E0,4.175309254E0
1.322474999E-2,-1.334719359E0,-3.588309069E0,-7.287036958E-1,3.897235792E0
2.329274999E-2,-1.824407297E0,-2.869229598E0,-3.051688161E-1,3.413805571E0
3.335975000E-2,-2.391721117E0,-2.183057671E0,-1.821758509E-1,3.243340676E0
4.342774999E-2,-2.614236324E0,-1.497108086E0,2.804324627E-2,3.012698226E0
5.349475000E-2,-2.427793175E0,-8.913722120E-1,3.519708073E-1,2.610097234E0
6.356274999E-2,-2.042218419E0,-4.710113472E-1,5.725222269E-1,2.172622715E0
7.363074999E-2,-1.637672957E0,-2.763715714E-1,6.587669036E-1,1.786708648E0
8.369775000E-2,-1.065498347E0,-2.995208444E-1,6.832775545E-1,1.300718140E0
9.376574999E-2,-3.489062816E-1,-4.724487390E-1,6.418918392E-1,8.700393885E-1
1.038337500E-1,4.090103960E-1,-6.930282252E-1,2.898871180E-1,8.553433031E-1
1.139007500E-1,8.956688923E-1,-6.958065297E-1,-1.461450157E-1,1.143559293E0
1.239687500E-1,1.275446134E0,-9.567853059E-1,-1.127293476E-1,1.598408229E0
1.340357500E-1,1.721482269E0,-1.055164563E0,1.123448932E-1,2.022249943E0
1.441037500E-1,2.226250176E0,-8.778480408E-1,5.055069959E-1,2.445883144E0
1.541717500E-1,2.843074710E0,-6.973815503E-1,9.289543135E-1,3.071216526E0
1.642387500E-1,4.138212512E0,-7.870346421E-1,1.252155504E0,4.394555691E0
1.743067500E-1,2.662699217E0,-8.682702284E-1,2.110296528E0,3.506738049E0
1.843737500E-1,4.810223651E-1,-5.638069519E-1,2.461564354E0,2.570711937E0
1.944417500E-1,-5.447336268E-1,-5.325082684E-1,2.332470696E0,2.453715413E0
2.045097500E-1,-1.131938505E0,-6.148732444E-1,1.949701434E0,2.336811838E0
2.145767500E-1,-1.491049932E0,-6.899942511E-1,1.769163973E0,2.414386698E0
2.246447500E-1,-1.811541084E0,-7.527535131E-1,1.598904748E0,2.530773665E0
2.347127500E-1,-2.001300774E0,-7.655701713E-1,1.276557105E0,2.494173313E0
2.447797500E-1,-2.257880690E0,-8.815358797E-1,1.077716689E0,2.652659793E0
2.548477500E-1,-2.697607094E0,-6.226623935E-1,1.145322196E0,2.996090023E0
2.649147500E-1,-2.889281162E0,-3.914034795E-1,9.810189450E-1,3.076286802E0
2.749827500E-1,-2.555781709E0,-5.606129835E-1,7.010378873E-1,2.708830224E0
2.850507500E-1,-2.490593441E0,-4.754968194E-1,5.806144444E-1,2.601204729E0
2.951177500E-1,-2.634043182E0,-3.835428482E-1,5.094304776E-1,2.710130627E0
3.051857500E-1,-2.703078334E0,-3.967224723E-1,4.024334478E-1,2.761516590E0
3.152527500E-1,-2.856192938E0,-3.630151013E-1,3.488366632E-1,2.900225005E0
3.253207500E-1,-2.960866869E0,-1.530053345E-1,3.842158262E-1,2.989609515E0
3.353887500E-1,-2.940602174E0,-2.293636121E-2,3.543985347E-1,2.961969875E0
3.454557500E-1,-2.773658904E0,1.227978875E-1,2.917035190E-1,2.791657927E0
3.555237500E-1,-2.442629900E0,2.629601052E-1,3.031512344E-1,2.475376641E0
3.655907500E-1,-2.101001063E0,3.740221924E-1,3.013163964E-1,2.155200603E0
3.756587500E-1,-1.777718450E0,4.568013706E-1,3.455516974E-1,1.867714206E0
3.857267500E-1,-1.642409202E0,5.600352786E-1,3.172219741E-1,1.764023039E0
3.957940000E-1,-1.533580239E0,7.093504353E-1,2.197090916E-1,1.703912696E0
4.058620000E-1,-1.353772511E0,9.208741924E-1,2.208493352E-1,1.652114923E0
4.159290000E-1,-1.071943148E0,1.049432976E0,1.273768787E-1,1.505522020E0
4.259970000E-1,-6.418775135E-1,1.082441020E0,-2.723614778E-3,1.258448538E0
4.360650000E-1,-1.890738112E-1,1.203390749E0,2.075648267E-2,1.218330428E0
4.461320000E-1,2.501924175E-1,1.277640301E0,-3.953417620E-2,1.302506789E0
4.562000000E-1,7.879409605E-1,1.296794318E0,-1.468364306E-1,1.524495785E0
4.662680000E-1,1.335400559E0,1.391123063E0,-3.234399033E-1,1.955282946E0
4.763350000E-1,1.811256325E0,1.407885276E0,-6.422032034E-1,2.382271055E0
4.864030000E-1,2.097999687E0,1.338392433E0,-7.730241287E-1,2.605851741E0
4.964700000E-1,2.065834154E0,1.387373536E0,-1.015115814E0,2.687552082E0
5.065380000E-1,2.093486806E0,1.295784650E0,-1.139185544E0,2.712837734E0
5.166060000E-1,2.036722621E0,1.229856270E0,-1.135098925E0,2.636140180E0
5.266730000E-1,2.079023718E0,1.030194906E0,-1.221504400E0,2.622158303E0
5.367410000E-1,2.263111024E0,7.712957648E-1,-1.249534782E0,2.697759410E0
5.468080000E-1,2.549272588E0,5.040517701E-1,-1.138394415E0,2.837040846E0
5.568760000E-1,3.477727404E0,1.830592190E-1,-1.018052870E0,3.628295773E0
5.669440000E-1,4.790682841E0,-1.406640550E-1,-9.677516127E-1,4.889475600E0
5.770110000E-1,5.918931168E0,-4.318374874E-1,-1.052577755E0,6.027283776E0
5.870790000E-1,6.435797549E0,-5.394151457E-1,-1.047527515E0,6.542764912E0
5.971460000E-1,6.304690111E0,-3.348406582E-1,-8.294573611E-1,6.367828136E0
6.072140000E-1,5.581802933E0,-2.469466281E-1,-4.946756136E-1,5.609118521E0
6.172820000E-1,4.107165551E0,-1.526710930E-1,-3.518714046E-1,4.125037067E0
