"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.653125004E-3,-6.445092868E0,6.218560624E-1,7.098320997E-1,6.513815215E0
1.272112501E-2,-6.288124949E0,8.235393941E-1,7.323941660E-1,6.383974759E0
2.278812500E-2,-5.441500747E0,1.165886269E0,9.783268869E-1,5.650340226E0
3.285612501E-2,-4.633293922E0,1.054059439E0,1.219346923E0,4.905635615E0
4.292312500E-2,-4.374017270E0,5.470397687E-1,1.310892393E0,4.598882305E0
5.299112501E-2,-4.505016536E0,-1.159491169E-1,1.388819844E0,4.715658888E0
6.305812500E-2,-4.506368704E0,-5.439191097E-1,1.457597426E0,4.767367948E0
7.312612500E-2,-4.475104227E0,-7.171516442E-1,1.515930419E0,4.779007152E0
8.319312501E-2,-4.716641011E0,-9.105354381E-1,1.652192471E0,5.079913107E0
9.326112500E-2,-5.664514137E0,-1.738516377E0,1.952480177E0,6.238696855E0
1.033281250E-1,-6.919794978E0,-2.878404756E0,2.381019250E0,7.863715988E0
1.133961250E-1,-7.632090510E0,-3.354476284E0,2.917802711E0,8.832603769E0
1.234631250E-1,-7.890737416E0,-3.215476273E0,3.668372069E0,9.276851744E0
1.335311250E-1,-7.221806005E0,-2.374510422E0,4.335731164E0,8.751648213E0
1.435991250E-1,-6.733182845E0,-1.781532589E0,4.636370142E0,8.366931198E0
1.536661250E-1,-5.593045959E0,-8.676905501E-1,4.404823326E0,7.171995435E0
1.637341250E-1,-4.587008240E0,-5.541990995E-3,3.391668084E0,5.704742562E0
1.738011250E-1,-3.419276589E0,4.399965459E-1,2.884086788E0,4.494775407E0
1.838691250E-1,-2.449820513E0,1.065263289E-1,2.822449826E0,3.738875690E0
1.939361250E-1,-1.166583257E0,-8.998695320E-1,2.349534041E0,2.773263759E0
2.040041250E-1,9.678334737E-1,-2.239636207E0,1.455879514E0,2.841171789E0
2.140711250E-1,2.626652302E0,-3.805240477E0,5.389402787E-1,4.655063268E0
2.241391250E-1,3.389166645E0,-5.227549957E0,-1.926985002E-1,6.233045950E0
2.342061250E-1,4.157216839E0,-6.069677650E0,-1.049236071E0,7.431307755E0
2.442741250E-1,4.452938309E0,-6.458722728E0,-1.882182466E0,8.067612391E0
2.543411250E-1,3.886249557E0,-6.115435036E0,-2.830492671E0,7.779021150E0
2.644091250E-1,2.939545582E0,-4.888489802E0,-3.341821740E0,6.611053873E0
2.744761250E-1,2.009747954E0,-3.412543228E0,-3.537346199E0,5.310118290E0
