Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01057404167,8.484766579,-4.409834974,6.699675375,11.67576801
0.02054104167,7.127409725,-1.802282603,7.290376303,10.35363601
0.03050804167,5.970594242,-0.1755240583,7.726369261,9.766042507
0.04047404167,5.351185239,0.7553784013,7.893165765,9.565973332
0.05044104167,5.168839234,1.413942699,7.960848455,9.59641814
0.06040704167,5.052032331,1.849757316,7.427468952,9.171255521
0.07037404167,5.226420275,1.784870179,6.097430874,8.226779061
0.08034104167,5.769504402,0.7596778589,4.193756382,7.17299687
0.09030804167,6.324962992,-0.6941831964,2.320714577,6.772943474
0.1002740417,6.459744821,-1.779536349,1.011375423,6.776277224
0.1102410417,5.823338547,-2.546773489,-0.644133954,6.388445475
0.1202070417,4.448314916,-3.379626912,-2.547347685,6.139899339
0.1301740417,2.776996495,-3.878859846,-3.845793257,6.127592432
0.1401410417,1.139490768,-3.909181167,-4.285831903,5.911724935
0.1501080417,-0.5263148975,-3.159361714,-4.263741707,5.332735429
0.1600740417,-2.017958906,-2.008504543,-4.011648359,4.919305968
0.1700410417,-2.985415819,-1.031025503,-3.562351817,4.760889798
0.1800080417,-3.451942352,-0.2928221279,-2.618176762,4.342407208
0.1899740417,-3.57236225,0.157903474,-1.375501495,3.831280454
0.1999410417,-3.495381902,0.257138325,-0.4305989009,3.531179714
0.2099070417,-3.355287877,0.2736859453,0.222395339,3.373769468
0.2198740417,-3.000531456,0.426432175,0.6023170797,3.089954577
0.2298414167,-2.577708768,0.8524579686,0.6882066842,2.800874063
0.2398074167,-2.383302881,1.458009655,0.5709103688,2.851642233
0.2497744167,-2.129751822,1.829830005,0.1850947809,2.813961754
0.2597414167,-1.939954126,1.871739923,-0.1341309609,2.699041212
0.2697074167,-1.990361218,1.835812292,-0.3266862043,2.727355573
0.2796744167,-2.007621614,1.750332431,-0.7046795332,2.755137275
0.2896414167,-2.061786126,1.599067593,-1.03006539,2.80517627
0.2996074167,-2.180714985,1.482047851,-1.170474579,2.884786719
0.3095744167,-2.150597731,1.352489632,-1.180379178,2.801355709
0.3195414167,-1.87520206,1.074206021,-1.232126452,2.487656916
0.3295074167,-1.510412402,0.648777228,-1.248392236,2.064156169
0.3394744167,-1.23367421,0.1998873594,-1.136215743,1.689050984
0.3494414167,-1.029347937,-0.2340388995,-1.002319182,1.455669991
0.3594074167,-0.9348639482,-0.5759820244,-0.7679931843,1.339977397
0.3693744167,-0.9613904268,-0.7627675277,-0.5825768065,1.358485035
0.3793414167,-0.9806944245,-0.866085197,-0.3839656019,1.363559572
0.3893074167,-0.8977352983,-1.105261168,-0.1281709488,1.429670839
0.3992744167,-0.6324564797,-1.379354664,0.115907017,1.521859036
0.4092414167,-0.3051749557,-1.517831349,0.3751269507,1.593004704
0.4192074167,-0.1936609519,-1.648711623,0.5925474787,1.762630731
0.4291744167,-0.1451951355,-1.888483718,0.7112646675,2.023202859
0.4391414167,-0.05408148229,-2.098308128,0.7956095839,2.244730811
0.4491074167,0.05430250704,-2.353229773,0.781005578,2.480042105
0.4590744167,0.1306273824,-2.692414182,0.7629464525,2.801471922
0.4690414167,0.1675776923,-2.912837255,0.6146435219,2.981692442
0.4790074167,0.2339704871,-3.035945995,0.2462291747,3.054887736
0.4889744167,0.4206527871,-3.141091504,-0.1508886059,3.172723117
0.4989414167,0.5638721484,-3.023508967,-0.4963169636,3.115427548
0.5089074167,0.6881634879,-2.729863844,-0.8076145023,2.928816617
0.5188744167,0.9704881096,-2.477764065,-0.9373063302,2.821294931
0.5288414167,1.300985017,-2.385186561,-0.9349656167,2.873297348
0.5388074167,1.723104286,-2.386912659,-0.9285484437,3.086849954
0.5487744167,2.118518736,-2.396542585,-0.9752582681,3.344049444
0.5587414167,2.142554301,-2.301304159,-0.9493458203,3.284478232
0.5687074167,1.804943671,-2.171529301,-0.7543013442,2.922726754
0.5786744167,1.366229419,-2.071683416,-0.4248072338,2.517720435
0.5886414167,0.8668812954,-1.908505754,-0.03558388866,2.096459779
0.5986074167,0.3940193045,-1.860076044,0.368725346,1.93677373
0.6085744167,0.1547822303,-2.030355734,0.6025905832,2.123538876
0.6185414167,0.002616044283,-2.328807415,0.6922810972,2.429527514
0.6285074167,-0.1337082803,-2.753422568,0.6790447551,2.839069482
0.6384744167,-0.2849815965,-3.278444354,0.5682033272,3.339500998
0.6484414167,-0.4456110424,-3.837314794,0.4492811935,3.889139702
0.6584074167,-0.6584005755,-4.419144326,0.401342869,4.485911724
0.6683744167,-0.9489224088,-4.842228386,0.4276361167,4.95282769
0.6783414167,-1.266930833,-4.983272583,0.5376251668,5.169831737
0.6883074167,-1.540069479,-4.914721581,0.6398513802,5.189962621
0.6982744167,-1.714749784,-4.746713533,0.7089526054,5.096495854
0.7082414167,-1.826728642,-4.514062763,0.7861762708,4.932724733
0.7182074167,-1.753130323,-4.266434934,0.8858355566,4.696875303
0.7281744167,-1.50638367,-3.928713499,1.023948033,4.330410037
0.7381414167,-1.394185542,-3.4015873,1.037679634,3.81985975
0.7481074167,-1.334828702,-2.87469119,0.9996790912,3.323398168
0.7580744167,-1.204684299,-2.3599836,0.8793294328,2.791774902
0.7680414167,-1.110349415,-1.770132857,0.7226502927,2.210988376
0.7780074167,-1.094833828,-1.162692228,0.5746959293,1.697288938
0.7879744167,-1.128600914,-0.6345509523,0.4030123222,1.356028711
0.7979414167,-1.356092686,-0.148911041,0.2703892851,1.390781161
0.8079074167,-1.755798408,0.290167492,0.1852291207,1.789227501
0.8178744167,-2.165073098,0.5697219953,0.07252995931,2.239952068
0.8278414167,-2.593898538,0.7139093632,-0.03665385604,2.690598393
0.8378074167,-3.00184708,0.7980858797,-0.130435009,3.108864786
0.8477744167,-3.383591325,0.8406600416,-0.2395522392,3.494679504
0.8577414167,-3.764854928,0.8229602274,-0.397953969,3.874243607
0.8677074167,-4.113707415,0.8076177183,-0.5914342419,4.233748876
0.8776744167,-4.418015814,0.698719174,-0.8187715014,4.547247408
0.8876414167,-4.707541282,0.6074970549,-1.09657988,4.871599842
0.8976074167,-4.963535306,0.5791848367,-1.385797711,5.185804963
0.9075744167,-5.227948737,0.5353962082,-1.67464958,5.515663905
0.9175414167,-5.455155165,0.419519012,-1.925232006,5.800106237
0.9275074167,-5.635485635,0.2688412347,-2.120980414,6.027398433
0.9374744167,-5.777223896,0.06886002749,-2.262995395,6.20501457
0.9474414167,-5.799421096,-0.2717177725,-2.374031682,6.272411181
0.9574074167,-5.734381932,-0.7629572698,-2.435601108,6.276734238
0.9673744167,-5.579975093,-1.268742593,-2.479608861,6.236528675
0.9773414167,-5.302402503,-1.752793816,-2.469168658,6.106107789
0.9873074167,-4.82893591,-2.394401773,-2.494670119,5.939289594
0.9972744167,-4.310881959,-3.044691091,-2.562474432,5.866866482
1.007241417,-3.754909984,-3.525375487,-2.559177187,5.75126153
1.017207417,-3.019851242,-4.156454947,-2.487169896,5.708032353
1.027174417,-2.293190855,-5.050666421,-2.305056756,6.006766372
1.037141417,-1.572359558,-5.684115758,-2.101467086,6.2608027
1.047107417,-0.7845647782,-6.100659707,-1.806221287,6.41061823
1.057074417,-0.246075393,-6.119302969,-1.511873767,6.308104645
1.067041417,0.1876289642,-6.028779885,-1.27374474,6.16472361
1.077007417,0.9241284603,-6.316010905,-0.992298224,6.459927471
1.086974417,2.002816957,-6.830159501,-0.560752805,7.139803798
1.096941417,2.930464856,-7.070457845,-0.1189675958,7.654616365
1.106907417,3.733305691,-7.154944264,0.2682795366,8.074823386
1.116874417,4.451889904,-7.316826183,0.5456679388,8.582133919
1.126841417,5.066067402,-7.501936752,0.8831377244,9.095274938
1.136807417,5.264009101,-6.914506171,1.360448277,8.796079065
1.146774417,4.962371126,-5.123417478,2.06260883,7.424883099
1.156741417,4.619958762,-2.92114264,2.795471942,6.139361259
1.166707417,4.669356624,-1.489036735,3.545447516,6.048993286
1.176674417,5.054957108,-0.545701341,4.060360343,6.506681753
1.186641417,5.677935836,0.11244605,4.263070446,7.101082248
1.196607417,6.505190551,0.2405983061,4.263068107,7.781332876
1.206574417,7.250704114,0.2195430672,4.047440336,8.306785334
