"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.310791668E-3,5.339548695E-1,-1.112596500E0,-3.706251794E-1,1.288542509E0
1.328079167E-2,6.537920925E-1,-1.122593485E0,-2.484821069E-1,1.322650214E0
2.325079167E-2,7.927448867E-1,-1.024336873E0,-1.197615016E-1,1.300789492E0
3.322079167E-2,9.010081311E-1,-9.409842288E-1,-5.825230122E-2,1.304093671E0
4.319079166E-2,9.306979533E-1,-8.671777493E-1,-3.488448858E-2,1.272561534E0
5.316079166E-2,9.280770850E-1,-8.029665506E-1,-3.673981011E-2,1.227775293E0
6.313079166E-2,8.804414271E-1,-6.895776370E-1,-5.851834953E-2,1.119874467E0
7.310079166E-2,8.271744619E-1,-5.984189603E-1,-1.409944957E-1,1.030631986E0
8.307079166E-2,8.254502642E-1,-6.339273468E-1,-2.934793550E-1,1.081370497E0
9.304079167E-2,8.750359686E-1,-7.132229000E-1,-5.161863506E-1,1.241298997E0
1.030107917E-1,8.453613491E-1,-7.190288928E-1,-8.018965101E-1,1.369188217E0
1.129807917E-1,7.640653172E-1,-6.964951855E-1,-1.083648105E0,1.497729804E0
1.229507917E-1,7.406299692E-1,-6.877804953E-1,-1.470416862E0,1.784292719E0
1.329207917E-1,6.996003494E-1,-6.957967356E-1,-1.843271000E0,2.090746691E0
1.428907917E-1,6.224115479E-1,-6.673953474E-1,-2.155155635E0,2.340407763E0
1.528597917E-1,5.242422058E-1,-5.998448038E-1,-2.485209324E0,2.609771842E0
1.628297917E-1,4.453524493E-1,-5.684826779E-1,-2.679812847E0,2.775411367E0
1.727997917E-1,3.792314038E-1,-5.242037603E-1,-2.756739401E0,2.831645841E0
1.827697917E-1,3.361785011E-1,-4.208743966E-1,-2.771824633E0,2.823678990E0
1.927397917E-1,3.310616027E-1,-3.008684814E-1,-2.650431758E0,2.687919666E0
2.027097917E-1,3.519912726E-1,-2.289559150E-1,-2.393906806E0,2.430454374E0
2.126797917E-1,3.735236442E-1,-1.769706595E-1,-2.044373703E0,2.085737847E0
2.226497917E-1,4.264823149E-1,4.602928162E-3,-1.712514979E0,1.764827443E0
2.326197917E-1,4.892550986E-1,1.886253297E-1,-1.463779103E0,1.554863122E0
2.425897917E-1,5.882241936E-1,2.207762450E-1,-1.252011078E0,1.400814617E0
2.525597917E-1,6.169821158E-1,2.044095960E-1,-1.142717847E0,1.314630857E0
2.625297917E-1,5.912840416E-1,2.388040879E-1,-1.050027784E0,1.228496055E0
2.724997917E-1,5.371262531E-1,3.612357205E-1,-1.032584955E0,1.218699121E0
2.824697917E-1,4.822853637E-1,4.957286972E-1,-1.065399529E0,1.270205602E0
2.924397917E-1,4.555827378E-1,5.948004109E-1,-1.130685446E0,1.356389597E0
3.024097917E-1,4.705513175E-1,6.366489333E-1,-1.219716321E0,1.454114270E0
3.123797917E-1,4.544685508E-1,6.833000663E-1,-1.305304356E0,1.541836601E0
3.223497917E-1,4.157536975E-1,8.284861386E-1,-1.340412208E0,1.629707123E0
3.323197917E-1,3.316338989E-1,1.002276497E0,-1.223024676E0,1.615651131E0
3.422897917E-1,3.390616170E-1,1.102851238E0,-1.101085086E0,1.594876798E0
3.522597917E-1,3.582080323E-1,1.150873251E0,-8.965442204E-1,1.502202973E0
3.622297917E-1,3.112844190E-1,1.259029783E0,-4.494754672E-1,1.372618731E0
3.721997917E-1,3.114900948E-1,1.331515085E0,8.002148509E-2,1.369803613E0
3.821697917E-1,2.749762796E-1,1.303145564E0,5.117073834E-1,1.426760232E0
3.921397917E-1,2.290051778E-1,1.206487581E0,9.418279821E-1,1.547609641E0
4.021097917E-1,1.943493153E-1,1.035474357E0,1.295417299E0,1.669755904E0
4.120797917E-1,1.479433268E-1,8.792715454E-1,1.479454318E0,1.727365265E0
4.220487917E-1,6.744516576E-2,8.662948197E-1,1.627024008E0,1.844511504E0
